"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c001M01N12","Indigenous people","Knowledge Holder","I","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","The return rate of indigenous people is below 30%, immediately followed by the finding that ICH skills face inheritance interruption.","Community members associated with continuity of local living heritage.","Page 7, Section 4.1.3","KH01","Community and Cultural Knowledge Custodians"
"c001M02N09","Chongqing heritage graded protection taskforce","Knowledge Holder","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Based on implementation of 3D laser scanning, virtual reality (VR), and big data analysis, this study collected architectural data","Professional team implementing graded protection and digital frameworks","Page 4","KH14","Organizational and Inter-organizational Collectives"
"c001M02N10","ICH traditional building craftsmen","Knowledge Holder","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Tsyganov (2022) found that Bulgaria's digital authorization system... raised traditional artisans' income by 40%","Craftspeople holding traditional wooden and rammed earth skills","Page 7","KH02","Skilled Trades and Craft Practitioners"
"c001M02N11","Chongqing provincial and district cultural relic bureaus","Knowledge Holder","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Although provincial level has issued cultural heritage protection regulations, district level encounters problem of fund misallocation","Government regulatory and funding bodies at provincial and district levels","Page 7","KH09","Public Authorities, Regulators, and Standard-Setting Bodies"
"c002M01N28","8 identified experts with expertise in construction safety training and implementation","Knowledge Holder","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","Eight experts participated: four with training-administration backgrounds, two immersive-training designers, and two construction-safety researchers.","The expert panel used for criteria identification and IT2FD refinement.","Section 3.2, pages 11–12","KH06","Domain Experts and Expert Reviewers"
"c002M02N13","General construction site workers","Knowledge Holder","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","In order to encourage safe practices and ensure safe working conditions for construction workers, it is necessary to increase their safety awareness through systematic safety training","Individuals working on construction sites who require safety training","Page 1","KH03","Frontline and Operational Practitioners"
"c002M02N14","Heavy equipment operators","Knowledge Holder","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","A machinery operator's knowledge acquisition from VR-based training is an important factor that determines on-site safety performance","Operators of heavy machinery such as tower cranes, forklifts, and demolition robots","Page 4","KH03","Frontline and Operational Practitioners"
"c002M02N16","Novice construction workers","Knowledge Holder","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","The hazard recognition ability of experienced and novice construction workers was studied by Dzeng et al.","Workers with limited construction experience requiring more training","Page 4","KH03","Frontline and Operational Practitioners"
"c002M02N17","Construction safety training expert panel","Knowledge Holder","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","A cohort of 8 identified experts with expertise in construction safety training and implementation were engaged for the structured interview","Experts with backgrounds in administering training, designing immersive safety training, and researching construction safety","Page 12","KH06","Domain Experts and Expert Reviewers"
"c003M01N02","Building occupants","Knowledge Holder","E","Optimizing Building Occupants' Energy-Related Behaviour: Development Of A Training Activity In A Cave Automatic Virtual Environment","The study attributes energy-related choices and building-system use to occupants and users.","Users of residential buildings whose behaviour affects energy consumption and comfort.","Abstract and Introduction, p. 116","KH04","Customers, Users, and Service Recipients"
"c003M02N07","Training participants","Knowledge Holder","E","Optimizing Building Occupants' Energy-Related Behaviour: Development Of A Training Activity In A Cave Automatic Virtual Environment","The training experience was designed to involve about 50 participants using the CAVE system at the Department...","The participants are the individuals whose knowledge is being trained and evaluated.","Page 2","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"c003M02N08","Researchers/developers","Knowledge Holder","E","Optimizing Building Occupants' Energy-Related Behaviour: Development Of A Training Activity In A Cave Automatic Virtual Environment","Elisa Di Giuseppe... Marco D'Orazio... This paper introduces the developed model and the assessment questionnaires...","They are the authors and creators of the training system.","Page 1","KH10","Researchers, Analysts, and Knowledge Developers"
"c004M02N14","Excavation Site Safety Officer Role","Knowledge Holder","E","Immersive Virtual Reality Training For Excavation Safety And Hazard Identification","Determine whether a safety officer is present on site by viewing a safety file and inspecting excavation sites","The specific role responsible for inspecting sites and identifying hazards","Page 10, Table 2","KH03","Frontline and Operational Practitioners"
"c004M02N15","Construction Project Supervisor Role","Knowledge Holder","E","Immersive Virtual Reality Training For Excavation Safety And Hazard Identification","Inform supervisors. Ensure a safety officer is present on site before performing any excavation work","The specific role to be informed when hazards are identified","Page 10, Table 2","KH07","Operational, Project, and Middle Managers"
"c005M01N11","safety managers currently supervising bridge constructions","Knowledge Holder","E","Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality","Five safety managers currently supervising bridge constructions in Egypt participated in interviews.","Safety managers selected for their key roles and 14-to-20-plus years of construction-safety experience.","Section 3.1.1, PDF page 9","KH07","Operational, Project, and Middle Managers"
"c005M01N12","construction safety experts","Knowledge Holder","E","Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality","Experts prioritized hazards, validated the model, and reviewed the hazard-identification test.","Experts with construction-safety management experience who supported prioritization, model validation, and test validation.","Sections 3.2, 3.3.3, and 3.4, PDF pages 11 and 17–18","KH06","Domain Experts and Expert Reviewers"
"c005M02N14","Test validation experts","Knowledge Holder","E","Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality","Additionally, the exam was confirmed by experts in the field of construction safety, as five experts solved it with experience ranging from five to twenty-five years in the field of construction safety.","Construction safety experts with 5-25 years of experience who validated the hazard identification test.","Page 18","KH06","Domain Experts and Expert Reviewers"
"c005M02N15","Experienced engineers","Knowledge Holder","E","Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality","24 participants, including students and engineers, undertook the safety training using both the AR and VR technology followed by the hazard identification test. Their years of experience ranged from zero to 36 years.","Professional engineers participating in the training with up to 36 years of construction experience.","Page 18","KH05","Scientific, Engineering, and Technical Professionals"
"c006M01N11","construction workers","Knowledge Holder","E","Fundamental Knowledge Acquisition By Using Wearable Sensor For “Keiroka” Of Construction Industry","The study assessed physical performance for 320 construction workers and measured workload for 64 workers.","Workers whose physical attributes, activity and workload were assessed.","Abstract; Sections 1.2 and 5; Conclusions, pp. 9709–9714","KH03","Frontline and Operational Practitioners"
"c006M02N14","Construction workers (age 45 and older)","Knowledge Holder","E","Fundamental Knowledge Acquisition By Using Wearable Sensor For “Keiroka” Of Construction Industry","Individuals aged 45 and older are the most likely to require an assistance suit and experience the impact of light labour. This age group has less muscle weakness and more confidence in their physical strength compared to younger generations, but they have reduced flexibility and balance and may not be aware of their weakening core.","Specific demographic group of construction workers most likely to benefit from assistive technology.","Page 2, Section 2","KH03","Frontline and Operational Practitioners"
"c006M02N15","Workers with LBP history","Knowledge Holder","E","Fundamental Knowledge Acquisition By Using Wearable Sensor For “Keiroka” Of Construction Industry","111 subjects with LBP... There were 111 subjects with LBP. The average for those with a history of LBP was 1.9% for hand load. Workers with a history of LBP tended to have a lower physical performance assessment index E than those without a history of LBP.","Construction workers who have experienced low back pain, comprising a subgroup with distinct physical characteristics.","Page 3-5, Sections 3, 5.1, 5.2","KH03","Frontline and Operational Practitioners"
"c006M02N17","Professional contractors","Knowledge Holder","E","Fundamental Knowledge Acquisition By Using Wearable Sensor For “Keiroka” Of Construction Industry","At a meeting held in the fall of 2019 to exchange views on inhouse technological development, professional contractors expressed strong expectations for the assistive suits.","Industry experts with experience and expectations regarding construction technology deployment.","Page 1, Section 1.1","KH13","Commercial and Value-Chain Professionals"
