"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c001M02N26","Rural 18.7% failure rate point cloud transmission network","Environmental Dependency","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","Point cloud data transmission failure rate in rural areas is as high as 18.7% (vs 2.3% in the urban cores)","Internet and data transmission infrastructure in rural Chongqing","Page 3","ED05","External Technological & Infrastructure Environment"
"c001M02N27","Remote mountainous site geographic isolation","Environmental Dependency","E","Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings","There are notable disparities in digital preservation implementation between urban and rural areas of Chongqing","Geographic remoteness affecting digital implementation","Page 3","ED08","Geographic & Physical Site Context"
"c002M02N35","Australian Work Safe fall prevention regulation","Environmental Dependency","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","Training content was based on an Australian industrial standard—Preventing Falls in Housing Construction—Code of Practice","External regulatory framework governing workplace safety","Page 7","ED01","Political, Regulatory & Jurisdictional Environment"
"c002M02N36","Construction industry safety compliance standards","Environmental Dependency","E","Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment","The construction industry is among the highest contributors to work-related injuries and on-the-job fatalities among all major industries","Industry-wide safety requirements and standards","Page 1","ED01","Political, Regulatory & Jurisdictional Environment"
"c003M01N24","Current electricity price set by ARERA","Environmental Dependency","E","Optimizing Building Occupants' Energy-Related Behaviour: Development Of A Training Activity In A Cave Automatic Virtual Environment","Scenario costs were calculated using the current electricity price set by ARERA.","Externally determined electricity tariff used in scenario cost calculation.","Methods, Section II.A, p. 117","ED01","Political, Regulatory & Jurisdictional Environment"
"c004M02N32","Confined Physical Walking Space (3m x 3m)","Environmental Dependency","E","Immersive Virtual Reality Training For Excavation Safety And Hazard Identification","The movement area in the real world was confined to a 3m x 3m square","The physical spatial constraint required for VR movement and navigation","Page 7, Section 3.2","ED08","Geographic & Physical Site Context"
"c004M02N33","Post-Training Four-Week Retention Test Window","Environmental Dependency","E","Immersive Virtual Reality Training For Excavation Safety And Hazard Identification","Participants were contacted four weeks after training and asked to complete a retention questionnaire","The specific time interval used to measure long-term knowledge retention","Page 14, Section 5.3","ED10","Ambiguous Environmental Dependency(*)"
"c005M02N46","Site physical constraints (congested areas, water, etc.)","Environmental Dependency","E","Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality","The first site visited was an elevated railway constructed amid a busy and congested area...The second bridge was being built as a crossroads...being built in a heavily populated region...The third bridge is being built across the River Nile...The fourth bridge was in an open, remote, and deserted area, causing extreme weather conditions...The fifth bridge...being constructed in one of the densest and most populated areas in Cairo.","Physical constraints of bridge construction sites including congested areas, population density, water bodies, and weather conditions.","Page 10-11","ED08","Geographic & Physical Site Context"
"c005M02N47","Bridge type-specific hazards (railway, road, etc.)","Environmental Dependency","E","Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality","The uniqueness of this bridge emerges from the fact that it is not meant for automobiles or trucks but rather serves as a rail...The main hazards emerging from this site were primarily related to the construction over/near water...extreme weather conditions, such as high wind speeds and sand storms, to be main interfering factors and sources of hazards.","Hazards specific to bridge types including railway bridges, road bridges, water crossings, and weather-dependent hazards.","Page 10-11","ED08","Geographic & Physical Site Context"
"c005M02N48","Weather-related hazards (wind, sandstorms)","Environmental Dependency","E","Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality","The fourth bridge was in an open, remote, and deserted area, thereby causing extreme weather conditions, such as high wind speeds and sand storms, to be main interfering factors and sources of hazards during construction.","External weather factors including high wind speeds and sand storms affecting construction safety.","Page 11","ED04","Natural & Climatic Environment"
"c006M01N21","each worker's job site","Environmental Dependency","E","Fundamental Knowledge Acquisition By Using Wearable Sensor For “Keiroka” Of Construction Industry","Researchers attended each worker's job site to collect workload data and record work status.","The real construction setting in which contextual workload measurements were collected.","Sections 1.2 and 4, pp. 9710 and 9712","ED08","Geographic & Physical Site Context"
"c006M02N36","Industry safety regulations","Environmental Dependency","I","Fundamental Knowledge Acquisition By Using Wearable Sensor For “Keiroka” Of Construction Industry","Creating a safe environment is important, and evaluation charts such as the OWAS method, RULA, REBA and HOHSRAM have been utilized.","External regulatory framework governing construction site safety and occupational health.","Page 1, Section 1","ED01","Political, Regulatory & Jurisdictional Environment"
"c007M02N49","High Staff Turnover","Environmental Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","small workforce, high staff turnover, a basic organisational structure","Rapid employee departure rate","Page 21","ED02","Economic, Market & Industry Environment"
"c007M02N50","Fierce Competition","Environmental Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","continuous changes in construction techniques, materials and management processes have resulted in fierce competition among SMCCs","Intense competition in the construction industry","Page 2","ED02","Economic, Market & Industry Environment"
"c007M02N51","Market Changes","Environmental Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","Responding to market changes in the market plan (KR2)","External market fluctuations","Page 11","ED02","Economic, Market & Industry Environment"
"c007M02N52","Technological Changes","Environmental Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","Responding to clients' reactions to technological changes (KR3)","Rapid evolution of construction technologies","Page 11","ED02","Economic, Market & Industry Environment"
"c007M02N53","Client Needs Changes","Environmental Dependency","E","Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method","Responding to changes in client needs (KR1)","Evolving client requirements","Page 11","ED06","Client, Procurement & Institutional Environment"
"c008M02N34","Industry regulations","Environmental Dependency","E","Convolutional Neural Network Algorithm-Based Novel Automatic Text Classification Framework For Construction Accident Reports","the State Administration of Work Safety, the websites of various administrative departments, the safety management network, and the municipal government website","External regulatory framework governing construction safety reporting and management","Page 7","ED01","Political, Regulatory & Jurisdictional Environment"
"c009M02N56","Client requirements","Environmental Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","Every bid must be tailored to the client's specific requirements","Requirements set by clients that bids must meet","Page 17","ED06","Client, Procurement & Institutional Environment"
"c009M02N57","Submission deadlines","Environmental Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","Submission deadline, submission requirements, required documents","Temporal constraints for bid submission","Page 10, Table 2","ED06","Client, Procurement & Institutional Environment"
"c009M02N58","Quality and Cost Based Selection (QCBS) criteria","Environmental Dependency","E","A Generative Ai Model For Automating Construction Bid Preparation","Weighting is 80% for Technical and 20% for Financial score in Quality and Cost Based Selection (QCBS)","Evaluation framework used in bid adjudication","Page 13, Table 5","ED06","Client, Procurement & Institutional Environment"
"c011M01N32","Regulatory compliance requirements","Environmental Dependency","E","Comparing The Productive Failure And Directive Instruction For Declarative Safety Knowledge Training Using Virtual Reality","the required equipment is determined and constructed according to the relevant regulations in PRC's 'Confined Space Safety Working Guide'","Legal and regulatory requirements mandating specific safety procedures and equipment for confined space entry","Section 3.1","ED01","Political, Regulatory & Jurisdictional Environment"
"c011M02N31","Confined space physical constraints","Environmental Dependency","E","Comparing The Productive Failure And Directive Instruction For Declarative Safety Knowledge Training Using Virtual Reality","A confined space is a space with limited entry and egress and is not suitable for human inhabitants.","Physical characteristics of confined spaces that create safety hazards and training challenges","Section 3.1","ED08","Geographic & Physical Site Context"
"c012M02N53","Industry Demographic Shift (Retirement Wave)","Environmental Dependency","E","Leveraging Storytelling For Effective Tacit Knowledge Capture And Management In The Construction Industry: Framework Development And Empirical Validation","""The industry faces a significant demographic shift, with seasoned construction professionals rapidly approaching retirement. This demographic change threatens organizational knowledge continuity""","External environmental factor of mass retirement of experienced professionals.","Page 3, 15","ED02","Economic, Market & Industry Environment"
"c014M02N49","Environmental risks","Environmental Dependency","E","Ai-Driven Knowledge Management In Megaprojects: The Leadership Factor","Environmental uncertainties influence the effective operations of the megaprojects","External environmental factors","Page 1","ED10","Ambiguous Environmental Dependency(*)"
"c014M02N50","Political risks","Environmental Dependency","E","Ai-Driven Knowledge Management In Megaprojects: The Leadership Factor","Political factors influence the effective operations of the megaprojects","Geopolitical and policy factors","Page 1","ED01","Political, Regulatory & Jurisdictional Environment"
"c014M02N51","Geopolitical instability","Environmental Dependency","E","Ai-Driven Knowledge Management In Megaprojects: The Leadership Factor","Dynamic environment, including geopolitical instability and logistical complexities","Geopolitical uncertainties","Page 2","ED01","Political, Regulatory & Jurisdictional Environment"
"c014M02N52","Logistical complexities","Environmental Dependency","E","Ai-Driven Knowledge Management In Megaprojects: The Leadership Factor","Dynamic environment, including geopolitical instability and logistical complexities","Supply chain and operational complexities","Page 2","ED07","Supply-Chain & Logistical Environment"
"c014M02N53","Changing market trends","Environmental Dependency","E","Ai-Driven Knowledge Management In Megaprojects: The Leadership Factor","Changing market trends influence the effective operations","Market dynamics","Page 1","ED02","Economic, Market & Industry Environment"
"c014M02N54","Regulatory changes","Environmental Dependency","I","Ai-Driven Knowledge Management In Megaprojects: The Leadership Factor","Respond quickly to disruptions such as regulatory changes","Evolving regulations","Page 3","ED01","Political, Regulatory & Jurisdictional Environment"
"c015M02N30","Student absences","Environmental Dependency","E","Innovative Pedagogies In Construction Project Management Education: Integrating Active Blended Learning, Technology And Authentic Applications","The students also collaborated on the solutions for challenges that arise in using ABL, like student absences, diverse backgrounds and various prior level of education.","External attendance-related barrier","Page 6","ED10","Ambiguous Environmental Dependency(*)"
"c015M02N31","Diverse educational backgrounds","Environmental Dependency","E","Innovative Pedagogies In Construction Project Management Education: Integrating Active Blended Learning, Technology And Authentic Applications","The students also collaborated on the solutions for challenges that arise in using ABL, like student absences, diverse backgrounds and various prior level of education.","Variation in prior knowledge levels","Page 6","ED03","Sociocultural & Societal Environment"
