node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c001M01N16,Paper-based surveying,Traditional Human-central Practice,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,First-generation conservation used paper-based surveying with 2D planar data and unidirectional recording.,A paper-based two-dimensional building survey process.,"Page 7, Table 6"
c001M01N17,Total station and film photography,Traditional Human-central Practice,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Second-generation conservation used total station and film photography for elevations and partial depth data.,An analog and instrument-based documentation process producing 2.5D records.,"Page 7, Table 6"
c001M01N18,Traditional exhibition,Traditional Human-central Practice,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The VR exhibition hall is compared with traditional exhibition.,A conventional heritage exhibition used as the baseline for comparison.,"Page 3, Section 2.3.2"
c001M01N19,Static-picture presentation,Traditional Human-central Practice,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,Most bomb-shelter exhibitions use static pictures rather than scenically reproducing refuge noise and lighting.,A passive display method using static images.,"Page 3, Section 2.4.2"
c001M02N31,Total station manual surveying baseline,Traditional Human-central Practice,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,"Total Station Surveying cost 0.8-1.2万 CNY, error rate 2.3%, data acquisition 7-10 days",Traditional manual surveying technique,Table 3
c001M02N32,Static wartime timeline and exterior photo display,Traditional Human-central Practice,E,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,85% of digital exhibitions only passively show building exterior and wartime timeline but lack recreation of wartime life,Passive exhibition using static photos and timelines,Page 3
c001M02N33,Master-apprentice live craft transmission cycle,Traditional Human-central Practice,I,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,The return rate of indigenous people is generally below 30% and intangible cultural heritage skills are at risk of interruption in inheritance,In-person transmission of craft skills from master to apprentice,Page 6-7
c002M01N31,traditional safety training presentation,Traditional Human-central Practice,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment,The conventional training used PowerPoint and overhead projection and encouraged trainees to ask questions.,The conventional classroom presentation used as one of the three training modes.,"Section 3.4, pages 14–17"
c002M01N32,three rounds of structured interviews,Traditional Human-central Practice,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment,Three structured interview rounds gathered expert opinions and feedback to determine the final sub-criteria.,Repeated human-centered elicitation from the expert panel.,"Section 3.3, pages 13–14"
c002M02N20,Overhead projection classroom safety briefing,Traditional Human-central Practice,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment,"Current safety training sessions are delivered using traditional classroom lectures, textbook learning, and on-site safety briefings",Training delivered through instructor-led verbal presentations in a classroom setting,Page 1
c002M02N21,Construction site verbal safety toolbox talks,Traditional Human-central Practice,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment,"Current safety training sessions are delivered using traditional classroom lectures, textbook learning, and on-site safety briefings",Training delivered at construction sites with verbal briefings,Page 1
c002M02N22,Self-study safety textbooks and manuals,Traditional Human-central Practice,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment,"Current safety training sessions are delivered using traditional classroom lectures, textbook learning, and on-site safety briefings",Self-study from written safety training materials,Page 1
c002M02N23,Peer-to-peer safety discussion groups,Traditional Human-central Practice,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment,A study demonstrated improvements in safety performance with increased safety discussions and the distribution of safety training materials to construction workers,Verbal information sharing and safety conversations,Page 3
c003M02N09,"Training with apps, mobile phones, tablets and PCs",Traditional Human-central Practice,I,Optimizing Building Occupants' Energy-Related Behaviour: Development Of A Training Activity In A Cave Automatic Virtual Environment,"Currently, the most used tools for training are apps, mobile phones, tablets and PCs.","These are described as the standard, current training tools, which are contrasted with the new VR approach.",Page 1
c004M01N15,excavation health and safety manual self-study,Traditional Human-central Practice,E,Immersive Virtual Reality Training For Excavation Safety And Hazard Identification,Control participants received induction based on a manual and studied it until they felt they understood and remembered its items.,Traditional training in which participants independently studied an excavation health and safety manual.,"Section 5.3, p. 896"
c004M01N35,self-efficacy questionnaire,Traditional Human-central Practice,E,Immersive Virtual Reality Training For Excavation Safety And Hazard Identification,Eight self-rated statements were used to measure participants’ self-efficacy before and immediately after training.,A questionnaire using eight statements and a five-point Likert scale to measure participants’ beliefs about their excavation-safety capabilities.,"Sections 5.2.2 and 5.3, p. 896"
c005M01N15,lecture-based traditional safety training,Traditional Human-central Practice,E,Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality,"Traditional training is described as lecture-based and heavily reliant on slides, lecture notes, and multimedia.",Instructor-led safety training in which trainees primarily receive demonstrated material.,"Sections 2 and 2.4, PDF pages 6 and 8"
c005M01N16,semi-structured interviews,Traditional Human-central Practice,E,Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality,Five semi-structured interviews were conducted with safety managers working on bridge-construction projects.,Interviews using purposive and snowball sampling to collect bridge-construction hazard information.,"Section 3.1.1, PDF page 9"
