"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c209M01N26","completion of basic medical and clinical courses","Organizational Dependency","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","Eligibility required completion of basic medical and certain clinical courses that supported comprehension of the models.","Prior educational preparation required for participation in and comprehension of the intervention.","PDF p. 2, Participants and grouping","OD05","Human Capacity, Roles & Participation"
"c209M02N43","Completion of clinical courses","Organizational Dependency","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","Inclusion criteria were... completion of... clinical courses (such as Internal Medicine and Surgery)","Prerequisite ensuring students have foundational clinical knowledge before the teaching intervention.","Page 2, Participants and grouping","OD05","Human Capacity, Roles & Participation"
"c209M02N44","Ethics Committee approval","Organizational Dependency","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","The study was approved by the Ethics Committee of Hebei University Affiliated Hospital (HDFYLL-KY-2024-134)","Institutional review board approval required for conducting human subjects research.","Page 3, Participants and grouping","OD01","Governance, Standards & Formal Control"
"c209M02N45","Written informed consent","Organizational Dependency","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","All participants provided written informed consent and voluntarily participated in the study","Documented participant agreement to participate, with understanding of procedures and right to withdraw.","Page 3, Participants and grouping","OD01","Governance, Standards & Formal Control"
"c209M02N46","Research funding support","Organizational Dependency","E","From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection","This study was supported by the Key Research Fund Project of the Hebei University Affiliated Hospital (2017z001)","Financial resources provided to support research activities and teaching interventions.","Page 7, Funding","OD03","Financial, Technical & Information Resources"
"c210M01N23","Nurses’ work schedules","Organizational Dependency","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","The researchers obtained detailed work-schedule information to ensure that messages were read promptly.","Scheduling information used to time educational delivery.","PDF p. 3; Intervention methods","OD04","Time, Workload & Operational Scheduling"
"c210M01N24","Clinical workflow patterns","Organizational Dependency","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","Twice-daily short-message delivery was aligned with nurses’ workflow patterns.","The work routines around which message timing and fragmented learning were organized.","PDF p. 6; Discussion","OD04","Time, Workload & Operational Scheduling"
"c210M02N31","Nursing department recruitment announcements","Organizational Dependency","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","Participants are recruited by means of announcements made by the nursing department of the hospital","Institutional recruitment mechanism where the nursing department announces study participation opportunities to potential nurse participants.","Page 2","OD05","Human Capacity, Roles & Participation"
"c210M02N32","Department morning meeting recruitment briefings","Organizational Dependency","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","Announcements made at the morning meetings of the department","Institutional recruitment mechanism where study information is announced during department morning meetings to inform potential participants.","Page 2","OD05","Human Capacity, Roles & Participation"
"c210M02N33","Mandatory valid nursing license","Organizational Dependency","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","Possession of a valid nursing licence","A prerequisite for study participation requiring nurses to hold a current, valid nursing licence.","Page 2","OD05","Human Capacity, Roles & Participation"
"c210M02N34","Mandatory PIVC placement clinical qualification","Organizational Dependency","E","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","Current clinical nursing role with PIVC placement qualifications","A prerequisite for study participation requiring nurses to have current qualifications to perform PIVC placement in clinical practice.","Page 2","OD05","Human Capacity, Roles & Participation"
"c210M02N35","Competency assessment requirement (≥50 procedures)","Organizational Dependency","I","Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion","Independently performed ≥50 PIVC procedures in the past year with successful completion of a competency-based assessment","Not mentioned","Page 3","OD05","Human Capacity, Roles & Participation"
"c211M01N17","strict healthcare credential verification","Organizational Dependency","E","How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities","DXY requires healthcare credential verification for posting and commenting.","A platform control restricting content creation to authenticated practitioners.","Section 4.1, PDF page 5","OD01","Governance, Standards & Formal Control"
"c211M01N18","emotional support","Organizational Dependency","E","How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities","Encouragement, recognition, empathy, and care from peers influence physicians' participation and knowledge contribution.","A community resource consisting of encouragement, empathy, care, recognition, and understanding.","Sections 3.2, 6.1, and 6.3, PDF pages 5, 11-13","OD06","Culture, Trust & Relational Climate"
"c211M02N15","Perceived community emotional support resource","Organizational Dependency","E","How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities","Perceived community emotional support significantly moderates the relationship between stressor types and knowledge-sharing behaviors","Community-based psychological resource facilitating knowledge exchange","Page 5, Section 3.2","OD06","Culture, Trust & Relational Climate"
"c212M01N24","Experienced instructors","Organizational Dependency","E","The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students","The five instructors had doctoral degrees and at least ten years of professional experience and were responsible for program design, training, and evaluation.","Availability of qualified instructors capable of designing, delivering, moderating, and evaluating the program.","PDF pp. 3-4, Methods and Materials, Participants","OD05","Human Capacity, Roles & Participation"
"c212M01N25","Technology and learning-platform access","Organizational Dependency","I","The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students","The intervention required AI applications, a HoloLens headset, a remote learning platform, and video-conference proctoring; the discussion also identifies additional resource and access requirements.","Institutional availability of the hardware, software, platform, and supporting resources needed for participation.","PDF pp. 4-5 and 9, Methods and Materials and Discussion","OD03","Financial, Technical & Information Resources"
"c212M02N26","Faculty expertise","Organizational Dependency","E","The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students","The instructors held doctoral degrees and had at least 10 years of professional experience. Instructors were responsible for designing research program, conducting training, and evaluating participants.","Instructor qualifications including doctoral degrees and minimum 10 years professional experience required for research program design, training delivery, and participant evaluation.","Page 4","OD05","Human Capacity, Roles & Participation"
"c212M02N27","Structured curriculum","Organizational Dependency","E","The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students","The training lasted one semester and focused on developing moral behavior in future nurses within framework of course 'Ethics and Deontology.' Classes were three times a week for 2 hours each session.","Organized educational framework including one-semester course on Ethics and Deontology with regular class schedule of three 2-hour sessions per week.","Page 3-4","OD08","Organizational Structure & Process Design"
