node_id,node_name,parent_id,category,case_title,evidence_statement
c201M01N01,Tacit experience-based know-how,s003M02TA01,Somatic Tacit Knowledge,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Small and medium-sized enterprises (SMEs) still depend heavily on tacit, experience-based know-how that rarely makes its way into formal documentation."
c201M01N02,Informal maintenance process narrative,s003M02EX02,Documented Process Narratives & Media,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The user initiated the conversation by describing the entire reactive maintenance process in a single, detailed message."
c201M01N03,Standards-compliant BPMN 2.0 XML,s003M02EX01,Structured Technical Artifacts & Code,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"A xml block containing the complete, standards-compliant BPMN 2.0 XML for the process diagram."
c201M01N04,Overlay objects array JSON,s003M02EX01,Structured Technical Artifacts & Code,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,A json block containing an array of overlay objects for adding comments to the diagram.
c201M01N07,Assembly line operator,s003M02KH01,Domain Experts & Operational Practitioners,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The process begins when an operator verbally reports a machine fault to a supervisor.
c201M01N08,Maintenance supervisor,s003M02KH01,Domain Experts & Operational Practitioners,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,He finds the maintenance supervisor and verbally explains the problem.
c201M01N09,Technician,s003M02KH01,Domain Experts & Operational Practitioners,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The supervisor grabs the nearest available technician... and sends them to investigate.
c201M01N10,Procurement manager,s003M02KH01,Domain Experts & Operational Practitioners,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,The technician fills out a paper purchase request form and leaves it on the procurement manager's desk.
c201M01N12,Reactive and untracked equipment maintenance process,s003M02TR09,After-Action Reviews,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The chosen case study focuses on a common and inefficient process for managing unplanned equipment downtime... almost entirely reactive and relies on informal, manual communication."
c201M01N13,LLM-driven conversational process documentation assistant,s003M02TP01,Automated Process Documentation & Synthesis,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,This paper introduces a large-language-model (LLM)-driven conversational assistant that captures such knowledge on the shop floor.
c201M01N14,Gemini Flash evaluation experiment,s003M02TP01,Automated Process Documentation & Synthesis,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"During testing, an alternative model, Gemini 2.5 Flash, was considered as a more cost-effective option."
c201M01N15,Google Gemini 2.5 Pro API,s003M02TE01,Artificial Intelligence and Intelligent Computation,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,Powered by Gemini 2.5 Pro... The system's core logic is powered by Google's Gemini 2.5 Pro API.
c201M01N16,Gradio open-source Python framework,s003M02TE02,Human–Computer Interaction and Immersive Technologies,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"The user interface is built with Gradio, an open-source Python framework that enables the rapid development of web-based UIs."
c201M01N17,bpmn-js JavaScript toolkit,s003M02TE02,Human–Computer Interaction and Immersive Technologies,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,"Process diagrams are rendered in the browser using bpmn-js, a powerful, open-source JavaScript toolkit for BPMN 2.0."
