src_node_id,dst_node_id,relation_type,src_l1_node_id,dst_l1_node_id,evidence_label,case_title,evidence_statement
s003M02TA01,s003M02KH01,be_held_by,c201M01N01,c201M01N07,E,SIC 20-39 - Manufacturing,"Small and medium-sized enterprises (SMEs) still depend heavily on tacit, experience-based know-how that rarely makes its way into formal documentation."
s003M02TA01,s003M02LI01,be_difficult_to_capture_due_to,c201M01N01,c201M01N19,E,SIC 20-39 - Manufacturing,"Tacit knowledge the unwritten, experience-based insights people carry in their heads is notoriously difficult to articulate, as Polanyi famously noted"
s003M02KH01,s003M02TR09,participate_in,c201M01N07,c201M01N12,E,SIC 20-39 - Manufacturing,The process begins when an operator verbally reports a machine fault to a supervisor.
s003M02TR09,s003M02LI01,be_constrained_by,c201M01N12,c201M01N20,E,SIC 20-39 - Manufacturing,"When veteran staff retire or switch jobs, this undocumented expertise departs with them, risking operational disruption"
s003M02TR09,s003M02LI03,be_constrained_by,c201M01N12,c201M01N22,E,SIC 20-39 - Manufacturing,"The lack of a formalized, digitally-tracked system leads to poor visibility for production managers"
s003M02TR09,s003M02LI02,be_constrained_by,c201M01N12,c201M01N23,E,SIC 20-39 - Manufacturing,"Furthermore, the absence of data capture prevents valuable analysis of machine reliability and failure patterns"
s003M02TP01,s003M02TE01,adopt,c201M01N13,c201M01N15,E,SIC 20-39 - Manufacturing,The system's core logic is powered by Google's Gemini 2.5 Pro API.
s003M02TP01,s003M02TE02,adopt,c201M01N13,c201M01N16,E,SIC 20-39 - Manufacturing,"The user interface is built with Gradio, an open-source Python framework"
s003M02TP01,s003M02EX01,adopt,c201M01N13,c201M01N03,E,SIC 20-39 - Manufacturing,The final prompt instructs the Gemini model to always respond with exactly two fenced code blocks: 1. A xml block containing the complete... BPMN 2.0 XML
s003M02TP01,s003M02TA01,evaluate,c201M01N13,c201M01N01,E,SIC 20-39 - Manufacturing,This paper introduces a large-language-model (LLM)-driven conversational assistant that captures such knowledge on the shop floor and converts it incrementally
s003M02TP01,s003M02LI03,resolve,c201M01N13,c201M01N22,E,SIC 20-39 - Manufacturing,"A proof-of-concept evaluation in an equipment-maintenance scenario shows that the chatbot produced an accurate 'as-is' model, highlighted bottlenecks, and generated an improved 'to-be' variant"
s003M02TP01,s003M02LI02,be_constrained_by,c201M01N13,c201M01N24,E,SIC 20-39 - Manufacturing,A significant challenge observed during the evaluation was latency... total time... was over 12 minutes... delay is largely attributable to the verbosity of the BPMN XML format.
s003M02TP01,s003M02OD05,depend_on,c201M01N13,c201M01N26,E,SIC 20-39 - Manufacturing,The only direct operational cost is the pay-per-use API for the intelligence layer.
s003M02TA01,s003M02TP01,be_captured_by,c201M01N01,c201M01N13,E,SIC 20-39 - Manufacturing,This paper introduces a large-language-model (LLM)-driven conversational assistant that captures such knowledge on the shop floor
s003M02TA01,s003M02TR09,be_transferred_by,c201M01N01,c201M01N12,E,SIC 20-39 - Manufacturing,"The chosen case study focuses on a common and inefficient process for managing unplanned equipment downtime... existing workflow is almost entirely reactive and relies on informal, manual communication."
s003M02TA01,s003M02KH02,be_held_by,c201M02N01,c201M02N13,E,SIC 20-39 - Manufacturing,The user initiated the conversation by describing the entire reactive maintenance process
s003M02TA01,s003M02KH02,be_documented_partially_by,c201M02N01,c201M02N13,I,SIC 20-39 - Manufacturing,"The user describes the process in natural language, thereby codifying part of the tacit know-how"
s003M02KH01,s003M02TR08,participate_in,c201M01N07,c201M02N14,E,SIC 20-39 - Manufacturing,The operator ... walks over to the maintenance workshop to report it. He finds the maintenance supervisor and verbally explains the problem
s003M02KH01,s003M02TR03,participate_in,c201M01N09,c201M02N15,E,SIC 20-39 - Manufacturing,They walk back to the workshop to check the physical spare parts inventory
s003M02KH02,s003M02TP01,participate_in,c201M02N13,c201M01N13,E,SIC 20-39 - Manufacturing,The evaluation was conducted through an interactive dialogue between a user and the chatbot
s003M02TP01,s003M02EX02,adopt,c201M01N13,c201M02N39,I,SIC 20-39 - Manufacturing,The system processes the user's natural language description to generate BPMN
s003M02EX02,s003M02KH02,be_held_by,c201M02N39,c201M02N13,I,SIC 20-39 - Manufacturing,The user provided the natural language description of the process
s003M02EX01,s003M02EX02,be_derived_from,c201M01N03,c201M02N39,I,SIC 20-39 - Manufacturing,The system generated BPMN 2.0 XML from the user's natural language description
s003M02EX02,s003M02EX01,be_derived_from,c201M02N05,c201M01N03,I,SIC 20-39 - Manufacturing,The AS-IS BPMN diagram is a visual representation of the generated XML
s003M02TR08,s003M02LI03,be_constrained_by,c201M02N14,c201M02N27,E,SIC 20-39 - Manufacturing,"The existing workflow is almost entirely reactive and relies on informal, manual communication"
s003M02TR08,s003M02LI02,be_constrained_by,c201M02N14,c201M01N23,I,SIC 20-39 - Manufacturing,The absence of data capture prevents valuable analysis
s003M02TR08,s003M02LI01,be_constrained_by,c201M02N14,c201M02N37,I,SIC 20-39 - Manufacturing,"Tacit knowledge is difficult to articulate, making verbal reporting incomplete"
s003M02TR03,s003M02LI03,be_constrained_by,c201M02N15,c201M02N27,E,SIC 20-39 - Manufacturing,Manual spare parts inventory check is part of the inefficient steps
s003M02TR03,s003M02LI02,be_constrained_by,c201M02N15,c201M01N23,I,SIC 20-39 - Manufacturing,No digital record of parts usage
s003M02TR08,s003M02OD07,depend_on,c201M02N14,c201M02N26,I,SIC 20-39 - Manufacturing,SMEs rely on experience-based workflows from veteran staff – the traditional process requires experienced employees
s003M02TP01,s003M02LI01,be_constrained_by,c201M01N13,c201M02N35,E,SIC 20-39 - Manufacturing,The current workflow requires the user to describe the process in detail upfront
s003M02TA02,s003M02KH02,be_held_by,c202M01N06,c202M01N03,E,SIC 20-39 - Manufacturing,The distribution is even in this study as both groups had similar familiarity with IoT and AR.
s003M02TA02,s003M02TR03,be_transferred_by,c202M01N06,c202M01N09,E,SIC 20-39 - Manufacturing,Participants were required to read the paper manual as part of the traditional learning intervention.
s003M02TA02,s003M02TP02,be_transferred_by,c202M01N06,c202M01N10,E,SIC 20-39 - Manufacturing,"In this regard, this study developed a MAR framework and application to facilitate IoT assembly training."
s003M02EX02,s003M02TR03,be_transferred_by,c202M01N07,c202M01N09,E,SIC 20-39 - Manufacturing,the paper group utilized a book manual as an assistance tool.
s003M02EX02,s003M02TA02,translate_into,c202M01N07,c202M01N06,E,SIC 20-39 - Manufacturing,"Both groups were able to acquire knowledge from the initial evaluation stage, retain and become proficient to assemble the IoT component"
s003M02KH02,s003M02TR03,participate_in,c202M01N01,c202M01N09,E,SIC 20-39 - Manufacturing,consisted of 20 participants in each group (paper and MAR). They were Degree students
s003M02KH01,s003M02TP02,participate_in,c202M01N04,c202M01N10,E,SIC 20-39 - Manufacturing,Instructors demonstrated how to assembly the loT circuit
s003M02TR03,s003M02TA02,evaluate,c202M01N09,c202M01N06,E,SIC 20-39 - Manufacturing,"The knowledge test, time and error are measured for each group."
s003M02TP02,s003M02TA02,evaluate,c202M01N10,c202M01N06,E,SIC 20-39 - Manufacturing,"The knowledge test, time and error are measured for each group."
s003M02TR03,s003M02EX02,evaluate,c202M01N09,c202M01N08,E,SIC 20-39 - Manufacturing,"The knowledge test, time and error are measured for each group."
s003M02TP02,s003M02EX02,evaluate,c202M01N10,c202M01N08,E,SIC 20-39 - Manufacturing,"The knowledge test, time and error are measured for each group."
s003M02TP02,s003M02TE02,adopt,c202M01N10,c202M01N11,E,SIC 20-39 - Manufacturing,an iPad Pro was chosen for its high computational power and large screen
s003M02TP02,s003M02TE05,adopt,c202M01N10,c202M01N13,E,SIC 20-39 - Manufacturing,"A QR code served as the AR marker, placed on the breadboard"
s003M02TP02,s003M02TE04,adopt,c202M01N10,c202M01N15,E,SIC 20-39 - Manufacturing,with the commands signal sent via a web server.
s003M02TP02,s003M02TE03,adopt,c202M01N10,c202M01N16,E,SIC 20-39 - Manufacturing,the NodeMCU ESP8266 selected for the IoT assembly task
s003M02TR03,s003M02LI01,be_constrained_by,c202M01N09,c202M01N20,E,SIC 20-39 - Manufacturing,"In learning environments, extraneous elements often cause cognitive overload"
s003M02TP02,s003M02LI02,be_constrained_by,c202M01N10,c202M01N21,E,SIC 20-39 - Manufacturing,MAR still has jittery imagery of holes on board after several pins are connected
s003M02TP02,s003M02LI01,be_constrained_by,c202M01N10,c202M01N24,E,SIC 20-39 - Manufacturing,"validity of the 10-question knowledge test is acknowledged as a limitation, particularly due to repeated use of shuffled questions."
s003M02TP02,s003M02LI01,mitigate,c202M01N10,c202M01N20,E,SIC 20-39 - Manufacturing,It is suggested that signaling principle can effectively reduce this overload by highlighting essential aspects of the material.
s003M02TP02,s003M02LI02,resolve,c202M01N10,c202M01N19,E,SIC 20-39 - Manufacturing,the application precisely displaying the position of IoT components on the breadboard during assembly.
s003M02EX02,s003M02TP02,be_transferred_by,c202M02N03,c202M02N11,E,SIC 20-39 - Manufacturing,The MAR application learning intervention was conducted. AR displayed assembly steps to aid participants.
s003M02KH02,s003M02TP02,participate_in,c202M02N08,c202M02N11,E,SIC 20-39 - Manufacturing,MAR group participants (20) used the MAR application.
s003M02EX02,s003M02KH02,be_absorbed_by,c202M02N01,c202M02N08,E,SIC 20-39 - Manufacturing,"MAR group obtain score of M=6.55 (pre-test) to M=7.90 (immediate post-test), a 21% increase (Z=-2.928, p=0.003)."
s003M02TA01,s003M02KH02,be_absorbed_by,c202M02N04,c202M02N08,E,SIC 20-39 - Manufacturing,"MAR group error rate significantly reduced from first to second evaluation (Z=-3.480, p=0.001), indicating skill absorption."
s003M02TA02,s003M02KH02,be_absorbed_by,c202M02N06,c202M02N07,E,SIC 20-39 - Manufacturing,"No statistically significant change in knowledge scores from immediate to delayed post-test (MAR p=0.886, paper p=0.914), indicating knowledge was retained (absorbed into long-term memory)."
