node_id,node_name,category,evidence_label,case_title,evidence_count,evidence_statement
s002M02ED01,Macro-Regulatory & Jurisdictional Frameworks,Environmental Dependency,G,SIC 80 - Services (Health Services),1,c103M01N22 | Good Manufacturing Practices Standards: the standards of quality expected in Good Manufacturing Practices must be ensured.
s002M02ED02,Market Dynamics & Industry Baselines,Environmental Dependency,G,SIC 80 - Services (Health Services),3,"c101M01N18 | Resource-limited settings: This approach represents a practical, scalable strategy for enhancing pediatric surgery education, particularly in resource-limited settings.
c104M02N28 | Mandarin medical context: iFlytek automatic speech recognition (Mandarin medical context; no manual correction).
c105M02N28 | 4-week time limit (free version): The training is offered for free (limited access for 4 weeks, no completion certificate)"
s002M02ED03,Physical Site Conditions & Spatial Configuration,Environmental Dependency,G,SIC 80 - Services (Health Services),5,"c103M02N38 | Cleanroom environment: One team at a time entered the cleanroom with the training pharmacist.
c103M02N39 | Physical constraints of isolator: The repetitiveness and awkward postures associated with chemotherapy preparation within an isolator put operators at risk of musculoskeletal disorders.
c104M02N26 | Hospital inpatient setting: The study participants were patients hospitalized in a tertiary hospital from May 2025 to July 2025 who needed to receive medical education.
c109M02N14 | Community-based elderly centers: recruited from 10 local daily elderly centers
c109M02N16 | Portability of the set-up: portability of the set-up"
s002M02ED04,Socio-Technical Utilities & Infrastructure Access,Environmental Dependency,G,SIC 80 - Services (Health Services),5,"c104M01N15 | WAV/MP3 audio format specifications: Phase 2 evaluated original audio directly uploaded to the ChatGPT web interface in WAV/MP3 16-kHz sampling rate.
c106M01N20 | Internet Infrastructure: allow players to play without an internet connection, as the internet can be unstable
c108M01N10 | Internet access: In recent years, the number of MOOCs has grown exponentially, in line with the increase in the number of people with access to the internet.
c108M02N32 | Access to mobile devices: Ease of access to communication and information devices by nurses
c109M02N15 | Availability of mobile devices: accessibility of the AR headset, prevalence of mobile devices"
s002M02EX01,"Codified Guidelines, Standards & Blueprints",Explicit Knowledge,G,SIC 80 - Services (Health Services),25,"c101M01N05 | Standardized lecture scripts: Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.
c101M02N01 | Pediatric surgery lecture scripts: Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.
c102M01N01 | Standard Baduanjin routine definitions: A movement animation data repository containing the eight styles of movements realizes the unified mapping of standard movement keyframes.
c102M02N01 | Baduanjin movement instructions: The system organizes a movement animation data repository containing the eight styles of movements, realizing unified mapping of standard movement keyframes, movement semantics and voice commands
c102M02N02 | Cultural historical background: Each card presents historical context, intangible cultural heritage (ICH) knowledge, and the corresponding rehabilitative effect
c102M02N03 | Health benefits and rehabilitative effects: Each card presents... the corresponding rehabilitative effect. For example, after performing the 'Drumming and Cursing Cao' movement, the card highlights its role in promoting blood circulation and strengthening the arms
c102M02N06 | Movement semantics and voice commands mapping: Unified mapping of standard movement keyframes, movement semantics and voice commands
c103M01N01 | Robot Knowledge / Process Steps: For Knowing the manufacturing steps, cards with the steps were placed in the correct order.
c103M01N02 | Criteria for Robot Use / Compound Specificities: For Knowing the criteria for using the robot, teams guessed whether certain compounds could be used with the robot.
c103M01N03 | Production Error Protocols: For Knowing how to handle production errors, the answer to each error (taken from real-life issues) was selected from four options.
c103M01N04 | Institutional Internal Procedures: participants read the institution's internal procedures about working with the robot
c104M01N01 | Standardized written education materials: Traditional methods of patient education primarily rely on verbal explanations and standardized written materials.
c104M02N01 | Standardized health education content: The traditional education group received the hospital's current standardized patient education, including verbal education by medical staff and standardized written education materials.
c104M02N02 | Personalized health education content: Medical professionals then formulated personalized education content based on standard education content and the patient's specific situation.
