node_id,node_name,parent_id,category,case_title,evidence_statement
c101M01N01,Board-certified pediatric surgeons,s002M02KH01,Domain Experts & Clinical Validated Agents,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.
c101M01N02,Clinical medical students (years 3-5),s002M02KH02,Active Learners & Trainees,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Eligible participants included clinical medical students (years 3-5)
c101M01N03,Junior residents (PGY 1-2),s002M02KH02,Active Learners & Trainees,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"with smaller proportions of junior residents PGY 1-2 (n=20, 8.3%)"
c101M01N04,Senior residents (PGY >=3),s002M02KH02,Active Learners & Trainees,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"and senior residents PGY >=3 (n=10, 4.2%)."
c101M01N05,Standardized lecture scripts,s002M02EX01,"Codified Guidelines, Standards & Blueprints",Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.
c101M01N06,Knowledge acquisition,s002M02TA02,Cognitive Tacit Knowledge,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Primary outcomes were perceived educational clarity and knowledge acquisition assessed by a 40-item multiple-choice examination.
c101M01N07,Perceived educational clarity,s002M02TA02,Cognitive Tacit Knowledge,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Primary outcomes were perceived educational clarity (five-point Likert scale) and knowledge acquisition
c101M01N08,Traditional surgical residency training,s002M02TR07,Mentoring,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,Pediatric surgery training is challenged by declining clinical exposure and limited access to high-quality educational resources.
c101M01N09,Locally deployed AI-enhanced video-based learning,s002M02TP01,Interactive Virtual Simulators & Gamified Learning Workshops,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,To evaluate the educational impact and cost efficiency of locally deployed AI-enhanced lecture videos compared with standard faculty-recorded videos
c101M01N10,FLUX.1-Fill,s002M02TE01,Artificial Intelligence and Intelligent Computation,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,AI background replacement using FLUX.1-Fill (inpainting) and FLUX.1-dev (development) models
c101M01N11,FLUX.1-dev,s002M02TE01,Artificial Intelligence and Intelligent Computation,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,AI background replacement using FLUX.1-Fill (inpainting) and FLUX.1-dev (development) models
c101M01N12,ComfyUI,s002M02TE02,Human–Computer Interaction and Immersive Technologies,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,"AI enhancement used FLUX.1-Fill and FLUX.1-dev models via ComfyUI, an open-source workflow interface"
c101M01N13,GGUF Q8 quantization,s002M02TE01,Artificial Intelligence and Intelligent Computation,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,with models loaded using GGUF Q8 quantization reducing computational requirements
c101M01N14,DaVinci Resolve,s002M02TE02,Human–Computer Interaction and Immersive Technologies,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,All video assembly occurred in DaVinci Resolve. This frame-based approach provided precise control
c101M01N15,Adobe Podcast's free web-based enhancement tool,s002M02TE01,Artificial Intelligence and Intelligent Computation,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,with professional quality achieved through Adobe Podcast's free web-based enhancement tool.
c101M01N16,Institutionally subsidized faculty time,s002M02OD05,Operational Resource Allocation & Dedicated Timeline Provisions,Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study,This trade-off favors AI enhancement when faculty time is institutionally subsidized
