case_id,Initial_deepseek_nodes,Initial_deepseek_edges,Initial_chatgpt_nodes,Initial_chatgpt_edges,r1_nodes,r1_edges,r2_nodes,r2_edges,r3_nodes,r3_edges,node_accepted_rate,relation_accepted_rate,node_expansion_coefficient,relation_expansion_coefficient,dtv_valid
c001,39,63,57,84,95,141,91,123,84,122,0.88,0.83,1.47,1.45,0.86
c002,43,93,49,109,91,200,86,159,81,159,0.88,0.79,1.65,1.46,1.0
c003,25,40,24,27,49,53,45,41,40,41,0.82,0.61,1.6,1.02,0.66
c004,38,55,35,82,73,134,71,108,59,98,0.81,0.72,1.55,1.2,0.9
c005,56,76,46,78,102,152,94,118,73,116,0.72,0.75,1.3,1.49,0.72
c006,43,53,26,39,68,90,65,81,56,80,0.81,0.87,1.3,1.51,0.86
c007,65,86,40,116,102,202,96,143,85,141,0.81,0.7,1.31,1.22,0.86
c008,44,62,54,103,98,165,95,153,80,147,0.82,0.89,1.48,1.43,0.9
c009,70,116,50,80,120,194,115,158,89,139,0.74,0.71,1.27,1.2,0.86
c010,23,34,41,80,64,113,64,111,52,97,0.81,0.85,1.27,1.21,0.66
c011,40,80,40,69,72,84,67,71,38,70,0.47,0.47,0.95,0.88,0.79
c012,64,97,49,60,112,157,110,141,92,134,0.81,0.85,1.44,1.38,0.93
c014,63,90,43,87,106,177,104,117,86,110,0.81,0.62,1.37,1.22,0.86
c015,43,93,43,54,86,146,83,121,68,119,0.79,0.81,1.58,1.28,0.86
c016,24,30,39,70,63,100,59,87,54,87,0.86,0.87,1.38,1.24,0.72
c017,29,40,31,72,60,112,57,93,49,91,0.82,0.81,1.58,1.26,0.76
