case_id,Initial_deepseek_nodes,Initial_deepseek_edges,Initial_chatgpt_nodes,Initial_chatgpt_edges,r1_nodes,r1_edges,r2_nodes,r2_edges,r3_nodes,r3_edges,node_accepted_rate,relation_accepted_rate,node_expansion_coefficient,relation_expansion_coefficient,dtv_valid
c101,34,62,36,54,70,116,65,101,54,99,0.77,0.85,1.5,1.6,0.83
c102,39,60,35,55,74,115,72,98,54,85,0.73,0.74,1.38,1.42,0.79
c103,28,37,49,106,77,142,74,114,65,112,0.84,0.78,1.33,1.06,0.72
c104,27,41,34,64,61,105,57,79,52,79,0.85,0.75,1.53,1.23,0.72
c105,50,73,45,64,95,135,91,110,76,108,0.8,0.79,1.52,1.48,0.93
c106,14,25,35,54,49,78,46,57,40,55,0.82,0.7,1.14,1.02,0.76
c107,48,85,39,67,87,148,82,128,64,126,0.74,0.83,1.33,1.48,0.97
c108,63,80,65,147,124,226,114,175,107,172,0.84,0.76,1.65,1.17,0.93
c109,51,138,22,42,73,180,73,153,63,142,0.86,0.79,1.24,1.03,0.93
c110,15,23,32,44,46,66,42,49,37,48,0.79,0.72,1.16,1.09,0.76
c111,55,109,39,73,92,181,88,95,77,87,0.82,0.48,1.4,0.8,0.72
c113,42,94,30,62,72,156,70,132,59,120,0.82,0.77,1.4,1.28,0.79
c114,20,23,21,31,38,47,38,41,32,30,0.78,0.56,1.52,0.97,0.62
c115,25,50,16,19,41,69,36,43,33,41,0.8,0.59,1.32,0.82,0.62
c117,36,73,51,88,87,160,80,135,63,135,0.72,0.84,1.24,1.53,0.76
c119,27,37,50,90,77,124,71,102,59,86,0.77,0.68,1.18,0.96,0.66
c120,26,30,34,44,57,71,57,68,51,67,0.85,0.91,1.5,1.52,0.76
c121,38,53,23,42,60,94,54,72,49,61,0.8,0.64,1.29,1.15,0.72
c122,16,17,31,37,47,54,40,31,33,27,0.7,0.5,1.06,0.73,0.66
c124,40,37,27,53,62,90,57,66,50,63,0.75,0.7,1.25,1.19,0.69
c125,32,66,45,90,77,148,76,127,60,118,0.78,0.76,1.33,1.31,0.83
c126,22,33,38,54,59,87,52,56,49,54,0.82,0.62,1.29,1.0,0.59
