uuid,knowledge_capture_retention_discussed,knowledge_capture_retention_reasoning,knowledge_capture_retention_confidence,digital_technology_used_for_capture_retention,digital_technology_reasoning,digital_technology_confidence,technology_source_mentions,technology_normalized,technology_acm_class,technology_confidence,tacit_knowledge_source_mentions,tacit_knowledge_class,tacit_knowledge_confidence
1c14b01c-d440-4f9d-ae29-4c92804b8d04,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
c9a9df07-0665-4d2e-8272-edb90e43c8bf,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
ac5d8142-4c4e-4b48-9830-340152f654ca,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
c005cf35-5149-4d14-879d-0d40cb9d9029,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
3bdf6014-9b89-46ed-8678-703885821b20,No,"No explicit retention keywords found.",medium,Yes,"Digital technology used for preservation/engagement.",high,"['QR-code-enabled virtual tours', 'interactive displays']","qr-code-enabled virtual tours; interactive displays","Human–Computer Interaction and Immersive Technologies",medium,None identified,None identified,low
9a7001dd-c270-4aaa-ac44-eba47f747b72,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
bdd9ffa9-dd68-4ea0-8075-a9908d7b2b6d,No,"No explicit retention keywords found.",medium,Yes,"Photogrammetry used for anatomy education, but not explicitly for retention.",medium,"['photogrammetry']","photogrammetry","Imaging, Sensing, and Perception Technologies",medium,None identified,None identified,low
89127d76-eb2a-4c0b-98f2-5a004b2d0648,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
fa2b90d4-c4e8-469c-a42a-b2ca2d2120bc,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
c93ef024-62b5-4533-b1da-d187c88248f4,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
60e35a70-9e48-4226-8603-46ba2d893247,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
d6295b10-8eda-4cde-b320-703cd0db1c57,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
797a62b2-a3f6-4999-863f-1db72550398a,Yes,"Explicit knowledge acquisition via SPARQL.",high,Yes,"Ontological model for healthcare services uses SPARQL for knowledge acquisition.",high,"['Protege', 'SPARQL', 'Pellet Reasoner']","protege; sparql; pellet reasoner","Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",medium,None identified,None identified,low
d1290cb5-d8ed-487c-93ac-d9a51275a933,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
27f34c70-ed9d-483d-87df-d0538a8f6df8,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
5e89cdb3-aad5-4ef9-bf53-1380ca79421f,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
3a232ada-a98e-4f40-97eb-a8c5712de341,Yes,"Knowledge acquisition on malware development is captured via Telegram channels.",high,Yes,"Telegram is used as a platform for knowledge acquisition.",high,"['Telegram']","telegram","Mobile, Social, and Communication Technologies",medium,"malware development skills","procedural know-how",medium
8550bc3d-55cb-437f-85db-75ce6a28d2e1,Yes,"Knowledge creation, acquisition, sharing, transfer are studied.",high,Yes,"Digital tools (online collaborative office software) are mentioned.",high,"['online collaborative office software']","online collaborative office software","Mobile, Social, and Communication Technologies",medium,None identified,None identified,low
461bfb85-909c-4a32-aad0-036b23f63937,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
097382e0-ec5e-48cc-83a4-a3d6c5970630,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
6423a02d-7165-441d-bf30-1452923b2d41,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
7d670b9c-5ec9-4366-9d69-57f6c1e3c32b,Yes,"Knowledge acquisition is explicitly mentioned.",high,Yes,"Dynamic Bayesian Network and Spherical Fuzzy Set used for knowledge acquisition.",high,"['Spherical Fuzzy Set', 'dynamic Bayesian Network']","spherical fuzzy set; dynamic bayesian network","Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems",medium,"maritime accident knowledge","situational problem-solving knowledge",medium
