uuid,knowledge_capture_retention_discussed,knowledge_capture_retention_reasoning,knowledge_capture_retention_confidence,digital_technology_used_for_capture_retention,digital_technology_reasoning,digital_technology_confidence,technology_source_mentions,technology_normalized,technology_acm_class,technology_confidence,tacit_knowledge_source_mentions,tacit_knowledge_class,tacit_knowledge_confidence
0c444b73-6930-4bfa-8ae1-a9fe1e162119,No,"Study focuses on student achievements, attitudes, retention via modern teaching technologies, but not on capturing or retaining knowledge from individuals/organizations.",high,No,"Uses MoodleCloud for teaching new terms, but not for knowledge capture/retention from people.",high,"MoodleCloud program","MoodleCloud","Data, Information, and Knowledge Systems",high,"None identified","None identified",medium
4840f27c-f5e0-4706-ab41-f7e62d5dcbd1,No,"Focuses on predicting electrical performance using machine learning, not on knowledge capture/retention.",high,No,"Uses ML to predict performance, but not for knowledge capture/retention.",high,"K nearest neighbor algorithm; TCAD-ML","KNN; TCAD-ML","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
fa7337e8-2086-4bb7-acae-6843dc24aed2,No,"Focuses on predicting dissolved gas concentration, not on knowledge capture/retention.",high,No,"Uses ML for prediction, not for capture/retention.",high,"ICEEMDAN-IPSO-ELM","ICEEMDAN-IPSO-ELM","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
d7efe628-c630-4284-b55e-21541b61246f,No,"Focuses on enhancing learning achievement and reflection tendency via VR, not on knowledge capture/retention.",high,No,"Uses VR for learning, not explicitly for knowledge capture/retention.",high,"concept map-based community of inquiry (CM-CoI) framework VR system","CM-CoI VR system","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
9bcf3fbd-d182-4507-aaaf-a42f5185e3d6,No,"Focuses on navigation performance during GPS outages, not on knowledge capture/retention.",high,No,"Uses ML for navigation, not for capture/retention.",high,"minimal learning parameter (MLP); extreme learning machine (ELM); adaptive factor graph (AFG)","MLP; ELM; AFG","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
5ed7b583-8cfd-4521-8ddd-b64e722c494f,No,"Discusses knowledge acquisition via chatbot, but focuses on dissemination, not capture/retention from individuals/organizations.",medium,Yes,"Chatbot used to increase knowledge, implying knowledge dissemination; not explicit capture/retention from people.",medium,"chatbots","chatbots","Mobile, Social, and Communication Technologies",medium,"None identified","None identified",medium
ebaf6427-ac8c-4b64-bbb3-359f8245ae29,No,"Focuses on university branding and student perceptions in ODL, not on knowledge capture/retention.",high,No,"Uses digital communication technology for ODL, but not explicitly for capture/retention.",high,"digital communication technologies","digital communication technologies","Mobile, Social, and Communication Technologies",high,"None identified","None identified",medium
b03bbbe2-5f6a-4dfa-b5bb-956069b428bd,No,"Focuses on using XR for active learning and accreditation, not on knowledge capture/retention.",high,No,"Uses XR for learning, but not explicitly for capture/retention.",high,"Extended Reality (XR)","XR","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
aacbdecf-f108-472b-b4f9-b7feaaf380fd,No,"Focuses on constructing gem knowledge graph, not on knowledge capture/retention from people.",high,No,"Uses LLM and knowledge graph, but for knowledge organization, not capture/retention from individuals.",high,"Large language model (LLM); knowledge graph","LLM; knowledge graph","Data, Information, and Knowledge Systems",high,"None identified","None identified",medium
888c435e-8417-4aae-a6df-99c8ccabcfc0,No,"Focuses on spectrum sensing classification, not on knowledge capture/retention.",high,No,"Uses deep learning for classification, not for capture/retention.",high,"CNN; LSTM; Cooperative Spectrum Sensing (CSS)","CNN; LSTM; CSS","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
