node_id,node_name,category,evidence_label,case_title,evidence_statement,evidence_location
c003M01N01,Preventing Falls in Housing Construction - Code of Practice,Explicit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Training content was based on an Australian industrial standard-Preventing Falls in Housing Construction-Code of Practice,PAGE 7
c003M01N02,Construction hazard recognition ability,Tacit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,measurable improvements in hazard identification and risk assessment among construction workers and heavy machinery operators using immersive technologies,PAGE 2
c003M01N03,Construction safety experts,Knowledge Holder,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,A group of experts were engaged to understand the most effective learning criteria and the impact of XR visualizations,PAGE 1
c003M01N04,Final-year undergraduate or graduate engineering students,Knowledge Holder,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,"Following this, a cohort of engineering students were subjected to construction safety training in traditional, augmented reality (AR) and virtual reality (VR) environments. All of the students were final-year undergraduate or graduate students","PAGE 1, PAGE 16"
c003M01N05,Traditional classroom training session,Traditional Human-central Practice,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,"Current safety training sessions are delivered using traditional classroom lectures, textbook learning, and on-site safety briefings. These training methods are very broad in their approach and lack engagement",PAGE 1
c003M01N06,Virtual reality safety training system,Technology-enable Practice,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,"The training was developed on three distinct visualization platforms-traditional safety training presentation, VR-based safety training, and AR-based safety training. A Samsung Odyssey VR headset was used to demonstrate the VR-based safety training","PAGE 14, PAGE 17"
c003M01N08,Virtual reality head-mounted display,Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Samsung Odyssey VR headset was used for VR training,PAGE 16
c003M01N09,Augmented reality head-mounted display,Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Microsoft Hololens 2 was used for AR training,PAGE 16
c003M01N10,Dedicated training administration hours,Organizational Dependency,I,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,"For administration of training, the cohort was randomly divided into 3 groups of 20 trainees each and were subjected to different modes of training-one at a time with a gap of two weeks between two training sessions",PAGE 16
c003M01N11,Forgetting curve,Limitation,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,This gap between training sessions was kept so as to avoid influence of learning from previous presentations since most students would have forgotten about 80% of the content in a week's time,PAGE 17
c003M01N12,Knowledge-to-practice gap,Limitation,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,"These training methods are very broad in their approach and lack engagement, which results in the insufficient absorption of information by construction workers, which ultimately does not translate to long-term information retention",PAGE 1
c003M01N13,Physical locomotion constraints,Limitation,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,"On the other hand, the virtual visualizations were super-imposed onto a physical space and moving around them in a physical space was cumbersome for the participants",PAGE 23
c003M01N14,National occupational health and safety standards,Environmental Dependency,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Training content was based on an Australian industrial standard-Preventing Falls in Housing Construction-Code of Practice,PAGE 7
c003M01N15,Task-specific safety protection application know-how,Tacit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,The safety training aimed to educate the trainees on the different fall risks in housing construction by demonstrating different fall risks and fall protections that can be employed for managing those risks,PAGE 14
c003M02N02,Fall protection device types (active and passive),Explicit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Fall risks and their protections were modelled as per the code of practice. Animations were created to demonstrate how the fall protection devices are expected to be used.,Page 15
c003M02N04,Risk assessment skill,Tacit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,measurable improvements in hazard identification and risk assessment among construction workers and heavy machinery operators using immersive technologies,Page 1-2
c003M02N05,Safe behavioral responses on construction sites,Tacit Knowledge,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,knowledge acquisition … translates into safe construction practice on construction sites,Page 2
c003M02N07,Construction workers,Knowledge Holder,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,safety training effectively addresses the inexperience of and lack of knowledge among construction workers,Page 1
c003M02N09,PowerPoint presentation training,Traditional Human-central Practice,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,"The traditional safety training was prepared using Microsoft PowerPoint, and all the visualizations … were consistent with those presented in the code of practice.",Page 14
c003M02N12,Samsung Odyssey VR headset,Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Samsung Odyssey VR headset was used for VR training,Page 15
c003M02N13,Microsoft Hololens 2,Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,Microsoft Hololens 2 was used for AR training,Page 15
c003M02N14,Unity3D,Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,"the authors used Unity3D … to simulate the safety risks, their outcomes, and applicable safety protection devices.",Page 7 and Page 14
c003M02N15,Building Information Models (BIM),Digital Technology,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,increased adoption of Construction 4.0 standards has enabled the use of immersive building information models (BIM),Page 1
c003M02N16,Lack of engagement in traditional training,Limitation,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,These training methods are very broad in their approach and lack engagement,Page 1
c003M02N17,Insufficient absorption of information,Limitation,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,results in the insufficient absorption of information by construction workers,Page 1
c003M02N18,Poor long-term information retention,Limitation,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,does not translate to long‑term information retention,Page 1
c003M02N20,Cumbersome physical movement for AR,Limitation,E,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment,moving around them in a physical space was cumbersome for the participants,Page 23
