node_id,node_name,category,evidence_label,case_title,evidence_statement,evidence_location
c007M01N01,Chemotherapy production robot internal procedures,Explicit Knowledge,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"For the preparatory work, participants read the institution's internal procedures about working with the robot",PAGE 2
c007M01N02,Chemotherapy production robot manufacturing steps,Explicit Knowledge,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"For objective 1, the process's 16 steps were printed on cards that had to be put back into the right order.",PAGE 2
c007M01N03,Handling production errors,Tacit Knowledge,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"For objective 3, we created a game inspired by the TV show Who Wants to Be a Millionaire incorporating six problematic, real-life situations.",PAGE 2
c007M01N04,Compound compatibility criteria,Tacit Knowledge,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"For objective 2, fake Pokémon-like cards presenting a compound and its specificities were used to guess whether the compound could be used with the robot.",PAGE 2
c007M01N08,Trainer operators,Knowledge Holder,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Operators with the best scores were designated as trainers, and the others were designated as trainees.",PAGE 4
c007M01N09,Trainee operators,Knowledge Holder,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Operators with the best scores were designated as trainers, and the others were designated as trainees.",PAGE 4
c007M01N10,Training pharmacist,Knowledge Holder,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,The trainer was a pharmacist who specialized in using the robot. The training pharmacist simply observed but was ready to help.,PAGE 2
c007M01N11,Conventional training format,Traditional Human-central Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"These sessions were conducted following a conventional format consisting of trainees reading the recommended procedures, being shown the processes, and then repeating them themselves.",PAGE 2
c007M01N12,Adapted Peyton approach practical training,Traditional Human-central Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Using an adapted version of the Peyton approach, the trainer became the trainee, and the trainee became the trainer.",PAGE 2
c007M01N13,Debriefing session,Traditional Human-central Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"At the end of the entire training program, there was a 10-minute debriefing where participants were encouraged to discuss what they had learned.",PAGE 3
c007M01N14,Game-based theoretical training sessions,Technology-enable Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"We created a short, playful, standardized, gamed-based training program to address this, and evaluated its impact.",PAGE 1
c007M01N15,Mind mapping software,Digital Technology,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"For the introduction, a mind map representing the training program's goals and the process for using the robot was created on Framindmap.",PAGE 2
c007M01N16,Curriculum design software,Digital Technology,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Learning Designer's free online software was used to help build the training program.,PAGE 2
c007M01N17,Dedicated training hours,Organizational Dependency,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Indeed, fitting 2 hours of training into operators heavy workloads was a fundamental challenge of this study.",PAGE 7
c007M01N18,ICT-usage baseline classification,Organizational Dependency,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Operators were divided into two groups, depending on their score, with the best scores placed in the trainer group and the lower scores in the trainee group.",PAGE 3
c007M01N19,Interoperator variability,Limitation,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Moreover, there may be significant interoperator variability, for example, in preparation accuracy.",PAGE 1
c007M01N20,Forgetting curve of motivation,Limitation,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Motivation was evaluated on a scale from 0 to 100 and increased from a mean of 57.6 to 86.6 immediately after the training; however, it decreased to 70.4 at six months.",PAGE 5
c007M01N21,Forgetting curve of self-efficacy,Limitation,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Self-efficacy was evaluated on a scale from 0 to 100 and increased from 48.5 to 75.6 immediately after the training program but decreased to 60.2 at six months.,PAGE 5
c007M01N22,Machine downtime periods,Limitation,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Concurrently, the robot's complex technical use and periods of machine downtime caused drops in motivation, which led to a return to using traditional nonautomated preparation methods.",PAGE 2
c007M01N23,Small sample size,Limitation,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,The present study's limitations include its small sample size (14 operators) and the low number of questions (10) used to survey their knowledge.,PAGE 7
c007M02N04,Institution's internal procedures about working with the robot,Explicit Knowledge,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Participants read the institution's internal procedures about working with the robot.,"Page 2, Preparatory work"
c007M02N05,Robot cleaning schedule,Explicit Knowledge,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,The robot is cleaned: (pick the correct answer) Every day / Once a week / ...,"Page 12, Questionnaire"
c007M02N10,Psychomotor skills in robot operation,Tacit Knowledge,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Adapted version of the Peyton approach: the trainee performs, narrates, then the trainer corrects.","Page 2-3, Practical part"
c007M02N11,Ability to handle production errors in real-time,Tacit Knowledge,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Answer to each error (taken from real‑life issues) was selected from four options.,"Page 1, Game 3 description"
c007M02N12,Collaboration skills in pairs,Tacit Knowledge,I,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Participants noted 'sharing our skills and experience with colleagues', 'makes you want to work in pairs'.","Page 5, Free comments"
c007M02N18,Conventional training sessions,Traditional Human-central Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Conventional format consisting of trainees reading the recommended procedures, being shown the processes, and then repeating them themselves.","Page 2, Introduction"
c007M02N19,Reading recommended procedures,Traditional Human-central Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Trainees reading the recommended procedures.,"Page 2, Introduction"
c007M02N20,Demonstration of processes,Traditional Human-central Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Being shown the processes.,"Page 2, Introduction"
c007M02N21,Repetition of procedures by trainee,Traditional Human-central Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Then repeating them themselves.,"Page 2, Introduction"
c007M02N23,Game-based training program,Technology-enable Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Short, playful, standardized, game‑based training program.","Page 1, Abstract"
c007M02N24,Card ordering game,Technology-enable Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Cards with the steps were placed in the correct order.,"Page 1, Methods"
c007M02N25,Pokémon-like card game,Technology-enable Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Teams guessed whether certain compounds could be used with the robot.,"Page 1, Methods"
c007M02N26,Millionaire-inspired game,Technology-enable Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Answer to each error was selected from four options.,"Page 1, Methods"
c007M02N27,Adapted Peyton approach training,Technology-enable Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Adapted version of the Peyton approach: the trainee performs, narrates, then the trainer corrects.","Page 2-3, Practical part"
c007M02N28,Online ICT usage survey,Technology-enable Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,2‑minute survey created to learn about operators' usage of technologies.,"Page 3, Creation of teams"
c007M02N29,Mind map introduction,Technology-enable Practice,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,A mind map representing the training program's goals and the process for using the robot was created on Framindmap.,"Page 2, Introduction"
c007M02N30,Framindmap online software,Digital Technology,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Framindmap. https://framindmap.org/cl/ogin,"Page 8, Reference 10"
