node_id,node_name,category,evidence_label,case_title,evidence_statement,evidence_location
c103M01N01,Internal Written Procedures,Explicit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,participants read the institution's internal procedures about working with the robot,PAGE 2
c103M01N02,Robot Manufacturing Steps Sequence,Explicit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,the process's 16 steps were printed on cards,PAGE 2
c103M01N03,Robot Manufacturing Sequence Mastery,Tacit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,For Knowing the manufacturing steps cards with the steps were placed in the correct order,PAGE 1
c103M01N04,Compounding Compatibility Criteria Know-How,Tacit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,For Knowing the criteria for using the robot teams guessed whether certain compounds could be used,PAGE 1
c103M01N05,Production Error Troubleshooting Routines,Tacit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,For Knowing how to handle production errors the answer to each error was selected,PAGE 1
c103M01N06,Cleanroom Robot Handling Skills,Tacit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,"the trainer became the trainee, and the trainee became the trainer",PAGE 2
c103M01N07,Operator Self-Efficacy Beliefs,Tacit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,motivation and self-efficacy in using it on 0-to-100 scales,PAGE 1
c103M01N08,Operator Motivation,Tacit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,"Complex technical use, downtime periods, and insufficient training caused a drop in motivation",PAGE 1
c103M01N09,Pharmacist Trainer,Knowledge Holder,E,Game-based learning as training to use a chemotherapy preparation robot,The trainer was a pharmacist who specialized in using the robot,PAGE 2
c103M01N10,Pharmacy Trainee,Knowledge Holder,E,Game-based learning as training to use a chemotherapy preparation robot,"operators with the best scores were designated as trainers, and the others were designated as trainees",PAGE 4
c103M01N11,Conventional Training Format,Traditional Human-central Practice,E,Game-based learning as training to use a chemotherapy preparation robot,"conventional format consisting of trainees reading the recommended procedures, being shown the processes, and then repeating them",PAGE 2
c103M01N12,Theoretical Game-Based Training Session,Technology-enable Practice,E,Game-based learning as training to use a chemotherapy preparation robot,Theoretical part of the training took place in a classroom and was divided into three 15-minute games,PAGE 2
c103M01N13,Practical Cleanroom Hands-On Training,Technology-enable Practice,E,Game-based learning as training to use a chemotherapy preparation robot,"For the practical part, one team at a time entered the cleanroom with the training pharmacist",PAGE 2
c103M01N14,Framindmap Mind-Mapping Software,Digital Technology,E,Game-based learning as training to use a chemotherapy preparation robot,a mind map representing the training program's goals and the process for using the robot was created on Framindmap,PAGE 2
c103M01N15,Learning Designer Curriculum Software,Digital Technology,E,Game-based learning as training to use a chemotherapy preparation robot,Learning Designer's free online software was used to help build the training program,PAGE 2
c103M01N16,Dedicated Training Hours within Workloads,Organizational Dependency,E,Game-based learning as training to use a chemotherapy preparation robot,fitting 2 hours of training into operators heavy workloads was a fundamental challenge of this study,PAGE 7
c103M01N17,PhD Student Project Management Support,Organizational Dependency,E,Game-based learning as training to use a chemotherapy preparation robot,"This was possible as the work was performed as part of a PhD thesis, with the doctoral student involved in 100% of the project",PAGE 7
c103M01N18,Cleanroom Access Constraints,Environmental Dependency,I,Game-based learning as training to use a chemotherapy preparation robot,These skills are particularly important when preparing cytotoxic drugs in cleanrooms because the standards of quality expected in Good Manufacturing Practices must be ensured,PAGE 2
c103M01N19,Operator Hiring and Departures Turnaround,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,operator hiring and departures gradually led to disparities in their training and knowledge,PAGE 2
c103M01N20,Complex Robot Technical Use and Downtime,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,robot's complex technical use and periods of machine downtime caused drops in motivation,PAGE 2
c103M01N21,Interoperator Accuracy Variability,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,"there may be significant interoperator variability, for example, in preparation accuracy",PAGE 1
c103M01N22,Forgetting Curve of Motivation and Self-Efficacy,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,motivation and self-efficacy decreased at six months,PAGE 5
c103M01N23,Small Evaluation Sample Size,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,limitations include its small sample size (14 operators),PAGE 7
c103M01N24,Long Development and Setup Time,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,The time spent preparing and setting up the training sessions was not specifically recorded but was consequent,PAGE 7
c103M02N01,16 manufacturing steps,Explicit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,"For objective 1, the process's 16 steps were printed on cards that had to be put back into the right order.",Page 2
c103M02N02,"Robot usage criteria (compound stability, viscosity, dosage)",Explicit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,"For objective 2, fake Pokémon like cards presenting a compound and its specificities (stability, viscosity, usual dosage, etc.) were used.",Page 2
c103M02N03,Error handling procedures (real-life issues),Explicit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,"For objective 3, we created a game inspired by 'Who Wants to Be a Millionaire?' incorporating six problematic, real-life situations. Each problem was presented with four potential answers.",Page 2
c103M02N04,PharmaHelp robot survey knowledge (0-24 scale),Explicit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,This survey of 10 questions scored from 0-24 examined operators' knowledge about the robot itself and our hospital's process for using it.,Page 4
c103M02N05,Internal procedures document,Explicit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,"For the preparatory work, participants read the institution's internal procedures about working with the robot.",Page 2
c103M02N06,Preparatory video content,Explicit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,"[participants] watched a video about the robot, at least 1 week before the training program.",Page 2
c103M02N07,Motivation to use robot,Tacit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,Motivation... evaluated on a scale from 0 to 100.,Page 5
c103M02N08,Self-efficacy (confidence) in using robot,Tacit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,self‑efficacy in their ability to use the robot... on scales from 0-100.,Page 4
c103M02N10,"Interpersonal skills (teamwork, collaboration)",Tacit Knowledge,E,Game-based learning as training to use a chemotherapy preparation robot,Several comments mentioned how agreeable it was to train in pairs... teamwork and the degree of collaboration were not assessed but probably contributed significantly.,Page 7
c103M02N11,Real-time error detection intuition,Tacit Knowledge,I,Game-based learning as training to use a chemotherapy preparation robot,"For objective 3... six problematic, real-life situations. Each problem was presented with four potential answers.",Page 2
c103M02N12,Operator (Trainer),Knowledge Holder,E,Game-based learning as training to use a chemotherapy preparation robot,operators with the best scores... were designated as trainers.,Page 4
c103M02N13,Operator (Trainee),Knowledge Holder,E,Game-based learning as training to use a chemotherapy preparation robot,the others... were designated as trainees.,Page 4
c103M02N14,Pharmacist (Trainer),Knowledge Holder,E,Game-based learning as training to use a chemotherapy preparation robot,The trainer was a pharmacist who specialized in using the robot.,Page 2
c103M02N15,Training Pharmacist (Observer),Knowledge Holder,E,Game-based learning as training to use a chemotherapy preparation robot,the training pharmacist simply observed but was ready to help or give feedback.,Page 3
c103M02N16,"Conventional training (reading, demonstration, repetition)",Traditional Human-central Practice,E,Game-based learning as training to use a chemotherapy preparation robot,"sessions were conducted following a conventional format consisting of trainees reading the recommended procedures, being shown the processes, and then repeating them themselves.",Page 2
c103M02N17,Card sorting game,Traditional Human-central Practice,E,Game-based learning as training to use a chemotherapy preparation robot,"For objective 1, the process's 16 steps were printed on cards that had to be put back into the right order.",Page 2
c103M02N18,Pokémon card guessing game,Traditional Human-central Practice,E,Game-based learning as training to use a chemotherapy preparation robot,fake Pokémon like cards presenting a compound and its specificities... the other team had to guess whether the compound could be used with the robot.,Page 2
c103M02N19,Millionaire-style quiz game,Traditional Human-central Practice,E,Game-based learning as training to use a chemotherapy preparation robot,"a game inspired by the TV show 'Who Wants to Be a Millionaire?' incorporating six problematic, real-life situations.",Page 2
c103M02N20,Preparatory video watching,Technology-enable Practice,E,Game-based learning as training to use a chemotherapy preparation robot,"watched a video about the robot, at least 1 week before the training program.",Page 2
c103M02N21,Mind map introduction (Framindmap),Technology-enable Practice,E,Game-based learning as training to use a chemotherapy preparation robot,a mind map representing the training program's goals and the process for using the robot was created on Framindmap.,Page 2
c103M02N22,Practical robot training (Peyton approach),Technology-enable Practice,E,Game-based learning as training to use a chemotherapy preparation robot,Using an adapted version of the Peyton approach... the trainer/trainee team was asked to prepare two bags...,Page 2-3
c103M02N23,DailyMotion video platform,Digital Technology,E,Game-based learning as training to use a chemotherapy preparation robot,"Hôpitaux Universitaires de Genève. Préparations automatisées de chimiothérapies, https://www.dailymotion.com/video/x2ys7u8.",Page 8
c103M02N27,Work schedule alignment,Organizational Dependency,E,Game-based learning as training to use a chemotherapy preparation robot,Training took place during the afternoon with teams of trainer/trainee constituted according to the work schedule of the unit.,Page 5
c103M02N28,Preparatory work completion requirement,Organizational Dependency,E,Game-based learning as training to use a chemotherapy preparation robot,participants read the institution's internal procedures... and watched a video... at least 1 week before the training program.,Page 2
c103M02N29,Good Manufacturing Practices (GMP) standards,Environmental Dependency,E,Game-based learning as training to use a chemotherapy preparation robot,the standards of quality expected in Good Manufacturing Practices must be ensured.,Page 2
c103M02N30,Cleanroom physical access,Environmental Dependency,E,Game-based learning as training to use a chemotherapy preparation robot,entered the cleanroom with the training pharmacist.,Page 2
c103M02N31,Small sample size (n=14),Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,The present study's limitations include its small sample size (14 operators).,Page 7
c103M02N32,Low number of survey questions (10),Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,the low number of questions (10) used to survey their knowledge.,Page 7
c103M02N34,High development time (>100 hours),Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,leading to a probable total of more than 100 hours.,Page 7
c103M02N35,Motivation decay over 6 months,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,motivation... decreased to 70.4 ± 33.6 at six months (p > 0.1 compared to pretraining).,Page 5
c103M02N36,Self-efficacy decay over 6 months,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,self‑efficacy... decreased to 60.2 ± 38.1 at six months (p > 0.1 compared to pretraining).,Page 5
c103M02N37,Robot breakdown period,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,our PharmaHelp® robot was little used during the six months post‑training because of a breakdown.,Page 7
c103M02N38,Technical complexity of robot,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,the robot's complex technical use,Page 2
c103M02N41,Return to manual methods,Limitation,E,Game-based learning as training to use a chemotherapy preparation robot,"drops in motivation, which led to a return to using traditional nonautomated preparation methods.",Page 2
