node_id,node_name,category,evidence_label,case_title,evidence_statement,evidence_location
c005M01N01,Individual skill,Tacit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,One is to know the physical abilities and skills of each worker.,PAGE 1
c005M01N02,Work content,Tacit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,The other is to quantify the work content and physical burden of each worker.,PAGE 1
c005M01N03,Flexibility,Tacit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"This age group has less muscle weakness and more confidence in their physical strength compared to younger generations, but they have reduced flexibility and balance",PAGE 2
c005M01N04,Balance,Tacit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"This age group has less muscle weakness and more confidence in their physical strength compared to younger generations, but they have reduced flexibility and balance",PAGE 2
c005M01N05,Core strength,Tacit Knowledge,I,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,and may not be aware of their weakening core.,PAGE 2
c005M01N06,Workers aged 45 and older,Knowledge Holder,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"Based on the study conducted on “KEIROKA”, individuals aged 45 and older are the most likely to require an assistance suit and experience the impact of light labour.",PAGE 2
c005M01N07,Younger people,Knowledge Holder,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"To promote the securing of labour by older workers, the enlightenment of the concept of “KEIROKA,” and the transmission of technology to younger people",PAGE 6
c005M01N08,Professional contractors,Knowledge Holder,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,professional contractors expressed strong expectations for the assistive suits.,PAGE 1
c005M01N09,General contractors,Knowledge Holder,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,General contractors are racing to develop construction robots as part of a countermeasure to the decline in construction workers and new hires.,PAGE 1
c005M01N10,Physical performance assessment index,Explicit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,A physical performance assessment index was constructed by setting a coefficient with a perfect score of 200 points for each item experimentally.,PAGE 3
c005M01N11,Evaluation equation for physical performance,Explicit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,an evaluation equation (1) for physical performance was developed from eight items adding age to the seven items of physical strength test.,PAGE 3
c005M01N12,Standard value of physical strength necessary for work,Explicit Knowledge,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,Standard value of physical strength necessary for work,PAGE 6
c005M01N13,In-house technological development meeting,Traditional Human-central Practice,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,At a meeting held in the fall of 2019 to exchange views on in-house technological development,PAGE 1
c005M01N14,Transmission of technology to younger people,Traditional Human-central Practice,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"and the transmission of technology to younger people, we would like to continue this research",PAGE 6
c005M01N15,Workload measurement using wearable sensors,Technology-enable Practice,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"In this study, a lumbar load measuring device with multiple IMU sensors was used to measure workload.",PAGE 2
c005M01N16,Physical strength measurement at site office,Technology-enable Practice,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"To measure the physical performance of individuals and analyses the correlation with diseases, physical strength measurements and health questionnaires of workers were conducted.",PAGE 2
c005M01N17,Lumbar load measurement,Technology-enable Practice,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"First, the lumbar load estimation algorithm based on the posture change of the wearable sensor used in this research is explained.",PAGE 3
