node_id,node_name,category,evidence_label,case_title,evidence_statement,evidence_location
c004M01N01,Historical Bid Documents,Explicit Knowledge,E,A generative AI model for automating construction bid preparation,"A dedicated domain-specific database was created, containing 13 historical bid documents spanning multiple project types.",PAGE 7
c004M01N02,Requests for Proposals (RFPs),Explicit Knowledge,E,A generative AI model for automating construction bid preparation,Data were collected through semi-structured interviews with bid personnel and analysis of historical proposals and Requests for Proposals.,PAGE 2
c004M01N04,Context-aware judgment and understanding of nuanced project risks,Tacit Knowledge,E,A generative AI model for automating construction bid preparation,"Customization challenges arise particularly in drafting method statements, which require context-aware judgment and understanding of nuanced project risks...",PAGE 17
c004M01N05,Bid manager's intuition,Tacit Knowledge,E,A generative AI model for automating construction bid preparation,...contrasts with Beta's reliance on the bid manager's intuition.,PAGE 18
c004M01N06,Lead Tender Administrator (LTA),Knowledge Holder,E,A generative AI model for automating construction bid preparation,"At Alpha, the lead tender administrator (LTA) participated...",PAGE 5
c004M01N07,Bid Manager (BM),Knowledge Holder,E,A generative AI model for automating construction bid preparation,"...at Beta, the bid manager (BM) and two bid administrators (BAs) provided input.",PAGE 5
c004M01N08,Expert Evaluators,Knowledge Holder,E,A generative AI model for automating construction bid preparation,"To this end, five experts were selected based on their extensive professional experience in construction procurement and bid preparation to independently assess...",PAGE 15
c004M01N09,Manual Bid Preparation Workflow,Traditional Human-central Practice,E,A generative AI model for automating construction bid preparation,"Construction bid preparation remains predominantly manual, labour-intensive, and time-pressured, often constrained by fragmented information...",PAGE 2
c004M01N10,Human-in-the-loop review,Traditional Human-central Practice,E,A generative AI model for automating construction bid preparation,A human-in-the-loop review was incorporated to ensure quality and align with best practice guidelines for AI-assisted professional work.,PAGE 7
c004M01N11,GenAI-based Bid Preparation System,Technology-enable Practice,E,A generative AI model for automating construction bid preparation,This study develops a proof-of-concept Generative AI (GenAI) framework that automates key components of bid proposal development.,PAGE 2
c004M01N12,Pinecone Vector Database Search,Technology-enable Practice,E,A generative AI model for automating construction bid preparation,"Embeddings were stored in a Pinecone vector database, enabling semantic similarity searches using cosine similarity.",PAGE 7
c004M01N13,Large Language Models (LLMs),Digital Technology,E,A generative AI model for automating construction bid preparation,"The study identifies high-value automation targets, including technical write-ups, and translates these insights into a GenAI framework integrating LLMs...",PAGE 2
c004M01N14,Generative AI (GenAI),Digital Technology,E,A generative AI model for automating construction bid preparation,"While previous studies have significantly advanced contractor-focused automation, limited attention has been given to consulting firms... incorporates Generative AI (GenAI) tools",PAGE 5
c004M01N15,Centralized Data System Readiness,Organizational Dependency,E,A generative AI model for automating construction bid preparation,Overcoming this challenge will require the development of integrated data management systems that can centralize and standardize the information needed for bid preparation.,PAGE 18
c004M01N16,Organizational Maturity,Organizational Dependency,E,A generative AI model for automating construction bid preparation,This suggests that organizational maturity and information systems readiness significantly influence a firm's automation readiness.,PAGE 18
c004M01N17,Knowledge Loss from Staff Turnover,Limitation,E,A generative AI model for automating construction bid preparation,"These tasks demand considerable human effort and cross-functional coordination, heightening the risk of errors, inconsistencies, and knowledge loss, particularly in firms with high staff turnover",PAGE 2
c004M01N18,Fragmented Information Storage,Limitation,E,A generative AI model for automating construction bid preparation,"Construction bid preparation remains predominantly manual, labour-intensive, and time-pressured, often constrained by fragmented information, inconsistent documentation...",PAGE 2
c004M01N19,Inability to parse non-OCR scanned text,Limitation,E,A generative AI model for automating construction bid preparation,"First, the current extraction process only supports PDF documents; accuracy decreases for scanned or image-based documents, as no Optical Character Recognition (OCR) is integrated.",PAGE 16
c004M02N03,Methodology sections,Explicit Knowledge,E,A generative AI model for automating construction bid preparation,methodology section of proposals was selected as a proof-of-concept due to its significance and complexity,p.5
c004M02N04,Project sheets,Explicit Knowledge,E,A generative AI model for automating construction bid preparation,project sheet preparation as a key activity with automation potential,p.9
