src_node_id,dst_node_id,relation_type,evidence_count,evidence_statement,case_title,evidence_label
s003M01EK01,s003M01EK06,be_derived_from,2,"c210M01N03 - c210M02N01: The Chinese version of the Standard Guide to Practice Standards for Intravenous Infusion Therapy (2021 edition), the Standard of Practice for Intravenous Therapy Nursing Techniques (WS/T 433-2023), and the Clinical Nursing Practice Guidelines for Common Complications of Intravenous Catheters were referenced. On this basis, we synthesised the relevant domestic literature and reformulated the survey questions
c210M01N03 - c210M02N02: The Chinese version of the Standard Guide to Practice Standards for Intravenous Infusion Therapy (2021 edition), the Standard of Practice for Intravenous Therapy Nursing Techniques (WS/T 433-2023), and the Clinical Nursing Practice Guidelines for Common Complications of Intravenous Catheters were referenced",SIC 20-39 - Manufacturing,Aggregation
s003M01EK01,s003M01THR11,be_transferred_by,1,"c212M02N02 - c212M02N16: Traditional lectures and seminars covered fundamental principles of bioethics, based on established ethical codes.",SIC 20-39 - Manufacturing,Aggregation
s003M01EK01,s003M01TK05,translate_into,1,c210M01N02 - c210M02N08: Standard of Practice for Intravenous Therapy Nursing Techniques was used to inform practical standards,SIC 20-39 - Manufacturing,Aggregation
s003M01EK01,s003M01TK10,translate_into,3,"c210M01N03 - c210M02N09: Clinical Nursing Practice Guidelines for Common Complications of Intravenous Catheters were used to inform protocols
c212M02N02 - c212M01N06: Moral behavior test developed based on existing scales and tests in medical ethics. Moral behavior encompasses actions based on moral norms and values regulating human relationships.
c212M02N03 - c212M01N06: Medical deontology refers to set of ethical norms governing professional behavior. Deontology reflects ethical concepts and possesses pragmatic nature associated with specific medical professions.",SIC 20-39 - Manufacturing,Aggregation
s003M01EK01,s003M01TP01,be_transferred_by,2,"c209M01N04 - c209M01N17: A hollow spherical safety margin was displayed around the tumor in the 3DP model.
c209M01N04 - c209M02N29: Course covered knowledge of safe margins using 3DV model",SIC 20-39 - Manufacturing,Aggregation
s003M01EK01,s003M01TP03,be_transferred_by,4,"c212M02N03 - c212M02N22: HoloLens-based learning delivered deontology content through interactive AR scenarios.
c216M01N01 - c216M01N35: ReviveXR's CPR content used AHA CPR training guidelines.
c216M01N02 - c216M01N35: ReviveXR's naloxone content used SAMHSA guidelines.
c216M02N05 - c216M01N35: Mean for incorrectly answering 'No need to call for an ambulance...' decreased to zero in round 2.",SIC 20-39 - Manufacturing,Aggregation
s003M01EK01,s003M01TP04,be_transferred_by,2,"c212M01N01 - c212M01N15: Students applied ethical principles while interacting with virtual ethical scenarios.
c212M02N02 - c212M01N15: Interactive AI simulations incorporated bioethical principles and codes as training content.",SIC 20-39 - Manufacturing,Aggregation
s003M01EK01,s003M01TP08,be_transferred_by,1,c212M02N02 - c212M01N16: AI Assistant programs employed ethical principles to assist in case analysis and decision-making.,SIC 20-39 - Manufacturing,Aggregation
s003M01EK01,s003M01TP13,be_transferred_by,2,"c227M01N03 - c227M01N16: Registry results were intended to be interpreted against applicable wait-time goals and contractual standards.
c227M02N02 - c227M01N16: According to formal agreements, economic sanctions would be applied to large care providers if fewer than 80% of the patients received care within the wait time guarantee.",SIC 20-39 - Manufacturing,Aggregation
s003M01EK02,s003M01EK01,be_derived_from,6,"c210M01N06 - c210M01N01: The knowledge questionnaire was revised with reference to the Standard Guide to Practice Standards for Intravenous Fluid Therapy.
c210M01N06 - c210M01N02: The knowledge questionnaire was revised with reference to WS/T 433-2023.
c210M01N06 - c210M01N03: The knowledge questionnaire was revised with reference to the clinical nursing practice guidelines.
c219M01N05 - c219M01N02: The curriculum knowledge system and its knowledge points were aligned with the curriculum syllabi.
c219M01N07 - c219M01N02: The ontological schema was designed in accordance with the curriculum objectives specified by the curriculum framework and syllabus.
c219M01N08 - c219M01N09: The predicates in the structured triples were drawn from the formally defined semantic relationships, including has etiology, has treatment, and has nursing intervention.",SIC 20-39 - Manufacturing,Aggregation
s003M01EK02,s003M01EK03,be_derived_from,1,c221M02N01 - c221M01N05: Ancient medical recipe books are translated into English and digitized into PDF formats to enrich the platform's knowledge base,SIC 20-39 - Manufacturing,Aggregation
s003M01EK02,s003M01EK05,be_derived_from,1,c213M02N12 - c213M02N04: Each node trains a local predictive model using its historical and real-time data,SIC 20-39 - Manufacturing,Aggregation
s003M01EK02,s003M01EK09,be_derived_from,1,c210M01N06 - c210M01N04: Relevant domestic literature was synthesized when the researchers reformulated the survey questions.,SIC 20-39 - Manufacturing,Aggregation
s003M01EK02,s003M01KH03,be_shared_by,3,"c224M01N01 - c224M02N04: The participants' average score increased from 59.97% in the initial assessment to 84.05% in the final assessment.
c224M01N01 - c224M02N05: Nurses with a master's degree had a mean initial assessment score of 69.15.
c224M01N01 - c224M02N06: Those with a bachelor's degree had a mean score of 62.52.",SIC 20-39 - Manufacturing,Aggregation
s003M01EK02,s003M01THR11,be_transferred_by,1,c210M01N06 - c210M01N15: Telephonic communication is identified as a conventional educational delivery method.,SIC 20-39 - Manufacturing,Aggregation
