src_node_id,dst_node_id,relation_type,src_l1_node_id,dst_l1_node_id,evidence_label,case_title,evidence_statement
s002M02EK02,s002M02KH02,be_held_by,c101M01N05,c101M01N01,E,SIC 80 - Services (Health Services),Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.
s002M02KH02,s002M02TP09,participate_in,c101M01N01,c101M01N09,E,SIC 80 - Services (Health Services),All AI-generated visual elements underwent board-certified pediatric surgeon review.
s002M02KH03,s002M02TP09,participate_in,c101M01N02,c101M01N09,E,SIC 80 - Services (Health Services),Medical students and pediatric surgery residents viewed standardized lecture videos on five core pediatric surgery topics.
s002M02TP09,s002M02TE01,adopt,c101M01N09,c101M01N10,E,SIC 80 - Services (Health Services),AI background replacement using FLUX.1-Fill (inpainting) and FLUX.1-dev (development) models
s002M02TP09,s002M02TE02,adopt,c101M01N09,c101M01N12,E,SIC 80 - Services (Health Services),"AI enhancement used FLUX.1-Fill and FLUX.1-dev models via ComfyUI, an open-source workflow interface"
s002M02TP09,s002M02TK10,evaluate,c101M01N09,c101M01N06,E,SIC 80 - Services (Health Services),Primary outcomes were perceived educational clarity (five-point Likert scale) and knowledge acquisition assessed by a 40-item multiple-choice examination.
s002M02TK10,s002M02KH03,be_absorbed_by,c101M01N06,c101M01N03,E,SIC 80 - Services (Health Services),"Among junior residents (n=20), AI-enhanced videos showed higher clarity and knowledge"
s002M02THR07,s002M02LI12,be_constrained_by,c101M01N08,c101M01N19,E,SIC 80 - Services (Health Services),Pediatric surgery training is challenged by declining clinical exposure and limited access to high-quality educational resources.
s002M02TP09,s002M02LI05,resolve,c101M01N09,c101M01N20,E,SIC 80 - Services (Health Services),Locally deployed AI production reduced per-video costs by 72-94% compared with traditional studio production.
s002M02TP09,s002M02LI04,resolve,c101M01N09,c101M01N21,E,SIC 80 - Services (Health Services),The approach eliminates green screen infrastructure and its technical challenges.
s002M02TP09,s002M02THR07,complement,c101M01N09,c101M01N08,E,SIC 80 - Services (Health Services),"Al has the potential to be a powerful adjunct to surgical education if deployed thoughtfully and ethically, complementing rather than replacing the vital educator-learner relationship"
s002M02TP09,s002M02THR07,cannot_fully_replace,c101M01N09,c101M01N08,E,SIC 80 - Services (Health Services),Al cannot replace the critical role of educators and must be used as complementary tool with robust governance frameworks.
s002M02TP09,s002M02OD05,depend_on,c101M01N09,c101M01N16,I,SIC 80 - Services (Health Services),This trade-off favors AI enhancement when faculty time is institutionally subsidized
s002M02TP09,s002M02ED02,depend_on,c101M01N09,c101M01N18,E,SIC 80 - Services (Health Services),"This approach represents a practical, scalable strategy for enhancing pediatric surgery education, particularly in resource-limited settings."
s002M02TP09,s002M02LI02,be_constrained_by,c101M01N09,c101M01N22,E,SIC 80 - Services (Health Services),"Second, outcomes were assessed immediately after video viewing; therefore, long-term knowledge retention and transfer to clinical performance were not evaluated."
s002M02EK02,s002M02TP09,be_transferred_by,c101M02N01,c101M02N16,E,SIC 80 - Services (Health Services),Identical scripts and narration were used in both groups; the intervention differed only by AI-based background enhancement.
s002M02EK04,s002M02KH03,be_absorbed_by,c101M02N04,c101M01N02,E,SIC 80 - Services (Health Services),Medical students in AI-enhanced group scored 7.3 percentage points higher than standard group.
s002M02KH02,s002M02THR03,participate_in,c101M01N01,c101M02N13,I,SIC 80 - Services (Health Services),Board-certified surgeons develop content for traditional studio videos.
s002M02THR03,s002M02LI05,be_constrained_by,c101M02N13,c101M01N20,E,SIC 80 - Services (Health Services),"Professional studio production costs $2,000-8,500 per video."
s002M02THR03,s002M02LI04,be_constrained_by,c101M02N14,c101M01N21,E,SIC 80 - Services (Health Services),"Green screen has uneven lighting, color spill, shadows, six-foot separation, wardrobe restrictions, extensive post-production."
s002M02TP09,s002M02EK04,evaluate,c101M02N16,c101M02N03,E,SIC 80 - Services (Health Services),Knowledge assessed immediately after viewing AI-enhanced videos.
s002M02TP09,s002M02LI05,mitigate,c101M02N16,c101M01N20,E,SIC 80 - Services (Health Services),AI-enhanced approach reduces per-video costs by 72-94%.
s002M02TP09,s002M02LI04,mitigate,c101M02N16,c101M01N21,E,SIC 80 - Services (Health Services),AI eliminates green screen infrastructure and its technical challenges.
s002M02TK02,s002M02KH02,be_held_by,c102M01N03,c102M01N06,E,SIC 80 - Services (Health Services),...relying on the oral teaching of the dissemination of the way requires a large number of professional teachers.
s002M02EK02,s002M02THR03,be_transferred_by,c102M01N01,c102M01N07,E,SIC 80 - Services (Health Services),The comparison system used non-interactive instructional materials consisting of static images and text.
s002M02TK02,s002M02LI02,be_difficult_to_capture_due_to,c102M01N03,c102M01N15,E,SIC 80 - Services (Health Services),"Traditional exercise rehabilitation methods often have problems such as a single form of intervention, high repetitiveness, and lagging feedback."
s002M02KH03,s002M02THR03,participate_in,c102M01N05,c102M01N07,E,SIC 80 - Services (Health Services),Two cohorts of participants were recruited to compare... randomized into experimental and control groups.
s002M02THR03,s002M02LI02,be_constrained_by,c102M01N07,c102M01N12,E,SIC 80 - Services (Health Services),Traditional rehabilitation approaches often suffer from low adherence due to their monotony.
s002M02KH03,s002M02TP10,participate_in,c102M01N05,c102M01N08,E,SIC 80 - Services (Health Services),Two cohorts of participants were recruited to compare the TWJB system based on somatosensory interaction...
s002M02TP10,s002M02TE05,adopt,c102M01N08,c102M01N09,E,SIC 80 - Services (Health Services),The TWJB system adopts a three-phase structure... somatosensory interaction is realized using the Kinect V2.
s002M02TP10,s002M02TE02,adopt,c102M01N08,c102M01N10,E,SIC 80 - Services (Health Services),All motion sequences are manually created as 3D keyframe animations using Cascadeur.
s002M02TP10,s002M02EK02,adopt,c102M01N08,c102M01N01,E,SIC 80 - Services (Health Services),...this paper also organizes and constructs a movement animation data repository containing the eight styles of movements.
s002M02TP10,s002M02EK04,adopt,c102M01N08,c102M01N11,E,SIC 80 - Services (Health Services),...the motion recognition module applies Dynamic Time Warping (DTW) to match the real-time motion sequence.
s002M02TP10,s002M02TK02,evaluate,c102M01N08,c102M01N03,E,SIC 80 - Services (Health Services),The system captures and evaluates user performance in real time...
s002M02TP10,s002M02LI02,resolve,c102M01N08,c102M01N15,E,SIC 80 - Services (Health Services),"By incorporating real-time motion capture, dynamic feedback, and interactive knowledge cards, the system enhances user immersion."
s002M02TP10,s002M02LI02,mitigate,c102M01N08,c102M01N12,E,SIC 80 - Services (Health Services),The improvement of embodied cognition and operation fluency suggests that immersive somatosensory interaction can effectively stimulate users... overcoming the training burnout.
s002M02EK02,s002M02KH03,be_absorbed_by,c102M01N02,c102M01N05,E,SIC 80 - Services (Health Services),"Results indicate that TWJB outperforms conventional rehabilitation methods in terms of user engagement, cultural knowledge acquisition..."
s002M02TP10,s002M02THR03,complement,c102M01N08,c102M01N07,I,SIC 80 - Services (Health Services),"The system bridges cultural content and digital interventions, modernizing standard traditional physical assets through computer graphics."
s002M02EK03,s002M02KH02,be_held_by,c102M02N05,c102M02N14,E,SIC 80 - Services (Health Services),The animation asset library serves as the behavioral foundation of the virtual NPC Liu Miaozhen.
s002M02TK10,s002M02KH03,be_held_by,c102M02N08,c102M02N12,E,SIC 80 - Services (Health Services),Patients in the TWJB group developed embodied cognition through the system.
s002M02TK02,s002M02KH03,be_held_by,c102M02N09,c102M02N12,I,SIC 80 - Services (Health Services),"Patients improved motor coordination skills (BBS, Tinetti, 10MWT improvements)."
s002M02TK10,s002M02TP03,be_captured_by,c102M02N08,c102M02N23,I,SIC 80 - Services (Health Services),Embodied cognition is developed via real-time motion capture and feedback.
s002M02TK02,s002M02TP03,be_captured_by,c102M02N09,c102M02N23,E,SIC 80 - Services (Health Services),User motion data are captured using Kinect V2; DTW matches real-time sequence with reference templates.
