src_node_id,dst_node_id,relation_type,evidence_label,case_title
c001M01N01,,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N02,,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N03,,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N04,,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N05,,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N06,,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N07,,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N08,,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N09,s001M01TK05,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N10,s001M01TK05,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N11,s001M01TK05,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N12,s001M01KH01,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N14,s001M01KL07,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N15,s001M01KL07,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N16,s001M01THR15,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N17,s001M01THR15,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N18,s001M01THR17,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N19,s001M01THR12,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N20,s001M01TP10,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N21,s001M01TP09,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N22,s001M01TP02,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N23,s001M01TP03,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N24,s001M01TP03,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N25,s001M01TP04,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
c001M01N26,s001M01TP11,is an instance of,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders)
