node_id,node_name,parent_id,category,case_title,evidence_statement
c209M01N01,patient-specific CT scan images,s003M01EK02,Codified Descriptive Knowledge,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Lung CT scan images were imported into Mimics in DICOM format and used for reconstruction.
c209M01N02,generated STL file,s003M01EK02,Codified Descriptive Knowledge,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The generated STL file of the 3DV model was imported into preprocessing software for inspection and repair.
c209M01N03,lung anatomy,s003M01EK02,Codified Descriptive Knowledge,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,"The course covered lung anatomy, specifically segmental and subsegmental divisions."
c209M01N04,safe margins for early-stage lung cancer,s003M01EK01,Codified Normative Knowledge,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The teaching content included knowledge of safe margins for early-stage lung cancer.
c209M01N05,resection range,s003M01EK02,Codified Descriptive Knowledge,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The teaching content included the resection range.
c209M01N06,surgical treatment strategies,s003M01EK03,Codified Procedural Knowledge,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The course covered related surgical treatment strategies.
c209M01N07,surgical skills,s003M01TK05,Practised Motor and Tool-Operation Skill,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The study evaluated whether the models enhanced anatomical knowledge and surgical skills.
c209M01N08,spatial understanding of anatomical structures,s003M01TK06,Trained Sensory and Perceptual Recognition,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The novel method significantly enhanced students' spatial understanding of anatomical structures.
c209M01N09,understanding of vascular spatial relationships,s003M01TK06,Trained Sensory and Perceptual Recognition,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The 3DP group was rated significantly higher for understanding vascular spatial relationships.
c209M01N10,segmental and subsegmental localization and resection techniques,s003M01TK02,Knowledge Conveyed Through Examples or Demonstration,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Students and surgeons could grasp techniques for segmental and subsegmental localization and resection through demonstration with the 3DP model.
c209M01N12,clinical interns,s003M01KL01,Formal Higher-Education Learners,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Sixty-two clinical interns were randomly assigned to the 3DV and 3DP groups.
c209M01N13,cadaver dissection,s003M01THR13,Experiential and On-the-Job Learning,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Traditional clinical teaching typically relied on cadaver dissection or 2D imaging.
c209M01N14,2D imaging,s003M01THR12,Codified-Material Learning,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Traditional clinical teaching typically relied on cadaver dissection or 2D imaging.
c209M01N15,anatomical atlases,s003M01THR12,Codified-Material Learning,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The paper states that 2D images and anatomical atlases lack three-dimensionality.
c209M01N16,3D visualization model-based teaching,s003M01TP01,Model-based Knowledge Representation and Simulation,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The 3DV group interacted with a digital model on a computer to study lung anatomy and surgical procedures.
c209M01N17,transparent hollow 3DP model-based teaching,s003M01TP01,Model-based Knowledge Representation and Simulation,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The 3DP group used a transparent hollow model without lung parenchyma to observe internal structures and the surgical resection range.
c209M01N18,CT,s003M01TE05,"Imaging, Sensing, and Perception Technologies",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The model was reconstructed from lung CT scan images.
c209M01N19,DICOM format,s003M01TE04,"Data, Information, and Knowledge Systems",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Lung CT images were imported into Mimics in DICOM format.
c209M01N20,Mimics 23.0 software,s003M01TE05,"Imaging, Sensing, and Perception Technologies",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Mimics 23.0 was used for initial reconstruction and accurate delineation of sublobar boundaries.
c209M01N21,3-matic 15.0 software,s003M01TE05,"Imaging, Sensing, and Perception Technologies",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Initial reconstruction was followed by post-processing using 3-matic 15.0.
c209M01N22,Voxel Dance Additive 3.0 preprocessing software,s003M01TE03,"Cyber-Physical Systems, IoT, and Smart Environments",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The STL file was imported into Voxel Dance Additive 3.0 for model inspection and repair.
c209M01N23,J501Pro 3D printer,s003M01TE03,"Cyber-Physical Systems, IoT, and Smart Environments",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The data were sent to a J501Pro 3D printer to produce the transparent hollow model.
c209M01N24,computer,s003M01TE02,Human–Computer Interaction and Immersive Technologies,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The 3DV group interacted with the digital model on a computer.
c209M01N25,3D printing,s003M01TE03,"Cyber-Physical Systems, IoT, and Smart Environments",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,3D printing creates three-dimensional objects by layering materials and was used to make the physical model.
c209M01N26,completion of basic medical and clinical courses,s003M01OD05,"Human Capacity, Roles & Participation",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Eligibility required completion of basic medical and certain clinical courses that supported comprehension of the models.
c209M01N27,scarcity of cadaver resources,s003M01LI04,"Instructional Design, Delivery, Assessment and Transfer Shortcomings",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The paper states that cadaver resources are scarce.
c209M01N28,complex cadaver preservation and handling,s003M01LI08,"Time, Staffing, Expertise, Scheduling and Workload Constraints",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Cadaver preservation and handling are described as complex.
c209M01N29,lack of three-dimensionality,s003M01LI04,"Instructional Design, Delivery, Assessment and Transfer Shortcomings",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Two-dimensional images and anatomical atlases lack three-dimensionality and make spatial relationships harder to understand.
c209M01N30,mental construction of 3D information from a 2D screen,s003M01LI04,"Instructional Design, Delivery, Assessment and Transfer Shortcomings",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Students using 3DV must mentally construct tissue information from interaction with a 2D screen.
c209M01N31,cost of 3DP,s003M01LI07,Financial and Capital Constraints,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,"Cost was identified as a limiting factor, and the study model cost approximately ¥1500."
c209M01N32,production time of 3DP,s003M01LI08,"Time, Staffing, Expertise, Scheduling and Workload Constraints",From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Production time was identified as a limiting factor for widespread application.
