node_id,node_name,category,evidence_label,case_title,evidence_count,evidence_statement,definition
s001M01ED01,"Political, Regulatory & Jurisdictional Environment",Environmental Dependency,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),14,"c002M02N35 | Australian Work Safe fall prevention regulation: Training content was based on an Australian industrial standard—Preventing Falls in Housing Construction—Code of Practice
c002M02N36 | Construction industry safety compliance standards: The construction industry is among the highest contributors to work-related injuries and on-the-job fatalities among all major industries
c003M01N24 | Current electricity price set by ARERA: Scenario costs were calculated using the current electricity price set by ARERA.
c006M02N36 | Industry safety regulations: Creating a safe environment is important, and evaluation charts such as the OWAS method, RULA, REBA and HOHSRAM have been utilized.
c008M02N34 | Industry regulations: the State Administration of Work Safety, the websites of various administrative departments, the safety management network, and the municipal government website
c011M01N32 | Regulatory compliance requirements: the required equipment is determined and constructed according to the relevant regulations in PRC's 'Confined Space Safety Working Guide'
c014M02N50 | Political risks: Political factors influence the effective operations of the megaprojects
c014M02N51 | Geopolitical instability: Dynamic environment, including geopolitical instability and logistical complexities
c014M02N54 | Regulatory changes: Respond quickly to disruptions such as regulatory changes
c016M01N33 | Peruvian Law N° 29783 on Occupational Safety and Health Management: Risk indexes used in the IPERC process were granted by Peruvian Law N° 29783.
c016M01N34 | Peruvian OHS standard G-050: The construction monitoring process used key performance indicators from the Peruvian OHS standard G-050.
c016M01N35 | ANSI/ASSP Z590.3: The paper uses ANSI/ASSP Z590.3 to define effective PtD management as an overall residual risk below 30 percent.
c016M02N20 | Peruvian Law N° 29783: assigned an initial risk factor (RF - CS) based on exposure, probability and severity indexes granted by the Peruvian Law N° 29783
c016M02N21 | Industry regulation compliance: The key performance indicators (KPI) of the Peruvian OHS standard G-050","Maps legislation, statutory codes, public policy, government standards, regulatory tariffs, political instability, geopolitical conditions, and jurisdictional requirements imposed by external authorities."
s001M01ED02,"Economic, Market & Industry Environment",Environmental Dependency,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),6,"c007M02N49 | High Staff Turnover: small workforce, high staff turnover, a basic organisational structure
c007M02N50 | Fierce Competition: continuous changes in construction techniques, materials and management processes have resulted in fierce competition among SMCCs
c007M02N51 | Market Changes: Responding to market changes in the market plan (KR2)
c007M02N52 | Technological Changes: Responding to clients' reactions to technological changes (KR3)
c012M02N53 | Industry Demographic Shift (Retirement Wave): ""The industry faces a significant demographic shift, with seasoned construction professionals rapidly approaching retirement. This demographic change threatens organizational knowledge continuity""
c014M02N53 | Changing market trends: Changing market trends influence the effective operations","Maps macroeconomic conditions, market fluctuations, industry competition, sector structure, labor-market conditions, workforce demographic shifts, and industry-wide technological change."
s001M01ED03,Sociocultural & Societal Environment,Environmental Dependency,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),1,"c015M02N31 | Diverse educational backgrounds: The students also collaborated on the solutions for challenges that arise in using ABL, like student absences, diverse backgrounds and various prior level of education.","Maps societal values, cultural expectations, public attitudes, population demographics, community characteristics, and social norms affecting construction or knowledge practices."
s001M01ED04,Natural & Climatic Environment,Environmental Dependency,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),3,"c005M02N48 | Weather-related hazards (wind, sandstorms): The fourth bridge was in an open, remote, and deserted area, thereby causing extreme weather conditions, such as high wind speeds and sand storms, to be main interfering factors and sources of hazards during construction.
c017M01N24 | weather conditions: Weather conditions influence building temperatures and are included as contextual information.
c017M02N23 | Seasonal Cycles (Autumn-Winter): The study period was during autumn-winter (October to February), a key season for analyzing heating demand.","Maps broad climatic patterns, seasonal cycles, extreme weather, temperature regimes, flooding, storms, and other naturally occurring conditions affecting construction activities."
s001M01ED05,External Technological & Infrastructure Environment,Environmental Dependency,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),1,c001M02N26 | Rural 18.7% failure rate point cloud transmission network: Point cloud data transmission failure rate in rural areas is as high as 18.7% (vs 2.3% in the urban cores),"Maps regional or sector-level internet access, communication networks, electricity supply, public utilities, technology availability, and externally provided infrastructure required for construction or digital activities."
s001M01ED06,"Client, Procurement & Institutional Environment",Environmental Dependency,G,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),4,"c007M02N53 | Client Needs Changes: Responding to changes in client needs (KR1)
c009M02N56 | Client requirements: Every bid must be tailored to the client's specific requirements
c009M02N57 | Submission deadlines: Submission deadline, submission requirements, required documents
c009M02N58 | Quality and Cost Based Selection (QCBS) criteria: Weighting is 80% for Technical and 20% for Financial score in Quality and Cost Based Selection (QCBS)","Maps requirements imposed by clients, tendering systems, procurement institutions, bid-evaluation criteria, contractual submission conditions, professional bodies, and accreditation institutions."
