node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
"N01","Regulatory standards (NR-35)","Explicit Knowledge","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","Training in regulatory standards using immersive virtualization aiming at improving student knowledge retention","Specific written legal framework detailing mandatory corporate safety metrics for technical fields in Brazil","Page 1, Abstract; Page 2, Introduction"
"N02","National standards, dissertations, and articles","Explicit Knowledge","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","Theoretical Reference: use of literature through research on similar methods already applied in immersive training","Collected published technical reference materials establishing baseline scientific context","Page 1, Abstract; Page 4, Method"
"N03","Safe behavioral response in working at heights","Tacit Knowledge","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","makes it possible to present the worker with the dangers and risks present in a given situation, making it possible, through actions, procedures and attitudes, to act preventively","Uncodified physical coordination and continuous hazard awareness needed to survive dangerous assignments","Page 2, Introduction"
"N04","Technical knowledge of regulatory norms","Tacit Knowledge","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","The great differential of the proposed method is to reconcile the technical knowledge of the instructor with the possibility of practical simulations","Expert mental models and interpretative capacities regarding regulatory implementation safety structures","Page 4, Method"
"N05","Instructor","Knowledge Holder","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","technical knowledge of regulatory standards on the part of the instructor is essential","The designated compliance expert who guides the technical transfer workflow","Page 4, Method"
"N06","Production sectors collaborators","Knowledge Holder","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","Employees from the production and maintenance sectors participated in immersive interactions","Industrial workforce personnel executing baseline material processing tasks","Page 6, Practical Application"
"N07","Maintenance sectors collaborators","Knowledge Holder","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","The environment was chosen by the company because it is most used by the operational team for process maneuvers, with the greatest need for skilled labor","Skilled industrial mechanics exposed to heightened environmental volatility","Page 6, Practical Application"
"N08","Traditional online platforms training (ZOOM/TEAMS)","Traditional Human-central Practice","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","The teams of workers in the production and maintenance sectors have already gone through the mandatory training process in regulatory standard 35 (NR-35) in 2022 in the traditional online model","Legacy structural approach leveraging linear screen-sharing software for instruction delivery","Page 7, Practical Application"
"N09","Immersive virtualization training method","Technology-enable Practice","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","propose a method of training in regulatory standards using immersive virtualization, aiming at improving student knowledge retention","The interactive workflow mapping reality capture to point-clouds and sensory hardware engines","Page 1, Abstract"
"N10","Laser scanning equipment","Digital Technology","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","Laser scanning equipment captures the details of the environment","Active physical scanner generating geospatial point vectors","Page 5, Figure 1"
"N11","Virtual reality software","Digital Technology","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","Programming in Virtual Reality software. All movements equal to the real thing for total immersion","Development engine environment compiling mechanics and behaviors","Page 5, Figure 1"
"N12","Immersive virtualization glasses","Digital Technology","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","Did you feel vertigo while using immersive virtualization glasses?","Physical stereoscopic sensory display hardware worn by the participant","Page 12, Results"
"N13","Understanding of machine operations and operator interactions","Organizational Dependency","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","understanding in detail the operation of the machine and interactions with the operator","Prerequisite capture requirements during initial analytical mapping phases","Page 5, Figure 1"
"N14","Brazilian legislation requirement","Environmental Dependency","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","Specifically, training in regulatory norms, a legal requirement in Brazil","The underlying public mandates forcing compliance across all regional factories","Page 2, Introduction"
"N15","Dispersion and distraction (cell phone use and conversations)","Limitation","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","The use of cell phones, messages, conversations, movements, among other factors, certainly affect the student's concentration","External attention sinks that break knowledge absorption patterns","Page 13, Results"
"N16","Risk of training accidents (level drop)","Limitation","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","Exposing the student at a certain time can already be considered a risk factor","Physical threat vectors present when conducting safety preparation in live drop areas","Page 14, Results"
"N17","Sensation of vertigo","Limitation","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","Another 35% reported that they felt a certain type of vertigo, in different degrees","Vestibular disruption and physiological disorientation caused by real-time rendering lag","Page 12, Results"
"N18","Low knowledge retention","Limitation","E","Analysis of the Feasibility of Immersive Virtualization in Technical Training","aiming at improving student knowledge retention compared to traditional online models","The operational dropoff where individuals fail to recall safety protocols post-lecture","Page 1, Abstract"
