"src_node_id","dst_node_id","relation_type","evidence_label","case_title","evidence_statement","evidence_location"
"N04","N01","be_derived_from","E","Immersive virtual reality training for excavation safety and hazard identification","Seven critical hazards were selected as the training objectives based on OSHA and WorkSafe guidelines","p.8, Section 3.3"
"N04","N02","be_derived_from","E","Immersive virtual reality training for excavation safety and hazard identification","Seven critical hazards were selected as the training objectives based on OSHA and WorkSafe guidelines","p.8, Section 3.3"
"N05","N01","be_derived_from","I","Immersive virtual reality training for excavation safety and hazard identification","Safety distance rules (Table 4) are derived from OSHA and WorkSafe guidelines","p.13, Table 4"
"N05","N02","be_derived_from","I","Immersive virtual reality training for excavation safety and hazard identification","Safety distance rules (Table 4) are derived from OSHA and WorkSafe guidelines","p.13, Table 4"
"N11","N13","be_held_by","I","Immersive virtual reality training for excavation safety and hazard identification","Construction workers are the target population who need practical performance skills","p.1, Abstract"
"N11","N14","be_held_by","E","Immersive virtual reality training for excavation safety and hazard identification","Construction professionals participated and held practical performance as measured","p.13, Section 5.1"
"N11","N15","be_held_by","E","Immersive virtual reality training for excavation safety and hazard identification","University students participated and held practical performance as measured","p.13, Section 5.1"
"N11","N13","be_absorbed_by","I","Immersive virtual reality training for excavation safety and hazard identification","VR training significantly improved practical performance, indicating absorption by construction workers","p.11, Section 4.4.1"
"N11","N19","be_captured_by","E","Immersive virtual reality training for excavation safety and hazard identification","Participants' practical performance was assessed in VR before and immediately after training","p.9, Section 4.2.1"
"N03","N16","be_transferred_by","E","Immersive virtual reality training for excavation safety and hazard identification","Control group received training via an excavation health and safety manual","p.13, Section 5"
"N04","N17","be_transferred_by","E","Immersive virtual reality training for excavation safety and hazard identification","The VR training system delivered training on seven critical hazards","p.8, Section 3.3"
"N05","N17","be_transferred_by","E","Immersive virtual reality training for excavation safety and hazard identification","The VR training system included distance rules as part of the instructional content","p.13, Table 4"
"N08","N17","be_transferred_by","I","Immersive virtual reality training for excavation safety and hazard identification","VR training aimed to improve hazard identification skills through questioning and feedback","p.8, Section 3.4"
"N09","N17","be_transferred_by","I","Immersive virtual reality training for excavation safety and hazard identification","VR training aimed to improve hazard evaluation skills","p.8, Section 3.4"
