"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N01","Pediatric neuro-oncology knowledge","Explicit Knowledge","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","NOTS was designed to equip multidisciplinary providers with essential knowledge related to neuro-oncological care.","Codified subject knowledge delivered through the NOTS curriculum.","Journal p. 471; PDF p. 2, Introduction"
"N02","Pediatric neuro-oncology theoretical concepts","Explicit Knowledge","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Clinical cases were used to illustrate theoretical concepts during the online modules.","Theoretical pediatric neuro-oncology content illustrated through clinical cases.","Journal p. 471; PDF p. 2, Methods—Learning Intervention"
"N03","CNS tumor diagnostics","Explicit Knowledge","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Respondents identified CNS tumor diagnostics as an important course topic.","Diagnostic knowledge including molecular diagnostics and imaging or radiology.","Journal pp. 473–474; PDF pp. 4–5, Table 2 and Qualitative Results"
"N04","CNS tumor treatment","Explicit Knowledge","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Respondents identified CNS tumor treatment as an important course topic.","Codified knowledge concerning treatment of children with CNS tumors.","Journal pp. 473–474; PDF pp. 4–5, Table 2 and Qualitative Results"
"N05","Supportive and palliative care for children with CNS tumors","Explicit Knowledge","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Supportive and palliative care was among the course elements frequently identified by respondents.","Course knowledge concerning supportive and palliative care for children with CNS tumors.","Journal p. 474; PDF p. 5, Qualitative Results"
"N06","Multidisciplinary team integration in pediatric neuro-oncology","Explicit Knowledge","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Multidisciplinary team integration was identified as a valuable specialty-agnostic topic.","Knowledge concerning integration of multiple clinical specialties in pediatric neuro-oncology care.","Journal pp. 473–474; PDF pp. 4–5, Table 2 and Qualitative Results"
"N07","Institutional CNS tumor care research proposal","Explicit Knowledge","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Participating teams conceptualized a research project aimed at enhancing care for children with CNS tumors at their institutions.","A codified proposal for an institution-focused CNS tumor care project.","Journal p. 471; PDF p. 2, Methods—Learning Intervention"
"N09","Pediatric neuro-oncology clinical knowledge and skills","Tacit Knowledge","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","NOTS was launched to equip multidisciplinary providers with essential knowledge and skills related to neuro-oncological care.","Personally acquired clinical understanding and capability related to pediatric neuro-oncology.","Journal p. 471; PDF p. 2, Introduction"
"N11","NOTS participants' perceptions of the online learning experience","Tacit Knowledge","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Participants were invited to evaluate their perceptions of the online course.","Participants' personal judgments and experiences concerning the NOTS online components.","Journal pp. 470–471; PDF pp. 1–2, Abstract and Methods—Analysis"
"N12","Pediatric neuro-oncology experts","Knowledge Holder","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Respondents described interacting with experts and receiving effective feedback from them.","Experts possessing pediatric neuro-oncology knowledge and experience.","Journal p. 474; PDF p. 5, Qualitative Results"
"N13","NOTS professors","Knowledge Holder","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","A respondent valued the fruitful comments and supportive attitude of the professors.","Course faculty providing subject knowledge, comments, and support.","Journal p. 474; PDF p. 5, Qualitative Results"
"N14","NOTS peer participants","Knowledge Holder","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Participants reported international interaction and effective feedback from peers.","Course participants who contributed professional experience and peer feedback.","Journal p. 474; PDF p. 5, Qualitative Results"
"N15","2022 and 2023 NOTS participants","Knowledge Holder","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","A total of 153 participants were enrolled and 83 completed the online evaluation.","Participants possessing experience-based perceptions of the NOTS online course.","Journal pp. 470 and 472; PDF pp. 1 and 3"
"N16","Multidisciplinary pediatric neuro-oncology providers","Knowledge Learner","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","NOTS was launched to equip multidisciplinary providers with pediatric neuro-oncology knowledge and skills.","Healthcare professionals from multiple specialties participating as individual learners.","Journal p. 471; PDF p. 2, Introduction"
"N17","NOTS participating institutional teams","Knowledge Learner","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Participating teams were enrolled in the modules and tasked with conceptualizing an institutional research project.","Institution-based multidisciplinary groups participating in NOTS.","Journal p. 471; PDF p. 2, Methods—Learning Intervention and Participant Engagement"
"N18","NOTS 7-day in-person workshop","Traditional Human-central Practice","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Nine weeks of online learning were followed by a 7-day in-person workshop.","The face-to-face component of the blended NOTS course.","Journal p. 471; PDF p. 2, Methods—Learning Intervention"
"N19","NOTS prerequisite self-directed online modules","Technology-enable Practice","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Participants were invited to complete nine weeks of prerequisite self-directed online modules.","The principal asynchronous online-learning component of NOTS.","Journal pp. 470–471; PDF pp. 1–2, Abstract and Methods—Learning Intervention"
"N20","NOTS pre-recorded pediatric neuro-oncology lectures/videos","Technology-enable Practice","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Pre-recorded lectures and videos were identified as valuable self-paced formats.","Asynchronous recorded pediatric neuro-oncology course content.","Journal pp. 473–474; PDF pp. 4–5, Table 2 and Qualitative Results"
"N21","NOTS synchronous online sessions/live meetings","Technology-enable Practice","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Participants engaged in synchronous online sessions, and live meetings were highly rated.","Real-time online meetings supporting lectures, questions, interaction, and project presentations.","Journal pp. 471 and 473–474; PDF pp. 2 and 4–5"
"N22","NOTS guided online discussions","Technology-enable Practice","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Participants engaged in guided online discussions during the modules.","Facilitated online discussion activities within NOTS.","Journal p. 471; PDF p. 2, Methods—Learning Intervention"
"N23","NOTS virtual pediatric neuro-oncology case discussions","Technology-enable Practice","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Clinical cases illustrated theoretical concepts and case discussions provided opportunities to apply learning.","Online discussion and presentation of pediatric neuro-oncology clinical cases.","Journal pp. 471 and 473–475; PDF pp. 2 and 4–6"
"N24","NOTS institutional CNS tumor care research-project development","Technology-enable Practice","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Participating teams developed research projects and received feedback from experts and peers.","An applied online-learning activity for developing an institution-focused CNS tumor care project.","Journal pp. 471 and 474; PDF pp. 2 and 5"
