"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N01","Thoracic surgery knowledge","Explicit Knowledge","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The test focused on thoracic surgery knowledge including fill-in-the-blank, image recognition, and multiple-choice questions.","Not mentioned","Page 4"
"N02","Foundational medical and clinical knowledge","Explicit Knowledge","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Inclusion criteria included completion of basic medical courses like Human Anatomy and Physiology and clinical courses like Surgery.","Not mentioned","Page 2"
"N03","Understanding of vascular spatial relationships","Tacit Knowledge","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The 3DP group demonstrated superiority in the ease of knowledge acquisition and understanding of vascular spatial relationships.","Not mentioned","Page 1"
"N04","Sub-lobectomy strategies","Tacit Knowledge","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The multiple-choice questions addressed deeper understanding of safe margins, variant vascular anatomy, and sub-lobectomy strategies.","Not mentioned","Page 6"
"N05","Spatial cognition and comprehensive analytical skills","Tacit Knowledge","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Highly realistic 3D models in more challenging clinical scenarios may help students develop a deeper spatial cognition.","Not mentioned","Page 6"
"N06","Clinical interns","Knowledge Holder","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","A total of 62 clinical interns were randomly assigned into two groups.","Not mentioned","Page 1"
"N07","Senior thoracic surgeon","Knowledge Holder","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Both groups of interns received the same teaching content, delivered by a senior thoracic surgeon.","Not mentioned","Page 3"
"N08","Traditional clinical teaching relying on cadaver dissection","Traditional Human-central Practice","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Traditional clinical teaching has typically relied on cadaver dissection or 2D imaging.","Not mentioned","Page 2"
"N09","Traditional clinical teaching relying on 2D imaging","Traditional Human-central Practice","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Traditional clinical teaching has typically relied on cadaver dissection or 2D imaging.","Not mentioned","Page 2"
"N10","3D visualization digital model interactive training","Technology-enable Practice","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The 3DV group learned with a 3D visualization model, interacting with the digital model on a computer.","Not mentioned","Page 4"
"N11","3D printing physical model interactive training","Technology-enable Practice","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The 3DP group used a 3DP model featuring transparent, hollow sublobar boundaries and safe margin, with no lung parenchyma.","Not mentioned","Page 4"
"N12","3D visualization (3DV) technology","Digital Technology","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","3D visualization digital models require students to mentally construct the 3D information.","Not mentioned","Page 2"
"N13","Three-dimensional printing (3DP) technology","Digital Technology","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Three-dimensional printing (3DP), an innovative tool, shows promise in enhancing surgical training.","Not mentioned","Page 1"
"N14","Foundational coursework completion","Organizational Dependency","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The inclusion criteria were completion of basic medical courses and certain clinical courses providing theoretical support.","Not mentioned","Page 2"
"N15","Financial investment and equipment acquisition","Organizational Dependency","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","The investment in equipment and technology primarily involves three-dimensional reconstruction.","Not mentioned","Page 7"
"N16","Patient-specific imaging data availability","Environmental Dependency","E","From virtual to reality: application of a novel 3D printing hollow model for early-stage lung cancer in the clinical teaching of thoracoscopic sublobar resection","Based on individual patient imaging data, such as CT or MRI, 3DP can produce highly realistic anatomical models.","Not mentioned","Page 2"
