"src_node_id","dst_node_id","relation_type","evidence_label","case_title","evidence_statement","evidence_location"
"N01","N22","be_transferred_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","The Metaverse platform enables respondents to share product- or process-related knowledge with colleagues.","Appendix A, Table A.1, KS1, PDF page 26"
"N02","N22","be_transferred_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Respondents share work experiences through the Metaverse.","Appendix A, Table A.1, KS3, PDF page 26"
"N03","N22","be_transferred_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Respondents share technical insights through the Metaverse.","Appendix A, Table A.1, KS3, PDF page 26"
"N04","N22","be_transferred_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Design files are exchanged as digital resources through the Metaverse.","Appendix A, Table A.1, KS4, PDF page 26"
"N05","N22","be_transferred_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Documents are exchanged as digital resources through the Metaverse.","Appendix A, Table A.1, KS4, PDF page 26"
"N06","N22","be_transferred_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Process data are exchanged as digital resources through the Metaverse.","Appendix A, Table A.1, KS4, PDF page 26"
"N07","N22","be_transferred_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Valuable insights are acquired through discussions in the Metaverse environment.","Appendix A, Table A.1, KAC2, PDF page 26"
"N08","N22","be_transferred_by","I","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","The system enables prior experience to be combined with collaborative input in generating new knowledge.","Appendix A, Table A.1, KAC3, PDF page 26"
"N09","N22","be_transferred_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Newly integrated knowledge originates in Metaverse-based collaboration and is subsequently applied.","Appendix A, Table A.1, KAP1, PDF page 26"
"N10","N22","be_transferred_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Respondents access task-relevant knowledge through Metaverse tools and digital platforms.","Appendix A, Table A.1, DL2 and OE4, PDF pages 26–27"
"N02","N11","be_shared_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Colleagues participate in the platform-based sharing and discussion of work-related knowledge.","Appendix A, Table A.1, KS1–KS3 and KAC2, PDF page 26"
"N03","N13","be_shared_by","I","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Domain experts participate in real-time knowledge exchange from which technical insights can be obtained.","Appendix A, Table A.1, KS2, KS3, and KAC2, PDF page 26"
"N07","N11","be_shared_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Respondents acquire valuable insights through discussions with colleagues.","Appendix A, Table A.1, KAC2, PDF page 26"
"N07","N13","be_shared_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Respondents acquire valuable insights through discussions with experts.","Appendix A, Table A.1, KAC2, PDF page 26"
"N07","N19","be_absorbed_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Employees acquire valuable insights through discussions in the Metaverse environment.","Appendix A, Table A.1, KAC2, PDF page 26"
"N09","N19","be_absorbed_by","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Employees apply newly integrated knowledge from Metaverse-based collaboration.","Appendix A, Table A.1, KAP1, PDF page 26"
"N09","N20","be_absorbed_by","I","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","The team uses knowledge acquired through the Metaverse to prevent repeated operational mistakes or inefficiencies.","Appendix A, Table A.1, KAP2, PDF page 26"
"N11","N22","participate_in","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Respondents share knowledge and acquire insights through interactions with colleagues in the Metaverse.","Appendix A, Table A.1, KS1 and KAC2, PDF page 26"
"N12","N22","participate_in","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Team members participate in real-time knowledge exchange through the Metaverse.","Appendix A, Table A.1, KS2, PDF page 26"
"N13","N22","participate_in","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Domain experts participate in real-time knowledge exchange and discussions through the Metaverse.","Appendix A, Table A.1, KS2 and KAC2, PDF page 26"
"N14","N22","participate_in","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Respondents collaborate through the Metaverse with individuals from different departments.","Appendix A, Table A.1, MKC2, PDF page 25"
"N15","N22","participate_in","E","Exploring the Role of Metaverse-Enabled Knowledge Collaboration in Enhancing Knowledge Management Outcomes in Manufacturing","Respondents collaborate through the Metaverse with individuals from different roles.","Appendix A, Table A.1, MKC2, PDF page 25"
