src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
N01,N14,be_held_by,E,"A generative AI model for automating construction bid preparation","Historical bid documents were stored and used by the bid preparation team.","Page 6"
N02,N14,be_held_by,E,"A generative AI model for automating construction bid preparation","RFPs are uploaded by bid personnel for requirements extraction.","Page 11"
N03,N14,be_held_by,E,"A generative AI model for automating construction bid preparation","Methodology sections from past proposals are stored and retrieved for few-shot prompting.","Page 11"
N06,N12,be_held_by,E,"A generative AI model for automating construction bid preparation","The Bid Manager (Beta) relies on intuition, contrasting with Alpha's structured data handling.","Pages 17-18"
N07,N14,be_held_by,I,"A generative AI model for automating construction bid preparation","Contextual judgment for method statements is held by the bid preparation team experts.","Page 17"
N08,N14,be_held_by,E,"A generative AI model for automating construction bid preparation","Human expertise in interpreting complex specifications remains critical.","Page 17"
N06,N12,be_documented_partially_by,I,"A generative AI model for automating construction bid preparation","The bid manager's intuition is partially documented through past proposals that the system retrieves, but not fully codified.","Page 17-18"
N01,N23,be_transferred_by,E,"A generative AI model for automating construction bid preparation","Historical bid proposals are transferred via semantic retrieval to surface relevant matches for new RFPs.","Page 6"
N02,N24,be_transferred_by,E,"A generative AI model for automating construction bid preparation","RFPs are processed by the requirements extraction module.","Page 11"
N14,N22,participate_in,E,"A generative AI model for automating construction bid preparation","Bid preparation team uses the GenAI-based system to review extracted requirements and generated drafts.","Page 11, 15"
N16,N22,participate_in,I,"A generative AI model for automating construction bid preparation","Management reviews extracted requirements to make final bid/no-bid decisions.","Page 11"
N22,N27,adopt,E,"A generative AI model for automating construction bid preparation","The GenAI system adopts GPT-4o LLM for extraction and generation.","Page 6"
N22,N28,adopt,E,"A generative AI model for automating construction bid preparation","The system adopts OpenAI text-embedding-ada-002 for creating embeddings.","Page 6"
N22,N29,adopt,E,"A generative AI model for automating construction bid preparation","The system adopts Pinecone vector database for semantic retrieval.","Page 6"
N22,N30,adopt,E,"A generative AI model for automating construction bid preparation","The system adopts LangChain for orchestration.","Page 7"
N22,N31,adopt,E,"A generative AI model for automating construction bid preparation","The system adopts Streamlit for the graphical interface.","Page 7"
N22,N32,adopt,E,"A generative AI model for automating construction bid preparation","The system adopts PDF format for document storage.","Pages 6-7"
N23,N29,adopt,E,"A generative AI model for automating construction bid preparation","Semantic retrieval uses Pinecone vector database.","Page 6"
N24,N27,adopt,E,"A generative AI model for automating construction bid preparation","Requirements extraction uses GPT-4o LLM.","Page 7"
N25,N27,adopt,E,"A generative AI model for automating construction bid preparation","Proposal generation uses GPT-4o LLM.","Page 11"
N26,N31,adopt,E,"A generative AI model for automating construction bid preparation","Human-in-the-loop interface built with Streamlit.","Page 7"
N24,N01,mitigate,E,"A generative AI model for automating construction bid preparation","Requirements extraction uses historical RFPs, but the mitigation of knowledge loss is more directly from semantic retrieval. Actually, the paper states semantic retrieval mitigates knowledge loss.","Page 6"
N23,N38,mitigate,E,"A generative AI model for automating construction bid preparation","This component (semantic retrieval) mitigates knowledge loss by surfacing prior bids most relevant to new RFP requirements.","Page 6"
N22,N17,complement,E,"A generative AI model for automating construction bid preparation","The GenAI system complements manual drafting; human-in-the-loop review ensures quality.","Page 7, 17"
N22,N08,cannot_fully_replace,E,"A generative AI model for automating construction bid preparation","Complete automation may not be feasible; human expertise remains critical for interpreting complex specifications.","Page 17"
N17,N36,be_constrained_by,E,"A generative AI model for automating construction bid preparation","Manual drafting is constrained by fragmented information storage.","Page 5, 17"
N17,N37,be_constrained_by,E,"A generative AI model for automating construction bid preparation","Manual drafting is time-consuming and repetitive.","Page 1, 5"
N17,N38,be_constrained_by,E,"A generative AI model for automating construction bid preparation","Manual processes heighten risk of knowledge loss from staff turnover.","Page 2"
N17,N39,be_constrained_by,E,"A generative AI model for automating construction bid preparation","Manual drafting leads to inconsistent documentation.","Page 2"
N21,N36,be_constrained_by,E,"A generative AI model for automating construction bid preparation","Manual cross-referencing suffers from fragmented information.","Page 9, 17"
N21,N37,be_constrained_by,E,"A generative AI model for automating construction bid preparation","Manual cross-referencing is inefficient.","Page 9"
N18,N14,participate_in,E,"A generative AI model for automating construction bid preparation","Kick-off meetings involve bid team participants.","Page 9"
N19,N14,participate_in,E,"A generative AI model for automating construction bid preparation","Internal reviews involve managers, QA, legal.","Page 4"
N20,N14,participate_in,E,"A generative AI model for automating construction bid preparation","Post-bid reviews involve bid team to capture lessons.","Page 9"
N22,N33,depend_on,E,"A generative AI model for automating construction bid preparation","The GenAI system depends on centralized data systems; absence is a challenge.","Page 17"
N22,N35,depend_on,I,"A generative AI model for automating construction bid preparation","Automation success depends on digital infrastructure maturity.","Page 18"
N07,N40,be_difficult_to_capture_due_to,E,"A generative AI model for automating construction bid preparation","Contextual judgment is difficult to capture due to customization challenges and need for expert input.","Page 17"
N06,N40,be_difficult_to_capture_due_to,I,"A generative AI model for automating construction bid preparation","Bid manager's intuition is difficult to capture due to customization and reliance on tacit experience.","Page 17-18"
