"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N01","basic skillset of an “Engineer 4.0”","Tacit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","The platform focuses on developing the basic skillset of an Engineer 4.0 in shop floor workers and engineering students.","A foundational set of skills needed to support smart-manufacturing technology deployment.","Abstract; Section 1, PDF pages 1 and 3"
"N02","(digital) skills","Tacit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","The platform and workshops are intended to develop digital skills, and participants reported acquiring knowledge and digital skills.","Skills for engaging in the digital transformation of manufacturing work and shop floors.","Abstract; Sections 2, 3.3, and 4, PDF pages 1, 3, 6–7"
"N03","hands-on experience","Tacit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Workshops and training provide workers with skills and hands-on experience for deploying low-cost smart-manufacturing solutions.","Experience acquired through direct learning-by-doing activities in realistic scenarios.","Section 2, Step 4, PDF page 4"
"N04","knowledge and skills needed to create (low-cost) smart manufacturing solutions","Tacit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Experiential learning supports owners, workers, and students in gaining the knowledge and skills needed to create low-cost smart-manufacturing solutions.","Practical knowledge and abilities required to create low-cost smart-manufacturing solutions.","Section 3, PDF page 4"
"N05","skills and hands-on experience for the deployment of (low-cost) smart manufacturing solutions","Tacit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Step 4 provides workers with skills and hands-on experience for deployment on their shop floor.","Practical deployment capabilities developed through workshops and training.","Section 2, Step 4, PDF page 4"
"N06","small manufacturing businesses’ pain points","Explicit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","The maturity questionnaire identifies business pain points, and the platform presents possible solutions for key pain points.","Identified production or digital-transformation problems experienced by a small manufacturing business.","Sections 2, 3.1, and 3.4, PDF pages 3, 5–7"
"N07","Industry 4.0 maturity level","Explicit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","The maturity scan determines business readiness and assigns maturity levels for five assessment categories and an overall index.","A platform-calculated indication of readiness for adopting smart-manufacturing solutions.","Sections 2 and 3.4, PDF pages 3 and 6–7"
"N08","key performance indicators","Explicit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Pain-point identification uses key performance indicators, and businesses begin by defining their main targets using those indicators.","Measures used to identify business pain points and operational targets.","Sections 2 and 3; Figure 2, PDF pages 3–4"
"N09","training curriculum","Explicit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","The host website communicates the PiTech Academy motive and vision together with its training curriculum.","The organized training content communicated through the PiTech Academy website.","Abstract; Section 3.4, PDF pages 1 and 6"
"N10","system-based training modules","Explicit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","System-based training modules are developed after a solution is selected to facilitate its adoption.","Training content based on a selected and developed smart-manufacturing solution.","Section 2, Step 3, PDF page 3"
"N11","(low-cost) smart manufacturing solution designs","Explicit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Engineering students collaborate with shop floor workers to develop multiple solution designs for analysis and selection.","Documented product or process designs intended to address identified pain points.","Sections 2 and 3.1, PDF pages 3 and 5"
"N12","Lean Manufacturing Methods and Tools","Explicit Knowledge","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Lean Manufacturing Methods and Tools formed one of the five implemented workshop activities.","Manufacturing methods and tools taught in a workshop activity.","Sections 3.2–3.3, PDF pages 5–6"
"N13","researchers","Knowledge Holder","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Researchers developed the two-day workshop and, with engineering students, experiential-learning modules.","Not mentioned","Sections 3.1–3.2, PDF page 5"
"N14","engineering students","Knowledge Holder","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Engineering students assess readiness, co-develop solutions, and develop system-based and experiential-learning modules.","Not mentioned","Sections 2 and 3.1, PDF pages 3 and 5"
"N15","industrial partners","Knowledge Holder","I","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Industrial partners supply company pain points and collaborate with engineering students in developing solutions.","Small manufacturing businesses collaborating with academic participants in applied research and training.","Sections 2 and 3.1, PDF pages 3 and 5"
"N16","small manufacturing business owners","Knowledge Holder","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Owners participated in the maturity-model activity concerning their businesses’ potential pain points.","Not mentioned","Sections 3 and 3.2, PDF pages 4–5"
"N17","small manufacturing business owners","Knowledge Learner","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Small manufacturing business owners attended the experiential-learning workshop and were surveyed about its impact.","Not mentioned","Sections 3 and 3.3, PDF pages 4–5"
"N18","shop floor workers","Knowledge Learner","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Shop floor workers participated in the workshop and were intended to gain skills for deploying solutions.","Not mentioned","Abstract; Sections 2, 3, and 3.3, PDF pages 1 and 4–5"
"N19","engineering students","Knowledge Learner","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Engineering students attended the hands-on experiential-learning workshop and were surveyed about its impact.","Not mentioned","Sections 3 and 3.3, PDF pages 4–5"
"N20","traditional teaching methods","Traditional Human-central Practice","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Traditional teaching methods are reported to have limited effectiveness in developing individual manufacturing skills.","Conventional teaching approaches contrasted with action-oriented and experiential learning.","Section 1, PDF page 2"
"N21","theoretical presentation","Traditional Human-central Practice","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Participants thought the theoretical presentation should be shortened so hands-on activity time could be increased.","A presentation-based component of the Lean Manufacturing Methods and Tools activity.","Section 3.3, PDF page 6"
"N22","PiTech Academy learning platform","Technology-enable Practice","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","The PiTech Academy was developed and implemented as a common learning platform for training, solution development, and maturity self-scanning.","An applied learning platform supporting knowledge and technology transfer to small manufacturing businesses.","Sections 1–2 and 4, PDF pages 3 and 7"
"N23","learning factory environments","Technology-enable Practice","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","The methodology was validated in learning factory environments using a learning-by-doing approach.","Realistic learning environments in which applied research, solution development, and hands-on training occur.","Sections 1, 3.1, and 4, PDF pages 2–3, 5, and 7"
"N24","two-day hands-on workshop","Technology-enable Practice","E","Insights into the “PiTech Academy” Learning Platform for Small Manufacturing Businesses and Learning Factories","Researchers implemented a two-day hands-on workshop containing five technology and manufacturing activities.","An implemented experiential-learning event for small manufacturing businesses and engineering students.","Abstract; Sections 3.2–3.3 and 4, PDF pages 1 and 5–7"
