node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
N01,"Registry wait time statistics",Explicit Knowledge,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","The data in the Registry were, with few exceptions, updated daily and automatically extracted from the electronic medical records.","Digital metric on patient wait durations","Page 5"
N02,"80% compliance threshold for care guarantee",Explicit Knowledge,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","According to formal agreements, economic sanctions would be applied to large care providers if fewer than 80% of the patients received care within the wait time guarantee.","Regulatory benchmark for compliance","Page 12"
N03,"Registry-generated aggregated reports",Explicit Knowledge,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Data were published in an aggregated format and made accessible to patients, displayed through digital interfaces searchable through web browsers.","Summary outputs from the Registry","Page 5"
N04,"Regional formal compliance contracts",Explicit Knowledge,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","According to formal agreements, economic sanctions would be applied to large care providers if fewer than 80% of the patients received care within the wait time guarantee.","Written agreements between Region and providers","Page 12"
N05,"Patient appointment invitation materials",Explicit Knowledge,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","A care manager was asked to remove the phone number from patient information material by the care guarantee unit personnel because they could not deal with the large number of patients who needed their assistance.","Documents sent to patients with contact details","Page 12"
N06,"Clinician judgment on viable care unit scale",Tacit Knowledge,I,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Assessing reasonable size of a clinic: illustrating how knowledge of appropriate size of the clinic is important to enable quality assurance of registry data. Contract administrations have this knowledge but do not share it with the unit for development.","Expert intuition on clinic capacity","Page 10"
N07,"Data interpretation competency for wait time metrics",Tacit Knowledge,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Transforming wait time results into meaningful information required the categorization of specific results as either being within acceptable intervals or as being 'too long.'","Skill to evaluate whether wait times are acceptable","Page 12"
N08,"Awareness of Registry design and implementation defects",Tacit Knowledge,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Respondents were aware of design flaws in the Registry and features in the healthcare system that impeded the improvement of wait times, but they refrained from analyzing these issues further.","Insight into systemic problems of the Registry","Page 13"
N09,"Booking manipulation tactics for wait time figures",Tacit Knowledge,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","This is where it comes to… that you start to deceive a little. We pretend that patients have an appointment on New Year's Eve. Nobody wants to come on New Year's Eve.","Know-how to artificially shorten wait time statistics","Page 14"
N10,"Regional contract administrators",Knowledge Holder,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Contract administrators employed at the Region were to notice divergences and enforce compliance among care-providing organizations.","Regional staff monitoring compliance","Page 5"
N11,"Care unit managers",Knowledge Holder,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Individuals with reporting responsibilities, such as care unit managers and regional administrative managers, could also apply for access to a more detailed account of their own aggregated data in the Registry.","Managers responsible for care units and reporting","Page 5"
N12,"Care unit administrative staff",Knowledge Holder,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Administrators at care units were selected based on recommendations from care managers and interviewed together with the manager if the respondents preferred this.","Administrative personnel at care units","Page 6"
N13,"Unit for development staff",Knowledge Holder,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Representatives working at unit for development were interviewed to understand the uses of the Registry.","Personnel responsible for Registry development","Page 6"
N14,"Compliance monitoring officers",Knowledge Holder,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Compliance managers were to judge on a case-by-case basis... compliance officers struggled to assess whether 80% was a reasonable cutoff for intervention.","Regional officers overseeing wait time compliance","Page 12"
N15,"Clinical care personnel",Knowledge Holder,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Insufficient reporting of wait times by care personnel at clinics.","Healthcare providers entering clinical data","Page 6"
N16,"Care guarantee support unit staff",Knowledge Holder,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","The care guarantee unit, i.e., the unit responsible for informing and assisting patients in receiving care within the stipulated wait time guarantee.","Unit providing patient assistance with care guarantee","Page 12"
N17,"Local administrative workaround routines",Tacit Knowledge,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Rather than trying to explore and communicate this systemic problem further, the respondents would use a local, administrative shortcut.","Practical informal procedures to bypass system flaws","Page 13"
N18,"Clinic administrators needing Registry education",Knowledge Learner,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","A care manager referred to how clinic administrators needed to be educated to act in a meaningful manner.","Administrative staff requiring training on Registry use","Page 13"
N19,"Manual wait time reporting process",Traditional Human-central Practice,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Data about wait times were extracted and reported manually to contractors; collected episodically, rather than continuously; and not presented in a clear, comparable way.","Pre-Registry manual data collection method","Page 5"
N20,"Contract administrator compliance interventions",Traditional Human-central Practice,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Contract administrators employed at the Region were to notice divergences and enforce compliance among care-providing organizations.","Regional staff actions to enforce compliance","Page 5"
N21,"Local administrative shortcut practices",Traditional Human-central Practice,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Rather than trying to explore and communicate this systemic problem further, the respondents would use a local, administrative shortcut.","Manual workarounds developed to address Registry issues","Page 13"
N22,"Cross-provider referral meetings",Traditional Human-central Practice,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","I have contacted... [them] for referral meetings regarding hand surgery, at the hand surgery clinic.","Meetings between care providers to discuss referrals and wait times","Page 13"
N23,"Digital wait time registry usage",Technology-enable Practice,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","The case concerned the (non)use of the digital wait time registry (hereafter 'the Registry') implemented in the Stockholm Region.","The enacted practice of using the Registry system","Page 5"
N24,"Registry report generator usage",Technology-enable Practice,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","An example of the report generator interface as seen by personnel at the central contractor unit or care managers that specifically asked for access.","The practice of generating reports from the Registry","Page 6"
N25,"Electronic medical record data entry",Technology-enable Practice,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","The data in the Registry were, with few exceptions, updated daily and automatically extracted from the electronic medical records.","The practice of entering data into the EMR system","Page 5"
N26,"Local parallel digital tracking systems",Technology-enable Practice,E,"Ignoring and collective passivity in relation to information systems: How actors avoided engagement with data about wait times in Swedish healthcare","Some care units further developed parallel, local digital systems instead of voicing concerns about and suggesting ways of addressing flaws in the Registry.","Independent digital tools developed by care units","Page 13"
