"src_node_id","dst_node_id","relation_type","evidence_label","case_title","evidence_statement","evidence_location"
"N01","N18","be_transferred_by","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","The blended NOTS course included a 7-day in-person pediatric neuro-oncology workshop.","Journal p. 471; PDF p. 2, Methods—Learning Intervention"
"N01","N19","be_transferred_by","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","The prerequisite online modules delivered pediatric neuro-oncology education to multidisciplinary providers.","Journal pp. 470–471; PDF pp. 1–2"
"N01","N20","be_transferred_by","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Pre-recorded lectures delivered pediatric neuro-oncology course content.","Journal pp. 473–475; PDF pp. 4–6"
"N01","N21","be_transferred_by","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Live online meetings were a principal vehicle for pediatric neuro-oncology learning and expert interaction.","Journal pp. 473–475; PDF pp. 4–6"
"N01","N22","be_transferred_by","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Participants engaged with course content through guided online discussions.","Journal p. 471; PDF p. 2, Methods—Learning Intervention"
"N01","N23","be_transferred_by","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Clinical case discussions provided practical opportunities to engage with pediatric neuro-oncology content.","Journal pp. 471 and 474; PDF pp. 2 and 5"
"N02","N23","be_transferred_by","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Clinical cases were used to illustrate pediatric neuro-oncology theoretical concepts.","Journal p. 471; PDF p. 2, Methods—Learning Intervention"
"N03","N19","be_transferred_by","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","CNS tumor diagnostics was identified as a topic delivered through the NOTS online course.","Journal pp. 473–474; PDF pp. 4–5, Table 2 and Qualitative Results"
"N03","N20","be_transferred_by","I","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Respondents identified diagnostic topics and pre-recorded lectures among the valuable online course content.","Journal pp. 473–474; PDF pp. 4–5"
"N04","N19","be_transferred_by","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","CNS tumor treatment was identified as a topic delivered through the NOTS online course.","Journal pp. 473–474; PDF pp. 4–5, Table 2 and Qualitative Results"
