src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
"N06","N01","be_derived_from","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The knowledge questionnaire was revised with reference to the Standard Guide to Practice Standards for Intravenous Fluid Therapy.","PDF pp. 2-3; Data collection"
"N06","N02","be_derived_from","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The knowledge questionnaire was revised with reference to WS/T 433-2023.","PDF pp. 2-3; Data collection"
"N06","N03","be_derived_from","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The knowledge questionnaire was revised with reference to the clinical nursing practice guidelines.","PDF pp. 2-3; Data collection"
"N06","N04","be_derived_from","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Relevant domestic literature was synthesized when the researchers reformulated the survey questions.","PDF p. 3; Data collection"
"N06","N07","translate_into","I","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Guideline education significantly improved both understanding and application, while practice scores rose after the intervention.","PDF pp. 5-6; Results and Discussion"
"N07","N08","be_shared_by","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Eligible participants were clinically active nurses qualified to perform PIVC placement.","PDF p. 2; Study design and sample"
"N05","N19","be_transferred_by","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Concise educational messages on PIVC placement techniques were delivered through the WeChat platform.","PDF p. 3; Intervention methods"
"N06","N19","be_transferred_by","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The WeChat continuing-education program was used to improve nurses’ PIVC knowledge.","PDF pp. 2-3; Study objective and Intervention methods"
"N07","N19","be_transferred_by","I","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Intervention-group practical scores increased significantly after delivery of the WeChat educational content.","PDF pp. 5-6; Results and Discussion"
"N06","N14","be_transferred_by","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Print materials are identified as a conventional method for educational content delivery.","PDF p. 2; Introduction"
"N06","N15","be_transferred_by","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Telephonic communication is identified as a conventional educational delivery method.","PDF p. 2; Introduction"
"N06","N16","be_transferred_by","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The participant profile records attendance at workshops related to PIVC placement.","PDF p. 5; Table 2"
"N11","N19","participate_in","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The research team collected contact information and delivered the WeChat educational messages.","PDF p. 3; Intervention methods"
"N09","N19","participate_in","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Intervention-group nurses received the twice-daily WeChat messages for ten days.","PDF p. 3; Intervention methods"
"N09","N17","participate_in","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","All intervention-group nurses completed knowledge assessments at the study time points.","PDF p. 3; Assessment methods"
"N10","N17","participate_in","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","All control-group nurses completed knowledge assessments at the study time points.","PDF p. 3; Assessment methods"
"N09","N18","participate_in","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Intervention-group nurses’ practical skills were observed during real-time PIVC placement.","PDF p. 3; Assessment methods"
"N10","N18","participate_in","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Control-group nurses’ practical skills were observed during real-time PIVC placement.","PDF p. 3; Assessment methods"
"N12","N18","participate_in","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Practical assessors were qualified specialist intravenous therapy nurses or had extensive infusion-nursing experience.","PDF p. 3; Data collection"
"N17","N06","evaluate","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The paper-based survey assessed PIVC placement knowledge using ten single-choice questions.","PDF p. 3; Data collection and Assessment methods"
"N18","N07","evaluate","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","A thirteen-item checklist and independent onsite observations assessed practical PIVC manoeuvres.","PDF p. 3; Data collection"
"N19","N20","adopt","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The intervention delivered educational messages through WeChat.","PDF p. 3; Intervention methods"
"N19","N21","adopt","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The intervention incorporated text and video multimedia elements.","PDF p. 6; Discussion"
"N19","N22","depend_on","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The research team collected nurses’ WeChat contact information before intervention delivery.","PDF p. 3; Intervention methods"
"N19","N23","depend_on","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Work-schedule information was obtained to ensure timely message reading.","PDF p. 3; Intervention methods"
"N19","N24","depend_on","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Twice-daily short-message delivery was aligned with nurses’ workflow patterns.","PDF p. 6; Discussion"
"N19","N27","be_constrained_by","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The paper identifies limited sustained retention through passive push-based learning.","PDF pp. 6-7; Discussion and Conclusion"
"N19","N28","be_constrained_by","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","Knowledge declined between immediate and four-week assessment, indicating attrition.","PDF pp. 5-7; Results, Discussion, and Conclusion"
"N19","N29","be_constrained_by","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The conclusion identifies lack of individualisation as a limit on long-term effectiveness.","PDF p. 7; Conclusion"
"N19","N30","be_constrained_by","E","Impact of a WeChat-based intervention on nurses knowledge and practice in peripheral venous catheter insertion","The absence of stratified design may have compromised the intervention’s fit for junior and senior nurses.","PDF p. 6; Discussion"
