"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N01","machinery setup sequence","Explicit Knowledge","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The setup information was organized into 15 sequential steps covering 30 different component types.","The ordered sequence by which machinery components are selected and assembled.","Sections 3.3.2 and 3.4.2, pp. 6 and 8"
"N02","machinery components’ functionalities","Explicit Knowledge","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The trainer explained details about machinery parts, processes, functionalities, and related technical features.","Functional and technical information explaining the machinery components and processes.","Section 3.3.4, p. 7; Section 5.1, p. 12"
"N03","potential assembly errors","Explicit Knowledge","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","Visual metrics and instructions supported prevention and recognition of potential errors or forgetfulness.","Information about mistakes that may occur during machinery setup.","Section 3.3.1, p. 6; Section 5.1, p. 12"
"N04","digital instructions from the PDF form","Explicit Knowledge","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","G1 viewed PDF-form instructions containing 3D representations, pictures, step numbers, color guidance, and short text.","Codified digital setup instructions used in the comparison condition.","Section 3.4.2 and Fig. 3, p. 8"
"N05","previously agreed correction protocol","Explicit Knowledge","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The trainer could intervene for serious errors or fatal forgetfulness according to an agreed protocol.","Rules specifying the exceptional conditions under which trainer intervention was permitted.","Table 3 and Section 3.3.4, p. 7"
"N06","procedural knowledge for complex machinery setup","Tacit Knowledge","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The study assessed whether workers retained the complete assembly procedure immediately and after six days.","Practical retained capability to perform the complex machinery setup procedure.","Abstract; Sections 3.2.2–3.2.3, pp. 1 and 5–6"
"N07","technical skills beyond the mere understanding of the setup cycle","Tacit Knowledge","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","Trainer explanations were intended to develop technical skills beyond merely knowing the setup cycle.","Practical technical understanding developed through explanation of component and process details.","Section 3.3.4, p. 7"
"N08","autonomous and reliable machinery setup","Tacit Knowledge","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","Workers were asked to perform without guidance to assess whether they could work autonomously and reliably while preventing mistakes.","Ability to execute the setup independently and dependably.","Section 3.3.4, p. 7"
"N09","recognition and correction of potential errors","Tacit Knowledge","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The authors report that the AR training supported recognition and correction of potential setup errors.","Practical ability to identify and correct errors during machinery setup.","Section 5.1, p. 12"
"N10","company veteran trainer","Knowledge Holder","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The trainer was a qualified company veteran who provided operative support to new workers.","A qualified experienced employee responsible for operative training support.","Section 3.3.3, p. 6"
"N11","Confirmation Group (G1)","Knowledge Learner","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","Seven company workers formed the group trained with the company comparison approach supported by VM.","The learner group assigned to the comparison training condition.","Sections 3.2.1 and 4, pp. 5 and 9"
"N12","Test Group (G2)","Knowledge Learner","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","Seven company workers formed the group trained with the VMAR module.","The learner group assigned to the AR training condition.","Sections 3.2.1 and 4, pp. 5 and 9"
"N13","trainer-supported machinery setup training","Traditional Human-central Practice","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","During Scenario 2, the trainer explained machinery parts, processes, functionalities, and technical features.","Human-led operative training through explanation and intervention by an experienced trainer.","Sections 3.3.3–3.3.4, pp. 6–7"
"N14","digital procedures provided by a screen","Technology-enable Practice","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","G1 used digital procedures displayed on a large smart screen and navigated with a keyboard.","Screen-based delivery of the company’s digital setup procedure.","Sections 3.4.1–3.4.2, p. 8"
"N15","VMAR-based training module","Technology-enable Practice","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The implemented module combined VM and AR solutions to support learning and trainer intervention.","The integrated Visual Management and Augmented Reality training system validated in the case.","Section 3.3, p. 6"
"N16","superimposition of digital and physical objects","Technology-enable Practice","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","G2 viewed digital component models overlaid on their intended physical locations through the HMD.","AR guidance function that aligns virtual component representations with the physical machinery.","Sections 3.3.1 and 3.4.1; Fig. 4, pp. 6 and 8"
"N17","Hand menu","Technology-enable Practice","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The hand-bound menu enabled step selection, hologram control, and access to additional information.","An implemented MRTK interface bound to the user’s hand.","Section 3.4.2 and Fig. 6a, p. 9"
"N18","Virtual Dashboard","Technology-enable Practice","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The dashboard displayed the current step and indicated whether additional information was available.","An implemented AR interface positioned above the visualized parts.","Section 3.4.2 and Fig. 6b, p. 9"
"N19","Augmented Reality technology","Digital Technology","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","AR was used to project and superimpose digital instructions and component models within the physical scene.","Technology that supplements the physical workspace with computer-generated objects.","Introduction and Sections 3.3–3.4, pp. 2 and 6–9"
"N20","Microsoft HoloLens 2","Digital Technology","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","Microsoft HoloLens 2 was the head-mounted display used in the experiment.","The AR head-mounted display used by G2.","Section 3.4.2, p. 8"
"N21","Unity 2021.3.21","Digital Technology","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The AR application was developed using Unity 2021.3.21.","The software development environment used for the AR application.","Section 3.4.2, p. 8"
"N22","Microsoft Mixed Reality Toolkit version 2.8.3","Digital Technology","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","MRTK version 2.8.3 was used with Unity and implemented the hand-menu interaction.","The mixed-reality software toolkit used in the application.","Sections 3.4.2, pp. 8–9"
"N23","pre-training related to the use of the HMD","Organizational Dependency","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","G2 received HMD pre-training because participants had not previously used AR.","Preparatory instruction required before workers used the unfamiliar HMD.","Section 3.4.1, p. 8"
"N24","standardised trainer support","Organizational Dependency","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","The research team predefined trainer support to avoid unequal suggestions and experimental bias.","A controlled baseline defining the permitted type and detail of trainer assistance.","Section 3.3.3, p. 6"
"N25","visual guides and colour coding in the storage area","Organizational Dependency","E","A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup","Both groups used the same labels and color code to identify and pick components from storage.","Shared physical VM infrastructure supporting component identification and picking.","Sections 3.4.1–3.4.2 and Fig. 5, pp. 8–9"
