"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N01","Historical bid documents","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","Historical bid documents and RFPs were collected and prepared for inclusion in the knowledge base","Documents containing past bid proposals used as reference material for generating new proposals","Page 6-7"
"N02","RFPs (Request for Proposals)","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","Historical bid documents and RFPs were collected and prepared for inclusion in the knowledge base","Client-issued documents inviting bids that specify requirements and evaluation criteria","Page 6-7"
"N03","Project sheets","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","Project sheet preparation is often a repetitive task where similar data is required across different bids","Documentation of relevant past projects demonstrating firm capabilities; includes project description, timelines, clients, and outcomes","Page 10, Table 4"
"N04","Method statements","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","Method Statement Writing: Detailed explanation of project execution approach, timelines, resources, risk management, and quality control","Written documents explaining how project activities will be executed including approach, timelines, resources, risk management, and quality control","Page 10, Table 4"
"N05","Bid pricing data","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","Bid pricing – Calculating project costs, ensuring competitiveness and alignment with client requirements","Cost calculations including materials, labour, and overheads used to determine bid prices","Page 10, Table 4"
"N06","Standard/reference documents","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","Standard/reference documents attachment – Gathering compliance and evidence documents (certifications, licenses, client references) to demonstrate eligibility and reliability","Compliance and evidence documents including certifications, licenses, and client references","Page 10, Table 4"
"N07","Requirements summary","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","Content review and requirements summary preparation – Extracting and summarizing client requirements from RFP/ITB documents","Summarized client requirements including scope, deadlines, and evaluation criteria to guide the bid team","Page 10, Table 4"
"N08","Manual annotations (gold standard labels)","Explicit Knowledge","E","A generative AI model for automating construction bid preparation","Ground truth labels for the requirements extraction module were generated through manual annotation of the RFPs by the research team","Human-generated reference labels used as the gold standard for evaluating extraction accuracy","Page 14"
"N09","Bid manager's intuition","Tacit Knowledge","E","A generative AI model for automating construction bid preparation","Beta's reliance on the bid manager's intuition","Uncodified judgment and know-how used by bid managers to make decisions during bid preparation","Page 17"
"N10","Context-aware judgment","Tacit Knowledge","E","A generative AI model for automating construction bid preparation","Context-aware judgment and understanding of nuanced project risks","Ability to assess and respond to project-specific context and nuanced risks","Page 17"
"N11","Professional expertise","Tacit Knowledge","E","A generative AI model for automating construction bid preparation","Professional expertise in interpreting complex project specifications","Expert knowledge and skills applied in interpreting complex project specifications and ensuring bid meets client expectations","Page 17"
