src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
N21,N18,be_composed_of,I,"Real time condition monitoring and predictive analytics ensured by digital twin can be used to minimize unplanned downtimes","Section 1, Page 37-38"
N21,N19,be_composed_of,I,"Real time condition monitoring and predictive analytics ensured by digital twin can be used to minimize unplanned downtimes","Section 1, Page 37-38"
N21,N20,be_composed_of,I,"Digital twin-facilitated maintenance can greatly increase operational and organizational agility through virtual simulation","Section 1, Page 38"
N21,N01,adopt,E,"Digital twin is a technology that supports the construction of real time, data driven virtual models of physical mechanical objects","Section 1, Page 37"
N18,N22,adopt,E,"Digital twins are fed with both operational and state data","Section 2.1, Page 40"
N18,N39,adopt,E,"Sensor outcomes are integrated into coherent decision-making environments","Section 1, Page 38"
N19,N25,adopt,E,"Predictive analytics can be used to minimize unplanned downtimes and improve accuracy of failure detection","Section 1, Page 37-38"
N20,N23,adopt,E,"Digital twins integrate sensor outcomes, historical data, and simulation results","Section 1, Page 38"
N20,N24,adopt,E,"Digital twins integrate sensor outcomes, historical data, and simulation results","Section 1, Page 38"
N02,N09,be_derived_from,E,"Absorb change has high loadings indicating value of meaningful measurement of the capacity of a system to absorb disruptions","Table 2, Page 44"
N02,N10,be_derived_from,E,"Recover has high loadings indicating value of meaningful measurement of the capacity of a system to be restored to operation","Table 2, Page 44"
N27,N11,be_shared_by,I,"The ability of the maintenance team and technical unit to identify useful external information","Section 2.1, Page 40"
N27,N12,be_shared_by,I,"The ability of the maintenance team and technical unit to identify useful external information","Section 2.1, Page 40"
N28,N15,be_shared_by,I,"Maintenance teams can comprehend signals of degradation and integrate new technical knowledge","Section 2.1, Page 40"
N30,N11,be_shared_by,E,"Organizations with high absorptive capacity are able to convert sensor data into actionable maintenance fixes","Section 2.1, Page 40"
N30,N13,be_shared_by,E,"Organizations with high absorptive capacity are able to convert sensor data into actionable maintenance fixes","Section 2.1, Page 40"
N26,N21,be_transferred_by,E,"Digital twin schemes subject organizations to flows of equipment condition data","Section 2.1, Page 40"
N22,N21,be_transferred_by,E,"Digital twin schemes subject organizations to flows of equipment condition data","Section 2.1, Page 40"
N25,N21,be_transferred_by,E,"Digital twin schemes subject organizations to flows of predictive diagnostic data","Section 2.1, Page 40"
N11,N21,participate_in,E,"Mechanical engineers directly involved in maintenance processes and making technological decisions","Section 3, Page 42"
N12,N21,participate_in,E,"Maintenance managers directly involved in maintenance processes and making technological decisions","Section 3, Page 42"
N13,N21,participate_in,E,"Technical supervisors directly involved in maintenance processes and making technological decisions","Section 3, Page 42"
N14,N21,participate_in,E,"Operational employees directly involved in maintenance processes","Section 3, Page 42"
N21,N03,depend_on,E,"Digital twin's effect is mediated by absorptive capacity; absorptive capacity determines whether data is perceived, incorporated, and utilized","Section 2.1, Page 40"
N21,N32,depend_on,I,"Organizations that proactively formulate learning processes, sharing routines scale higher in reliability","Section 2.1, Page 40"
N21,N33,depend_on,I,"Organizations that proactively formulate learning processes, sharing routines scale higher in reliability","Section 2.1, Page 40"
N21,N34,depend_on,I,"Organizations must create training sessions, data interpretation proficiencies and knowledge sharing habits","Section 6.2, Page 48"
N21,N35,depend_on,I,"Managers are supposed to take digital twin technologies as a strategic asset","Section 6.2, Page 48"
N21,N36,depend_on,I,"Organizations must develop cross-functional collaboration","Section 6.2, Page 48"
N21,N17,be_composed_of,E,"Predictive and adaptive maintenance frameworks are supported by digital intelligence","Section 1, Page 37"
N27,N38,be_difficult_to_capture_due_to,E,"Absorptive capability defines whether data is perceived, incorporated, and utilized to redesign maintenance policies","Section 2.1, Page 40"
N21,N16,complement,E,"Digital twin-facilitated maintenance complements traditional approaches, representing shift from reactive to predictive frameworks","Section 1, Page 37"
N21,N04,depend_on,E,"Technological turbulence moderates the relationship between digital twin in mechanical maintenance management and operational resilience","Table 5, Page 46"
N29,N12,be_shared_by,I,"Quick decision-making skills are essential for maintenance managers in response to faults","Section 2, Page 39"
N31,N11,be_shared_by,E,"Reactive maintenance habits represent traditional behavioral patterns held by maintenance personnel","Section 2, Page 39"
N21,N37,mitigate,I,"Digital twin-enabled maintenance systems help bridge the knowledge-to-practice gap by enabling better data integration and translation, though absorptive capacity is still required to fully overcome it","Section 2.1, Page 40"
N21,N38,mitigate,E,"Digital twin systems mitigate the inability to translate data into action by providing structured diagnostic and predictive data flows that inform maintenance redesign when combined with absorptive capability","Section 2.1, Page 40"
