node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c202M01N01,Digital Transformation in Healthcare,Explicit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,The training and assessment treated Digital Transformation in Healthcare as one of three distinct topic areas.,A course introducing the evolving role of digital tools in healthcare and their use in patient care and health-data management.,"PDF pp. 2–4, Sections II.B–V"
c202M01N02,IoT in Healthcare,Explicit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,IoT in Healthcare was taught through a workshop and assessed by questions Q7 and Q8.,"Knowledge concerning healthcare uses of IoT devices, including wearable monitoring devices.","PDF pp. 2–4, Sections II.B–V"
c202M01N03,AI in Healthcare,Explicit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,AI in Healthcare was taught through a workshop and assessed by questions Q9 and Q10.,"Knowledge concerning AI-powered tools for data analysis, health-outcome prediction, and clinical decision support.","PDF pp. 2–4, Sections II.B–V"
c202M01N04,electronic health records,Explicit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,Electronic health records were introduced as a digital healthcare tool during the lecture.,A digital healthcare topic introduced in the Digital Transformation in Healthcare course.,"PDF pp. 2–3, Sections II.C and III.B"
c202M01N05,telemedicine,Explicit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,Telemedicine was introduced as a digital healthcare tool during the lecture.,A digital healthcare topic introduced in the Digital Transformation in Healthcare course.,"PDF pp. 2–3, Sections II.C and III.B"
c202M01N06,data from the wearable devices,Explicit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,Participants integrated data obtained from wearable devices into ChatGPT for analysis.,Health data generated by wearable devices and used as input for the AI exercise.,"PDF p. 3, Section III.B"
c202M01N07,heart rate,Explicit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,Participants used smartwatches to measure heart rate.,A vital sign measured with smartwatches during the IoT workshop.,"PDF p. 3, Section III.B"
c202M01N08,blood oxygen levels,Explicit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,Participants used smartwatches to measure blood oxygen levels.,A vital sign measured with smartwatches during the IoT workshop.,"PDF p. 3, Section III.B"
c202M01N09,actionable insights for healthcare providers,Explicit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,The AI exercise demonstrated processing health data to provide actionable insights for healthcare providers.,Processed health information intended to support healthcare management and decision-making.,"PDF p. 3, Section III.B"
c202M01N10,use smartwatches to measure vital signs,Tacit Knowledge,E,Enhancing Digital Health Literacy Of Village Health Volunteers Through Vocational Training Programs,"During the IoT workshop, VHVs learned how to use smartwatches to measure vital signs.",A hands-on ability to operate smartwatches for health measurement.,"PDF p. 3, Section III.B"
