src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
c218M01N01,c218M01N18,be_transferred_by,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,The blended NOTS course included a 7-day in-person pediatric neuro-oncology workshop.,"Journal p. 471; PDF p. 2, Methods—Learning Intervention"
c218M01N01,c218M01N19,be_transferred_by,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,The prerequisite online modules delivered pediatric neuro-oncology education to multidisciplinary providers.,Journal pp. 470–471; PDF pp. 1–2
c218M01N01,c218M01N20,be_transferred_by,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,Pre-recorded lectures delivered pediatric neuro-oncology course content.,Journal pp. 473–475; PDF pp. 4–6
c218M01N01,c218M01N21,be_transferred_by,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,Live online meetings were a principal vehicle for pediatric neuro-oncology learning and expert interaction.,Journal pp. 473–475; PDF pp. 4–6
c218M01N01,c218M01N23,be_transferred_by,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,Clinical case discussions provided practical opportunities to engage with pediatric neuro-oncology content.,Journal pp. 471 and 474; PDF pp. 2 and 5
c218M01N03,c218M01N19,be_transferred_by,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,CNS tumor diagnostics was identified as a topic delivered through the NOTS online course.,"Journal pp. 473–474; PDF pp. 4–5, Table 2 and Qualitative Results"
c218M01N04,c218M01N19,be_transferred_by,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,CNS tumor treatment was identified as a topic delivered through the NOTS online course.,"Journal pp. 473–474; PDF pp. 4–5, Table 2 and Qualitative Results"
c218M01N04,c218M01N20,be_transferred_by,I,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,Respondents identified CNS tumor treatment topics and pre-recorded lectures among the valued course content.,Journal pp. 473–474; PDF pp. 4–5
c218M01N05,c218M01N19,be_transferred_by,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,Supportive and palliative care for children with CNS tumors was included among the online course topics.,Journal pp. 473–474; PDF pp. 4–5
c218M01N05,c218M01N20,be_transferred_by,I,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,"A respondent reported first understanding palliative care through the course, in which pre-recorded lectures were a primary content format.",Journal pp. 473–474; PDF pp. 4–5
c218M01N06,c218M01N19,be_transferred_by,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,Multidisciplinary team integration was identified as an important online course topic.,Journal pp. 473–474; PDF pp. 4–5
c218M01N07,c218M01N21,be_transferred_by,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,Live online sessions were used for discussion and project presentations.,"Journal p. 474; PDF p. 5, Qualitative Results"
