src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
c211M01N02,c211M01N01,be_held_by,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Blending tacit knowledge from experts with AI in immersive platforms,PAGE 12
c211M01N03,c211M01N01,be_held_by,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,"Thus, knowledge warehouse helps to assess past decisions, identify lacunas, helping to assess tacit and contextual knowledge rather than analyzing only explicit data.",PAGE 15
c211M01N02,c211M01N06,be_captured_by,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,"Thus, knowledge warehouse helps to assess past decisions, identify lacunas, helping to assess tacit and contextual knowledge rather than analyzing only explicit data.",PAGE 15
c211M01N03,c211M01N06,be_captured_by,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,"Thus, knowledge warehouse helps to assess past decisions, identify lacunas, helping to assess tacit and contextual knowledge rather than analyzing only explicit data.",PAGE 15
c211M01N01,c211M01N07,participate_in,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Immersive avatar-based collaboration across supply chain actors,PAGE 12
c211M01N17,c211M01N07,participate_in,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,avatar-based supply chain collaborations help the students understand the impact of interdependencies on supply chain performance.,PAGE 16
c211M01N06,c211M01N08,adopt,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,"Metaverse facilitate in adopting revolutionary method for storing and retaining knowledge by innovative way of handling data and information, digital repositories.",PAGE 15
c211M01N06,c211M01N09,adopt,I,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Digital twin experimentation to simulate product recovery models,PAGE 12
c211M01N06,c211M01N10,adopt,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Blending tacit knowledge from experts with AI in immersive platforms,PAGE 12
c211M01N06,c211M01N13,depend_on,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,"External factors as market competition, regulatory pressures and sustainability mandate influences adoption timings.",PAGE 12
c211M01N06,c211M01N16,mitigate,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,"Therefore, knowledge development helps to fill the skill gaps, therefore helping the developing countries in formulating the strategic roadmap to implement circular supply chain.",PAGE 14
c211M01N07,c211M01N02,evaluate,I,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Blending tacit knowledge from experts with AI in immersive platforms,PAGE 12
c211M02N04,c211M02N12,be_captured_by,I,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Metaverse simulated environment helped me in comprehensive understanding of material workflows – capturing intuitive insights,"Page 12, lines 10-11"
c211M02N03,c211M02N13,be_captured_by,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,knowledge warehouse helps to assess tacit and contextual knowledge,"Page 15, lines 2-3"
c211M02N03,c211M02N10,be_transferred_by,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,"Virtual training modules on disassembly, reuse and eco‑design transfer tacit know‑how to learners","Page 12, Table 2"
c211M02N05,c211M02N10,be_transferred_by,I,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Virtual training modules also transfer practical skills (know‑how),"Page 12, Table 2"
c211M02N01,c211M01N06,be_transferred_by,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,digital repositories store and retain knowledge including past decisions,"Page 15, lines 1-2"
c211M02N03,c211M02N11,be_transferred_by,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Immersive avatar‑based collaboration spreads tacit knowledge across supply chain actors,"Page 12, Table 2"
c211M02N05,c211M02N07,be_held_by,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Blending tacit knowledge from experts (experts hold tacit knowledge),"Page 12, Table 2"
c211M02N08,c211M02N10,participate_in,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Employees participate in virtual training modules to upgrade knowledge,"Page 12, lines 4-5"
c211M01N01,c211M02N11,participate_in,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Avatar‑based collaboration involves supply chain professionals,"Page 12, Table 2"
c211M02N07,c211M02N11,participate_in,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Experts (stakeholders) participate in avatar collaboration,"Page 12, Table 2"
c211M02N08,c211M02N12,participate_in,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Employees use simulated environment for comprehensive understanding,"Page 12, lines 10-11"
c211M02N09,c211M02N16,adopt,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Digital twin experimentation adopts digital twin technology,"Page 12, Table 2"
c211M02N10,c211M01N08,adopt,I,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Virtual training modules run inside metaverse environment,"Page 12, Table 2 (metaverse context)"
c211M02N10,c211M02N17,adopt,I,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Virtual training likely uses VR for immersion (part of metaverse),"Page 2, lines 6-8"
c211M02N11,c211M02N19,adopt,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Immersive avatar‑based collaboration uses avatars,"Page 12, Table 2"
c211M02N12,c211M01N08,adopt,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Metaverse simulated environment adopts the metaverse,"Page 12, lines 10-11"
c211M02N12,c211M02N16,adopt,I,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Simulated environment is powered by digital twins,"Page 2, lines 6-8"
c211M02N09,c211M02N20,depend_on,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Organizational readiness plays significant role in adopting metaverse technologies (digital twin experimentation included),"Page 12, lines 16-17"
c211M02N03,c211M02N24,be_difficult_to_capture_due_to,E,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,"Lack of knowledge, experience and skills makes tacit knowledge capture difficult","Page 4, lines 13-15"
c211M02N05,c211M02N24,be_difficult_to_capture_due_to,I,Metaverse for sustainable circular supply chains: unlocking value and  knowledge synergies,Lack of skills directly impedes transfer of know‑how,"Page 4, lines 13-15"
