"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c101M01N05","Standardized lecture scripts","Explicit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.","Codified theoretical clinical data on selected core surgical subjects.","PAGE 2, Line 77","EK02","Educational Content, Lecture Scripts & Media Assets"
"c101M02N01","Pediatric surgery lecture scripts","Explicit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Standardized 6-10 min lecture scripts were developed by board-certified pediatric surgeons.","Written educational content used as source material for videos.","Page 2, Methods – Educational content","EK02","Educational Content, Lecture Scripts & Media Assets"
"c101M02N02","Expert-curated illustrations","Explicit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Overlay of expert-curated illustrations using DaVinci Resolve.","Visual diagrams and conceptual drawings added to videos.","Page 3, Video production – Standard video production","EK02","Educational Content, Lecture Scripts & Media Assets"
"c101M02N03","40-item multiple-choice examination","Explicit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Knowledge acquisition assessed by a 40-item multiple-choice examination.","Standardised test to measure short-term knowledge gain.","Page 2, Primary outcomes","EK04","Assessment Tools, Metrics & Algorithms"
"c101M02N04","Knowledge acquisition scores (%)","Explicit Knowledge","E","Educational impact and cost efficiency of AI-enhanced videos in pediatric surgery training: a quasi-experimental study","Mean scores were 76.8% (SD 9.2) AI-enhanced versus 69.5% (SD 10.4) standard.","Quantified test performance of participants.","Page 5, Results – Primary educational outcomes","EK04","Assessment Tools, Metrics & Algorithms"
"c102M01N01","Standard Baduanjin routine definitions","Explicit Knowledge","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","A movement animation data repository containing the eight styles of movements realizes the unified mapping of standard movement keyframes.","Codified postural definitions and movement sequences from authoritative resources.","PAGE 2, PAGE 6","EK02","Educational Content, Lecture Scripts & Media Assets"
"c102M01N02","Historical and rehabilitative knowledge cards","Explicit Knowledge","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The system constructs a rehabilitation interaction process centered on knowledge card feedback... describing historical background and rehabilitative effects.","Virtual cards containing historical, cultural, and rehabilitative information issued to the user.","PAGE 2, PAGE 4","EK02","Educational Content, Lecture Scripts & Media Assets"
"c102M01N11","Dynamic Time Warping algorithm rules","Explicit Knowledge","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The motion recognition module applies Dynamic Time Warping (DTW) to match the real-time motion sequence.","Mathematical algorithms used to evaluate real-time physical posture deviations against templates.","PAGE 6","EK04","Assessment Tools, Metrics & Algorithms"
"c102M02N01","Baduanjin movement instructions","Explicit Knowledge","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","The system organizes a movement animation data repository containing the eight styles of movements, realizing unified mapping of standard movement keyframes, movement semantics and voice commands","Codified step-by-step descriptions of the eight traditional Baduanjin routines","Section 1","EK02","Educational Content, Lecture Scripts & Media Assets"
"c102M02N02","Cultural historical background","Explicit Knowledge","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Each card presents historical context, intangible cultural heritage (ICH) knowledge, and the corresponding rehabilitative effect","Written information about the origin, historical period (Southern Song dynasty), and cultural significance of Baduanjin","Section 3.2.4","EK02","Educational Content, Lecture Scripts & Media Assets"
"c102M02N03","Health benefits and rehabilitative effects","Explicit Knowledge","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","Each card presents... the corresponding rehabilitative effect. For example, after performing the 'Drumming and Cursing Cao' movement, the card highlights its role in promoting blood circulation and strengthening the arms","Scientific insights into therapeutic benefits (e.g., cardiopulmonary function, pain relief, balance improvement)","Section 3.2.3","EK02","Educational Content, Lecture Scripts & Media Assets"
"c102M02N04","Quiz questions and answers","Explicit Knowledge","E","Design and evaluation of a virtual rehabilitation system integrating intangible cultural heritage: A case study of Baduanjin-based somatosensory training","A knowledge quiz session allows users to answer Baduanjin-related questions to test and reinforce their understanding","Structured test items assessing recall of movement facts, cultural heritage, and rehabilitative knowledge","Section 3.2.4","EK04","Assessment Tools, Metrics & Algorithms"
