sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role","c209M02N21","Clinical interns (baseline knowledge holders)","A total of 62 fourth-year clinical medicine undergraduate students who completed their internship","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"KH14","Organizational and Inter-organizational Collectives","c209M02N22","Thoracic Surgery Department staff","Thoracic Surgery Department, Affiliated Hospital of Hebei University","KH14","Organizational and Inter-organizational Collectives"
"KH14","Organizational and Inter-organizational Collectives","c209M02N23","3D Image and 3D Printing Center staff","3D Image and 3D Printing Center, Affiliated Hospital of Hebei University","KH14","Organizational and Inter-organizational Collectives"
"KH03","Frontline and Operational Practitioners","c210M01N08","Nurses with PIVC placement qualifications","Eligibility required a current clinical nursing role with PIVC placement qualifications.","KH03","Frontline and Operational Practitioners"
"KH06","Domain Experts and Expert Reviewers","c210M01N12","Specialist intravenous therapy nurses","Three specialist intravenous therapy nurses participated in content validation; qualified specialist nurses also served as practical assessors.","KH06","Domain Experts and Expert Reviewers"
"KH06","Domain Experts and Expert Reviewers","c210M01N13","Clinical nurse specialist","One clinical nurse specialist participated in assessing questionnaire content validity.","KH06","Domain Experts and Expert Reviewers"
"KH03","Frontline and Operational Practitioners","c210M02N13","Intervention group nurses (n=64)","64 assigned to the intervention group","KH03","Frontline and Operational Practitioners"
"KH03","Frontline and Operational Practitioners","c210M02N14","Control group nurses (n=59)","59 to the control group","KH03","Frontline and Operational Practitioners"
"KH12","Peer Knowledge Contributors","c211M01N09","knowledge contributors","The practical discussion identifies physicians who contribute knowledge and receive recognition from knowledge seekers.","KH12","Peer Knowledge Contributors"
"KH03","Frontline and Operational Practitioners","c211M01N11","verified practitioners","Credential verification ensures that the collected posts and comments originate from verified healthcare practitioners.","KH03","Frontline and Operational Practitioners"
"KH03","Frontline and Operational Practitioners","c211M02N07","Physicians as knowledge holders","Data were collected from DXY.cn... 198 active users... all data originates from verified practitioners","KH03","Frontline and Operational Practitioners"
"KH11","Educators, Trainers, and Mentors","c212M01N09","Instructors","Five Sechenov University instructors designed the research program, conducted training, and evaluated participants.","KH11","Educators, Trainers, and Mentors"
"KH11","Educators, Trainers, and Mentors","c212M02N11","Instructors (Sechenov University)","Five instructors from Sechenov University were responsible for designing the research program, conducting training, and evaluating the experimental participants. The instructors held doctoral degrees and had at least 10 years of professional experience.","KH11","Educators, Trainers, and Mentors"
"KH05","Scientific, Engineering, and Technical Professionals","c212M02N12","Physicians (practitioners)","Physicians encounter patient interaction challenges more frequently, as indicated by a higher mean score and statistically significant deviation from results observed among nurses. Issues with colleagues were often due to attempts to conceal inadequate competence.","KH05","Scientific, Engineering, and Technical Professionals"
"KH03","Frontline and Operational Practitioners","c212M02N13","Nursing staff (mid-level practitioners)","The study involved 150 nurses working in key areas of medicine: therapy, surgery, and obstetrics-gynecology. The average age of participants was 37 years. Of the 150 participants, 68% were male and 32% female.","KH03","Frontline and Operational Practitioners"
"KH14","Organizational and Inter-organizational Collectives","c213M01N20","participating healthcare provider nodes","Each healthcare provider operates as an independent node, retains local data, and trains predictive models.","KH14","Organizational and Inter-organizational Collectives"
"KH14","Organizational and Inter-organizational Collectives","c213M02N01","Healthcare Institutions (Nodes A–J)","each stakeholder (healthcare provider) acts as an independent node","KH14","Organizational and Inter-organizational Collectives"
"KH06","Domain Experts and Expert Reviewers","c214M01N13","human factor engineering experts","Human factor engineering experts experienced in nuclear safety training reviewed and validated the compiled content.","KH06","Domain Experts and Expert Reviewers"
"KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role","c214M02N16","Trainees","A total of 90 participants (36.67% female, 63.33% male; M = 23.5 years old) were identified for the experiment. The participants were then randomly assigned to one of three groups","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"KH03","Frontline and Operational Practitioners","c214M02N18","Experienced workers departing nuclear facilities","These challenges are further compounded by personnel turnover, with the constant influx of new hires and departure of experienced workers creating gaps in knowledge transfer","KH03","Frontline and Operational Practitioners"
"KH16","Ambiguous Knowledge Holder(*)","c215M02N13","CAS-BP dataset knowledge repository","CAS-BP dataset... comprises 10,146 measurements collected from 1,272 subjects","KH16","Ambiguous Knowledge Holder(*)"
"KH16","Ambiguous Knowledge Holder(*)","c215M02N14","Aurora-BP dataset knowledge repository","Aurora-BP dataset comprises measurements from 1,125 individuals","KH16","Ambiguous Knowledge Holder(*)"
"KH16","Ambiguous Knowledge Holder(*)","c215M02N15","SBP and DBP auscultation reference measurements","In physiological measurements, SBP represents the pressure in the arteries when the heart beats, while DBP represents the pressure when the heart is at rest between beats.","KH16","Ambiguous Knowledge Holder(*)"
"KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role","c215M02N16","Individual subjects (patients) with varied BP levels","the average pulse pressure for each person","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"KH09","Public Authorities, Regulators, and Standard-Setting Bodies","c216M01N62","American Heart Association","The platform used CPR training guidelines provided by the American Heart Association.","KH09","Public Authorities, Regulators, and Standard-Setting Bodies"
"KH09","Public Authorities, Regulators, and Standard-Setting Bodies","c216M01N63","Substance Abuse and Mental Health Services Administration","The platform used naloxone training guidelines provided by SAMHSA.","KH09","Public Authorities, Regulators, and Standard-Setting Bodies"
"KH10","Researchers, Analysts, and Knowledge Developers","c216M01N64","doctoral student contributing to ReviveXR development","A doctoral student applied expertise in 3D modeling, animation, programming, lighting, and texture creation.","KH10","Researchers, Analysts, and Knowledge Developers"
"KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role","c216M01N67","participants with prior overdose-witnessing experience","Thirty-six percent of participants had witnessed an overdose.","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"KH04","Customers, Users, and Service Recipients","c216M01N68","ReviveXR field-test participants providing usability feedback","Participants shared experiences and perspectives through semi-structured interviews.","KH04","Customers, Users, and Service Recipients"
"KH04","Customers, Users, and Service Recipients","c216M02N20","People who use drugs (PWUD)","The study recruited a diverse sample representing people who use drugs, their family members...","KH04","Customers, Users, and Service Recipients"
"KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role","c216M02N21","Bystanders at overdose events","Data suggests that in a vast majority of opioid overdose deaths, there was a potential bystander present, but unfortunately, naloxone was not administered.","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role","c216M02N22","Laypersons (non‑professional responders)","In 2018, the U.S. Surgeon General issued a call to action for training laypersons who encounter people at risk for opioid overdose.","KH15","Other (*) – Insufficient Evidence of a Knowledge-Holding Role"
"KH11","Educators, Trainers, and Mentors","c216M02N23","Traditional human instructors","When comparing ReviveXR to traditional overdose‑reversal training methods (many of them utilizing... live instructors with plastic mannequins).","KH11","Educators, Trainers, and Mentors"
"KH11","Educators, Trainers, and Mentors","c216M02N24","AI‑generated virtual instructor","Simultaneously, a virtual instructor in the background delivered an immersive tutorial in managing overdose situations.","KH11","Educators, Trainers, and Mentors"
"KH11","Educators, Trainers, and Mentors","c217M01N06","nursing educators","The study examines knowledge-sharing behavior among nursing educators and reports their sharing of resources, content, experience, and insights.","KH11","Educators, Trainers, and Mentors"
"KH06","Domain Experts and Expert Reviewers","c218M01N12","Pediatric neuro-oncology experts","Respondents described interacting with experts and receiving effective feedback from them.","KH06","Domain Experts and Expert Reviewers"
"KH11","Educators, Trainers, and Mentors","c218M01N13","NOTS professors","A respondent valued the fruitful comments and supportive attitude of the professors.","KH11","Educators, Trainers, and Mentors"
"KH12","Peer Knowledge Contributors","c218M01N14","NOTS peer participants","Participants reported international interaction and effective feedback from peers.","KH12","Peer Knowledge Contributors"
"KH04","Customers, Users, and Service Recipients","c218M01N15","2022 and 2023 NOTS participants","A total of 153 participants were enrolled and 83 completed the online evaluation.","KH04","Customers, Users, and Service Recipients"
"KH05","Scientific, Engineering, and Technical Professionals","c218M02N21","NOTS multidisciplinary providers","to equip multidisciplinary providers with essential knowledge and skills related to neuro-oncological care","KH05","Scientific, Engineering, and Technical Professionals"
"KH05","Scientific, Engineering, and Technical Professionals","c218M02N22","Pediatric oncologists","with most working in the fields of pediatric oncology (41.1%, n = 63)","KH05","Scientific, Engineering, and Technical Professionals"
"KH05","Scientific, Engineering, and Technical Professionals","c218M02N23","Neurosurgeons","most working in the fields of...neurosurgery (24.8%, n = 38)","KH05","Scientific, Engineering, and Technical Professionals"
"KH05","Scientific, Engineering, and Technical Professionals","c218M02N24","Radiation oncologists","most working in the fields of...radiation oncology (11.8%, n = 18)","KH05","Scientific, Engineering, and Technical Professionals"
"KH05","Scientific, Engineering, and Technical Professionals","c218M02N25","Pathologists","most working in the fields of...pathology (7.8%, n = 12)","KH05","Scientific, Engineering, and Technical Professionals"
