sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"KL01","Formal Higher-Education Learners","c209M01N12","clinical interns","Sixty-two clinical interns were randomly assigned to the 3DV and 3DP groups.","KL01","Formal Higher-Education Learners"
"KL01","Formal Higher-Education Learners","c209M02N24","Fourth-year clinical medicine undergraduates","The study included 62 fourth-year clinical medicine undergraduate students","KL01","Formal Higher-Education Learners"
"KL02","Structured Occupational Trainees","c210M01N09","Intervention group nurses","Sixty-four nurses received the WeChat educational intervention and demonstrated improved knowledge and practice scores.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c210M01N10","Control group nurses","Fifty-nine nurses received no intervention during the study and showed no significant score changes.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c210M02N18","WeChat intervention learner nurses","64 assigned to the intervention group","KL02","Structured Occupational Trainees"
"KL04","Experienced Practitioner Upskilling Learners","c211M01N10","physicians seeking knowledge","Knowledge-seeking physicians search, browse, assimilate existing content, read posts, and study other physicians' cases.","KL04","Experienced Practitioner Upskilling Learners"
"KL02","Structured Occupational Trainees","c212M01N10","Students","The participating nurses were assigned to control and experimental student groups and completed the semester-long training.","KL02","Structured Occupational Trainees"
"KL01","Formal Higher-Education Learners","c212M02N14","Nursing students (trainee participants)","Participants were divided into two groups: an experimental group and a control group, with 75 individuals in each. To participate in the study, individuals had to be employed as a nurse and be between ages 25 and 45.","KL01","Formal Higher-Education Learners"
"KL09","Project and Organizational Collective Learners","c213M01N21","participating healthcare provider nodes","Providers test peer models, compare results, identify biases, and recognize potential improvements.","KL09","Project and Organizational Collective Learners"
"KL02","Structured Occupational Trainees","c214M01N14","trainees","Trainees used the systems, completed assessments, and received targeted retraining.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c214M02N19","Trainees as knowledge absorbers","A total of 90 participants (36.67% female, 63.33% male; M = 23.5 years old) were identified for the experiment. The participants were then randomly assigned to one of three groups","KL02","Structured Occupational Trainees"
"KL11","Ambiguous Knowledge Learner(*)","c215M02N46","BpBLS incremental learning model instance","BpBLS can be updated flexibly and quickly without retraining the entire model for incremental biosignals and/or training samples","KL11","Ambiguous Knowledge Learner(*)"
"KL11","Ambiguous Knowledge Learner(*)","c215M02N47","Wearable cuffless BP estimation system on edge devices","BpBLS... enabling deployment on wearable devices while seamlessly adapting to new biosignal modalities","KL11","Ambiguous Knowledge Learner(*)"
"KL02","Structured Occupational Trainees","c216M01N20","people who use drugs participating in ReviveXR field testing","People who use drugs were represented in the recruited sample.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c216M01N23","registered nurses participating in ReviveXR field testing","Registered nurses were included in field testing.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c216M01N25","ambulance workers participating in ReviveXR field testing","Ambulance workers were included among first-responder participants.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c216M01N27","IT and VR professionals participating in ReviveXR field testing","IT and VR professionals were included in field testing.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c216M02N25","ReviveXR training participants (N=25)","Participants (N = 25) were recruited from both urban and rural communities...","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c216M02N26","ReviveXR platform trainees","Trainees practiced using a real naloxone spray (i.e., demonstration device) on a virtual patient in their environment.","KL02","Structured Occupational Trainees"
"KL04","Experienced Practitioner Upskilling Learners","c217M01N07","colleagues","Shared teaching content addressed colleagues' problems, and shared experience was recognized and adopted by colleagues.","KL04","Experienced Practitioner Upskilling Learners"
"KL04","Experienced Practitioner Upskilling Learners","c217M02N06","Nursing Educator Colleagues","75% of nursing educators say that their shared content can solve colleagues' problems.","KL04","Experienced Practitioner Upskilling Learners"
"KL01","Formal Higher-Education Learners","c217M02N07","Nursing Students","The frequency of knowledge sharing behavior among undergraduates, masters, and doctoral students is measured.","KL01","Formal Higher-Education Learners"
"KL09","Project and Organizational Collective Learners","c217M02N08","Nursing Education Team Members","""Can team members help each other with teaching resources?"" - measure of cooperative culture.","KL09","Project and Organizational Collective Learners"
"KL02","Structured Occupational Trainees","c218M01N16","Multidisciplinary pediatric neuro-oncology providers","NOTS was launched to equip multidisciplinary providers with pediatric neuro-oncology knowledge and skills.","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c218M02N27","NOTS course participants","A total of 153 participants from 30 institutions participated in the online modules","KL02","Structured Occupational Trainees"
"KL02","Structured Occupational Trainees","c218M02N28","LMIC healthcare professionals","shortage of trained providers with expertise in pediatric neuro-oncology, exacerbated by limited access to educational opportunities","KL02","Structured Occupational Trainees"
"KL09","Project and Organizational Collective Learners","c218M02N29","NOTS multidisciplinary team members","to equip multidisciplinary providers with essential knowledge and skills","KL09","Project and Organizational Collective Learners"
"KL01","Formal Higher-Education Learners","c219M01N17","nursing students","Nursing students used the platform for learning and participated in formal usability testing.","KL01","Formal Higher-Education Learners"
"KL06","Operational Decision and Action Learners","c221M02N14","Remote consultation patients","Users can consult remotely with doctors who prescribe treatments through this wallet","KL06","Operational Decision and Action Learners"
"KL11","Ambiguous Knowledge Learner(*)","c221M02N15","Recipe NFT purchasers","Customers can acquire [recipe NFTs] by exchanging fiat currency","KL11","Ambiguous Knowledge Learner(*)"
"KL10","Knowledge Review and Validation Learners","c222M01N15","medical and nursing researchers","The system provides accurate assistance and guidance for medical and nursing researchers.","KL10","Knowledge Review and Validation Learners"
"KL02","Structured Occupational Trainees","c224M01N11","nurses from the Internal Medicine Department","The study included 168 nurses from the medicine department of a hospital in northern Portugal.","KL02","Structured Occupational Trainees"
"KL01","Formal Higher-Education Learners","c225M02N16","Final-year nursing undergraduates enrolled in the NURD 4412 Elective Disaster Nursing course","""twenty undergraduate final-year nursing students who had undertaken an elective course (NURD 4412: Elective Disaster Nursing)""","KL01","Formal Higher-Education Learners"
"KL02","Structured Occupational Trainees","c225M02N17","First responder trainees participating in tabletop exercise programs","""trained to disaster responders, such as police, firefighters, civil defence officers, nurses, and paramedics""","KL02","Structured Occupational Trainees"
"KL06","Operational Decision and Action Learners","c227M01N12","Administrators at care units","Administrators scheduled visits and were expected to be informed by care managers about necessary scheduling changes.","KL06","Operational Decision and Action Learners"
"KL06","Operational Decision and Action Learners","c227M01N13","Central contractor unit","The unit received monthly reports and was expected to use data to identify and influence underperforming care providers.","KL06","Operational Decision and Action Learners"
"KL06","Operational Decision and Action Learners","c227M01N14","Patients","Patients could view aggregated wait times and use the information to decide where to seek care or monitor compliance.","KL06","Operational Decision and Action Learners"
"KL02","Structured Occupational Trainees","c227M02N18","Clinic administrators needing Registry education","A care manager referred to how clinic administrators needed to be educated to act in a meaningful manner.","KL02","Structured Occupational Trainees"
