sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"EK02","Codified Descriptive Knowledge","c001M01N01","Historical archives","Historical archives are combined with AR scene overlay technology to reconstruct living scenes.","EK02","Codified Descriptive Knowledge"
"EK02","Codified Descriptive Knowledge","c001M01N02","Architectural data","The study collected architectural data through 3D laser scanning, virtual reality, and big-data analysis.","EK02","Codified Descriptive Knowledge"
"EK02","Codified Descriptive Knowledge","c001M01N03","Spatial distribution maps","GIS aggregates scattered 3D models into spatial distribution maps displaying density and age distribution.","EK02","Codified Descriptive Knowledge"
"EK02","Codified Descriptive Knowledge","c001M01N04","Historical narrative","The dynamic digital archive connects historical narrative with interactive experience.","EK02","Codified Descriptive Knowledge"
"EK02","Codified Descriptive Knowledge","c001M01N05","Wartime timeline","Digital exhibitions passively show building exteriors and the wartime timeline.","EK02","Codified Descriptive Knowledge"
"EK01","Codified Normative Knowledge","c001M01N06","Technical Standards for Historical Building Digitization (2021)","The graded-protection framework is based on Technical Standards for Historical Building Digitization (2021).","EK01","Codified Normative Knowledge"
"EK01","Codified Normative Knowledge","c001M01N07","Digital Preservation of Intangible Cultural Heritage: Digital Resource Collection and Cataloguing (WH/T 99.9-2023), Part 9: Traditional Craftsmanship","The paper invokes WH/T 99.9-2023 Part 9 when describing sequential recording of craftsmanship processes.","EK01","Codified Normative Knowledge"
"EK06","Codified Evaluative Knowledge","c001M01N08","LOD Level-Protection Intensity Mapping Table","The study established an LOD Level-Protection Intensity Mapping Table for Peng's Traditional Dwelling.","EK06","Codified Evaluative Knowledge"
"EK02","Codified Descriptive Knowledge","c001M02N01","FARO S350 millimeter-resolution architectural point clouds","FARO Focus S350 realizes millimeter-level point cloud modeling with average error margin <0.5%","EK02","Codified Descriptive Knowledge"
"EK01","Codified Normative Knowledge","c001M02N02","UNESCO World Heritage site monitoring standards","Meets the requirements of heritage monitoring by UNESCO [4]","EK01","Codified Normative Knowledge"
"EK02","Codified Descriptive Knowledge","c001M02N05","1938 Nationalist Government relocation to Chongqing timeline","The dynamic narrative technology triggered events by timelines (such as the relocation of the Nationalist Government to Chongqing in 1938)","EK02","Codified Descriptive Knowledge"
"EK02","Codified Descriptive Knowledge","c001M02N06","Thermal imaging wood decay and hollow wall structural maps","The thermal map of structural damage is generated... discover hidden danger points such as wood decay, hollow walls","EK02","Codified Descriptive Knowledge"
"EK07","Codified Outcome Knowledge","c001M02N34","58% visitor historical narrative comprehension gain","Historical knowledge retention rate has been increased by 58%","EK07","Codified Outcome Knowledge"
"EK07","Codified Outcome Knowledge","c001M02N35","22-minute VR dwell time extension metric","VR exhibition hall extended average stay time for 22 minutes","EK07","Codified Outcome Knowledge"
"EK05","Codified Predictive Knowledge","c001M02N36","89% accurate 48-hour visitor flow prediction metric","AI technology predicted the site visitation 48 hours in advance with an accuracy of 89%","EK05","Codified Predictive Knowledge"
"EK01","Codified Normative Knowledge","c002M01N01","Preventing Falls in Housing Construction—Code of Practice","Construction safety training delivery was prepared from this enforceable code of practice developed by Work Safe Australia.","EK01","Codified Normative Knowledge"
"EK02","Codified Descriptive Knowledge","c002M01N02","fall risks in housing construction","The training aimed to educate trainees about different fall risks in housing construction.","EK02","Codified Descriptive Knowledge"
