sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"OD01","Governance, Standards & Formal Control","c001M02N24","Government-led plus community crowdfunding preservation model","The 'government-led + community crowdfunding' model used by Eastern European countries such as Bulgaria and Hungary for historical buildings preservation can provide institutional design references for Chongqing","OD01","Governance, Standards & Formal Control"
"OD01","Governance, Standards & Formal Control","c001M02N25","LOD400/LOD200 graded modeling precision mandate","Core buildings are required to model at millimeter level based on Technical Standards for Historical Building Digitization (2021) [2]; county-level projects restricted to LOD200","OD01","Governance, Standards & Formal Control"
"OD08","Organizational Structure & Process Design","c002M01N42","training customization to the applicable work area and actual task","The authors identify customized training relevant to specific on-site tasks as important for efficient knowledge acquisition.","OD08","Organizational Structure & Process Design"
"OD08","Organizational Structure & Process Design","c002M01N43","virtual interface design that allows trainees to maintain attention","Effective virtual training must use an interface that enables trainees to maintain attention.","OD08","Organizational Structure & Process Design"
"OD01","Governance, Standards & Formal Control","c002M02N33","Organizational systematic safety training policies","It is necessary to increase their safety awareness through systematic safety training","OD01","Governance, Standards & Formal Control"
"OD05","Human Capacity, Roles & Participation","c002M02N34","Workplace safety orientation and onboarding","A study exploring the reasons behind unsafe work behavior on construction sites describes the lack of safety orientation and training as one of the leading causes of unsafe behavior","OD05","Human Capacity, Roles & Participation"
"OD03","Financial, Technical & Information Resources","c003M01N23","DICEA CAVE facility availability","The CAVE system was available at the DICEA Department of the Polytechnic University of the Marche.","OD03","Financial, Technical & Information Resources"
"OD05","Human Capacity, Roles & Participation","c003M02N19","Sample selection","Sample selection is crucial to ensure the accuracy and reliability of training findings.","OD05","Human Capacity, Roles & Participation"
"OD08","Organizational Structure & Process Design","c003M02N20","Clear instructions","To maintain participant immersion... clear instructions should be provided to participants before starting the CAVE activity...","OD08","Organizational Structure & Process Design"
"OD04","Time, Workload & Operational Scheduling","c003M02N21","Adaptation phase","...it will be important to plan an initial adaptation phase (about 3-4 minutes) for participants, allowing them to freely experience the CAVE scenario...","OD04","Time, Workload & Operational Scheduling"
"OD01","Governance, Standards & Formal Control","c004M02N28","OSHA Excavation Safety Regulatory Mandates","The training objectives of the immersive VR training system were developed based on two guidelines: Occupational Safety and Health Administration (OSHA) Trenching and Excavation Safety","OD01","Governance, Standards & Formal Control"
"OD01","Governance, Standards & Formal Control","c004M02N30","University Research Ethics Approval","Massey University Research Ethics Committee granted ethics approval (Southern A, Application 18/21) to conduct this study","OD01","Governance, Standards & Formal Control"
