sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c101M01N24","hard to articulate","Tacit knowledge is described as unwritten, experience-based knowledge that is notoriously difficult to articulate.","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c101M01N25","undocumented expertise departs with veteran staff","When veteran staff retire or change jobs, their undocumented expertise leaves with them.","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI08","Time, Staffing, Expertise, Scheduling and Workload Constraints","c101M01N26","specialised BPM modelling skills required","The paper states that BPM modelling tools require specialised skills.","LI08","Time, Staffing, Expertise, Scheduling and Workload Constraints"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c101M01N28","inconsistent or malformed XML","Early prompt iterations produced inconsistent or malformed XML, and Gemini Flash outputs sometimes failed to render.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c101M01N29","significant system latency","The complete evaluated sequence took over 12 minutes, and a single complex output sometimes took up to 10 minutes.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c101M01N30","verbose BPMN XML generation","Large BPMN XML files are described as token-intensive and as directly increasing cost and processing time.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c101M01N31","non-deterministic LLM outputs","The same prompt can produce different results because LLM output is stochastic rather than deterministic.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c101M01N32","no awareness of the final visual layout","The current system generates BPMN code but has no awareness of the final visual layout.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI13","Research Design, Measurement and Validation Flaws","c101M01N34","lack of formal evaluation of “TO-BE” model quality","The study states that it lacks a formal evaluation of the quality of the generated TO-BE model.","LI13","Research Design, Measurement and Validation Flaws"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c101M01N35","lack of a formalized, digitally-tracked system","The existing workflow lacks a formalized, digitally tracked system, producing poor visibility for production managers.","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c101M01N36","absence of data capture","The absence of data capture prevents analysis of machine reliability and failure patterns.","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c101M02N03","Knowledge loss upon departure","When veteran staff retire or switch jobs, this undocumented expertise departs with them, risking operational disruption, quality drift, and lengthy onboarding","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c101M02N04","Operational disruption","this undocumented expertise departs with them, risking operational disruption, quality drift, and lengthy onboarding for replacements","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c101M02N05","Quality drift","this undocumented expertise departs with them, risking operational disruption, quality drift, and lengthy onboarding for replacements","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c101M02N28","XML verbosity","This delay is largely attributable to the verbosity of the BPMN XML format. Generating large, structured text files is a token-intensive task","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c101M02N30","Poor visibility","leads to poor visibility for production managers, who cannot predict repair times or adjust schedules effectively","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c101M02N32","Reactive process","The existing workflow is almost entirely reactive and relies on informal, manual communication","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI08","Time, Staffing, Expertise, Scheduling and Workload Constraints","c102M01N31","Domain-specific knowledge dependence","Training the three traditional task-interpretation modules relies heavily on domain-specific knowledge.","LI08","Time, Staffing, Expertise, Scheduling and Workload Constraints"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c102M01N32","Lack of generalization capabilities","Models produced by the traditional pipeline often lack generalization capabilities.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c102M01N33","Hallucinatory or erroneous content","LLMs can produce hallucinatory or erroneous content during inference.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c102M01N34","Reasoning results unsuitable for direct practical applications","Hallucinatory output makes LLM reasoning results unsuitable for direct practical application in some tasks.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c102M01N35","Difficulty comprehending specific manufacturing task descriptions and planning robot motion","The LLM still has difficulty comprehending specific manufacturing task descriptions and planning robot motion.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c102M02N40","Lack of transferability","lacking generalization and transferability for diverse manufacturing activities","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c102M02N43","Erroneous inference","renders their reasoning results unsuitable for direct practical applications in some tasks","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI11","Physical-Environmental and Operational Variability","c102M02N44","Small/partially occluded human hands","challenges posed by small and partially occluded human hands in 3D body modeling","LI11","Physical-Environmental and Operational Variability"
"LI11","Physical-Environmental and Operational Variability","c103M01N42","visual occlusion","Camera-based methods frequently suffer from visual occlusion.","LI11","Physical-Environmental and Operational Variability"
"LI11","Physical-Environmental and Operational Variability","c103M01N43","surrounding-noise interference","Air-conducted sounds easily suffer from surrounding noise.","LI11","Physical-Environmental and Operational Variability"
"LI14","Empirical Sample and Generalizability Limitations","c103M01N44","lack of publicly available large-scale body-conducted-sound datasets","No public large-scale body-conducted-sound dataset for handwork was available.","LI14","Empirical Sample and Generalizability Limitations"
"LI06","Hardware, Sensor and Technical Infrastructure Constraints","c103M01N45","no commercially available body-conducted-sound sensor","No commercially available sensor had been developed.","LI06","Hardware, Sensor and Technical Infrastructure Constraints"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c103M01N47","difficulty identifying the grasped object","The grasping classes were confused with folding and grasped-object identification was difficult.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c103M01N48","lower recall for typing sentences using a keyboard","Typing recall was lower than for the other handwork types.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c103M01N49","no established optimal analysis-frame length","Seven frame lengths were tested because the optimal length was not established.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI14","Empirical Sample and Generalizability Limitations","c103M02N15","Small training dataset","the modeling method must have low computational complexity and be stable, even with only a small amount of training data.","LI14","Empirical Sample and Generalizability Limitations"
"LI14","Empirical Sample and Generalizability Limitations","c103M02N16","Lack of public large-scale datasets","there are no publicly available large-scale datasets of body-conducted sounds available for handwork.","LI14","Empirical Sample and Generalizability Limitations"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c103M02N17","No pre-trained models available","no pre-trained model (trained using existing large-scale databases) that can be adapted to specific applications via fine-tuning.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI15","Ambiguous Limitation(*)","c104M01N24","intricate component arrangement and connectivity","IoT circuit assembly was described as challenging because it involved intricate component arrangement and connectivity.","LI15","Ambiguous Limitation(*)"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c104M01N25","attention switching between instructions and assembly","Paper-group participants alternated between reading instructions and performing assembly, and the discussion states that the paper approach required switching attention between the task and instructions.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c104M01N26","no clear physical position indicator","Participants found calculating connection slots from the paper diagram difficult because the physical circuit had no clear position indicator.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c104M01N27","possible misunderstanding from words and diagrams alone","Participants reported that paper instructions might be misunderstood when presented only through words and diagrams without animation or assembly-step visualization.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c104M01N29","animation delay","The paper reports slight delays in the animation after button clicks and notes that users had to wait for dynamic visualizations to run.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c104M01N30","jittery visualization and 3D model misalignment","Participants reported jittery imagery and alignment problems that affected judgment of component positions.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c104M01N31","overlapping virtual numbers","Participants reported that numerous virtual numbers overlapped the real image near the end of assembly and caused confusion.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI05","Software, Algorithmic, Data Quality and Interoperability Barriers","c104M01N32","lack of assembly error detection","Participants could not recognize assembly mistakes, and the paper identifies error detection, feedback, and correction as usability concerns.","LI05","Software, Algorithmic, Data Quality and Interoperability Barriers"
"LI13","Research Design, Measurement and Validation Flaws","c104M01N33","limited validity of the repeated 10-question knowledge test","The authors acknowledge that reusing ten shuffled questions may not remove familiarity effects and could affect the results.","LI13","Research Design, Measurement and Validation Flaws"
"LI14","Empirical Sample and Generalizability Limitations","c104M01N34","limited generalizability","The forty participants were primarily university students in computer-science-related fields, and the authors caution against generalizing to other courses, ages, and cultural contexts.","LI14","Empirical Sample and Generalizability Limitations"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c104M02N22","Cognitive load","In learning environments, extraneous elements often cause cognitive overload.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c104M02N25","Lack of error feedback","Participants mentioned they were unable to realize their mistakes during the assembly task.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c105M01N35","Experts may overlook crucial information","Experts may underestimate their expertise and omit crucial information when instructing.","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c105M01N36","Tacit expert knowledge is not always found on paper","The relevant processes included tacit expert knowledge that was not always found on paper.","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c105M01N38","Written instructions do not capture expert performance variation","Experts performed steps in different orders and sometimes differently from the instructions.","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c105M01N39","Difficulty interpreting 2D construction drawings","Employees found 2D representations of 3D objects difficult to interpret and made errors.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c105M01N43","Heavy Magic Leap 2 computer unit","The attached computer unit made the Magic Leap uncomfortable and heavy.","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c105M01N44","Small and difficult-to-read AR text","Participants reported that the displayed text was small and difficult to read.","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c105M01N45","Static AR instruction location","Instructions were projected at a static spot that the employee had to look toward.","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c105M01N48","Dutch-only pilot instructions","Multiple languages were important to the companies, but only Dutch was used in the pilot.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI11","Physical-Environmental and Operational Variability","c105M01N49","Ambient noise interference with recorded speech","A noisy environment could reduce the audibility of recorded expert speech.","LI11","Physical-Environmental and Operational Variability"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c105M02N39","Expert underestimation","experts tend to underestimate their own expertise, which can lead them to overlook sharing crucial information","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI03","Human Physiological, Cognitive-Capacity and Demographic Constraints","c105M02N40","Cognitive overload","working memory has a limited capacity, and that for this reason instructions should be given in such a way that they make as little use of working memory as possible","LI03","Human Physiological, Cognitive-Capacity and Demographic Constraints"
"LI01","Individual Knowledge and Memory Decay","c105M02N41","Forgetting curve","Not explicitly stated in paper but implied by knowledge retention challenge","LI01","Individual Knowledge and Memory Decay"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c105M02N43","Lack of feedback","the employee felt insecure due to the lack of feedback on the performance, resulting in the need of expert guidance","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c105M02N44","Hardware discomfort","the Magic Leap was described as uncomfortable, because the computer unit attached to it was experienced as heavy","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c105M02N45","Interface issues","as for the text, it was mentioned that it is small and difficult to read","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c105M02N46","Static instruction placement","the instructions are projected on a static spot, which means the employee has to look at the specific spot to see the instructions","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI11","Physical-Environmental and Operational Variability","c105M02N47","Environmental interference","production hall is very warm, there is a lot of dust and there is a lot of ambient noise. This can affect the comfort of AR glasses","LI11","Physical-Environmental and Operational Variability"
"LI11","Physical-Environmental and Operational Variability","c105M02N48","Expert variation in process","both experts perform certain tasks in a different order, adhering to their own expertise","LI11","Physical-Environmental and Operational Variability"
"LI14","Empirical Sample and Generalizability Limitations","c105M02N49","Limited pilot scope","only one for the pilot","LI14","Empirical Sample and Generalizability Limitations"
"LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security","c105M02N50","Knowledge retention gap","new employees might struggle to fully acquire the necessary knowledge and expertise to handle unforeseen challenges, weakening the company's knowledge base","LI10","Knowledge Continuity, Documentation, Governance, Privacy and Security"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c106M01N27","high amount of textual information","The paper states that conventional approaches often involve a high amount of textual information.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c106M01N28","information overload","Training was staged and holograms were selectively displayed to reduce information overload.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c106M01N29","complex machinery setup sequence","The company’s setup sequence was described as complex, long, and requiring error-free execution.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI11","Physical-Environmental and Operational Variability","c106M01N30","frequent machinery modifications","Prototype machinery underwent frequent changes in components and setup sequences.","LI11","Physical-Environmental and Operational Variability"
"LI02","Individual Ergonomic, Usability and Immediate Safety Risks","c106M01N31","increased physical and mental workload","More than two hours of HMD use increased worker workload and produced fatigue.","LI02","Individual Ergonomic, Usability and Immediate Safety Risks"
"LI06","Hardware, Sensor and Technical Infrastructure Constraints","c106M01N32","HMD overheating and diminishing hardware performance","Extended HMD use caused overheating and reduced hardware performance.","LI06","Hardware, Sensor and Technical Infrastructure Constraints"
"LI06","Hardware, Sensor and Technical Infrastructure Constraints","c106M01N33","supplementary battery requirement","The experiment required supplementary batteries and continuous battery changing or charging.","LI06","Hardware, Sensor and Technical Infrastructure Constraints"
"LI13","Research Design, Measurement and Validation Flaws","c106M01N35","six-day LT-PKR evaluation period","LT-PKR was tested after six days, while the paper notes that no specific rule defines a long-term interval.","LI13","Research Design, Measurement and Validation Flaws"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c106M02N10","Lack of Interactivity","Traditional solutions face limitations in terms of interactivity, engagement, adaptability, practical application, feedback mechanisms, cost efficiency, and accessibility.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI01","Individual Knowledge and Memory Decay","c106M02N11","Forgetting Curve","The analysis demonstrates the inefficacy of traditional approaches in properly supporting the training of complex machinery setups. Considering G1, the total weighted errors increased by 60.0% between session 1 and session 2.","LI01","Individual Knowledge and Memory Decay"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c107M01N28","mostly theoretical teaching","Current practice-oriented teaching methods were described as often mostly theoretical.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c107M01N29","2D simulation does not represent reality","Predominantly two-dimensional software does not represent reality because components are usually shown only as circuit symbols.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c107M01N30","difficulty completing practical exercises","Control-group participants reported difficulty completing the practical exercises without teacher support.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c107M01N31","no improvement in knowledge retention","The control-group exercises produced no difference in the knowledge tests and were reported to have no influence on retention.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings","c107M01N32","no significant improvement with Concept 1","The group using the app without visualization aids showed no significant improvement and a negative mean difference.","LI04","Instructional Design, Delivery, Assessment and Transfer Shortcomings"
"LI06","Hardware, Sensor and Technical Infrastructure Constraints","c107M01N33","space and location dependence","Physical systems take up substantial space and are location-dependent because they require a compressed-air supply.","LI06","Hardware, Sensor and Technical Infrastructure Constraints"
