sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"ED08","Geographic & Physical Site Context","c101M02N24","Physical location constraint","walks over to the maintenance workshop... walks to the machine... walk back to the workshop","ED08","Geographic & Physical Site Context"
"ED01","Political, Regulatory & Jurisdictional Environment","c101M02N25","Industry regulation","well-defined process models support... compliance","ED01","Political, Regulatory & Jurisdictional Environment"
"ED08","Geographic & Physical Site Context","c104M01N22","physical breadboard and IoT components","Both groups assembled a physical circuit containing a breadboard, NodeMCU, LEDs, rain sensor, fan, and servo motor.","ED08","Geographic & Physical Site Context"
"ED08","Geographic & Physical Site Context","c104M02N20","Physical breadboard","The IoT circuit assembly task involved a breadboard.","ED08","Geographic & Physical Site Context"
"ED08","Geographic & Physical Site Context","c104M02N21","Lab setting","Participants visited the experimental lab to take part in the study.","ED08","Geographic & Physical Site Context"
"ED01","Political, Regulatory & Jurisdictional Environment","c105M02N35","Safety regulations","it is often stated that any technology should not get in the way of safety","ED01","Political, Regulatory & Jurisdictional Environment"
"ED10","Ambiguous Environmental Dependency(*)","c105M02N36","Protective equipment requirements","safety glasses are already worn, which in company D involves welding glasses","ED10","Ambiguous Environmental Dependency(*)"
"ED08","Geographic & Physical Site Context","c105M02N37","Physical workspace conditions","production hall is very warm, there is a lot of dust and there is a lot of ambient noise","ED08","Geographic & Physical Site Context"
"ED02","Economic, Market & Industry Environment","c105M02N38","Staff shortage","Due to an aging population, many manufacturing companies face the challenge of retaining essential knowledge","ED02","Economic, Market & Industry Environment"
"ED08","Geographic & Physical Site Context","c106M01N26","realistic industrial environment","The case was implemented at the company with existing machinery in a realistic industrial environment.","ED08","Geographic & Physical Site Context"
"ED09","Local Utility & Connectivity Conditions","c107M02N38","Compressed air supply","location-dependent due to the compressed air supply","ED09","Local Utility & Connectivity Conditions"
"ED08","Geographic & Physical Site Context","c107M02N39","Physical location of workshops","such systems take up a lot of space and are location-dependent","ED08","Geographic & Physical Site Context"
"ED03","Sociocultural & Societal Environment","c108M01N59","four-country, four-language luxury-packaging operating context","The manufacturing project covered France, the United States, Brazil, and China, with four languages and practices.","ED03","Sociocultural & Societal Environment"
"ED01","Political, Regulatory & Jurisdictional Environment","c108M01N60","scientific and legislative conditions governing viticulture decisions","Scientific and legislative aspects were strongly present and had to be considered in viticulture decision-making.","ED01","Political, Regulatory & Jurisdictional Environment"
"ED04","Natural & Climatic Environment","c108M01N61","climatic conditions and risks affecting the vine cycle","A dedicated climatic-risk interview grid was required because external parameters affect the vine cycle and wine production.","ED04","Natural & Climatic Environment"
