sub_category_id,sub_category,node_id,node_name,evidence_statement,adjust_sub_category_id,adjust_sub_category
"TE05","Imaging, Sensing, and Perception Technologies","c001M01N27","3D laser scanning","The localized case implements 3D laser scanning to collect architectural data and generate precise models.","TE05","Imaging, Sensing, and Perception Technologies"
"TE05","Imaging, Sensing, and Perception Technologies","c001M01N28","UAV oblique photography","Multi-angle UAV photography works with ground laser scanning to generate the Peng's Dwelling model.","TE05","Imaging, Sensing, and Perception Technologies"
"TE05","Imaging, Sensing, and Perception Technologies","c001M01N29","ContextCapture software","ContextCapture generates textured 3D models by stitching aerial images.","TE05","Imaging, Sensing, and Perception Technologies"
"TE04","Data, Information, and Knowledge Systems","c001M01N30","GIS software","GIS software aggregates scattered 3D models into spatial distribution maps.","TE04","Data, Information, and Knowledge Systems"
"TE05","Imaging, Sensing, and Perception Technologies","c001M01N31","Thermal imaging scanning","Thermal imaging scanning identifies hidden structural dangers such as wood decay and hollow walls.","TE05","Imaging, Sensing, and Perception Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c001M01N32","Virtual reality","Virtual reality is implemented for data analysis, immersive exhibition, and cross-platform historical-scene restoration.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c001M01N33","Unity3D engine","Unity3D supports the digital twin system, QR-triggered animation, and cross-platform virtual reality.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c001M01N34","AR scene overlay technology","AR scene overlays combine with historical archives to reconstruct rooms and open halls.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE07","Mobile, Social and Communication Technologies","c001M01N35","Smartphones","Historical scenes are restored interactively on smartphones.","TE07","Mobile, Social and Communication Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c001M01N36","AR glasses","Historical scenes are restored interactively on AR glasses.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c001M01N37","VR headsets","Historical scenes are restored interactively on VR headsets.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE01","Artificial Intelligence and Intelligent Computation","c001M01N38","Artificial intelligence","AI predicts site visitation 48 hours ahead and dynamically plans walking paths.","TE01","Artificial Intelligence and Intelligent Computation"
"TE02","Human–Computer Interaction and Immersive Technologies","c001M01N39","NetEase Yaotai architecture","The Red Journey module is constructed using NetEase Yaotai architecture.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE03","Cyber-Physical Systems, IoT, and Smart Environments","c001M02N18","FARO Focus S350 3D laser scanner","FARO Focus S350 realizes millimeter-level point cloud modeling","TE03","Cyber-Physical Systems, IoT, and Smart Environments"
"TE05","Imaging, Sensing, and Perception Technologies","c001M02N23","IoT-based heritage site crowd flow sensors","AR Guidance + IoT Crowd Monitoring for Functional Adaptation Rate 60%","TE05","Imaging, Sensing, and Perception Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c002M01N36","Unity3D","Unity3D was used to prepare the immersive AR and VR visualizations.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c002M01N37","augmented reality","Augmented reality was one of the two XR technologies implemented in the training comparison.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c002M01N38","virtual reality","Virtual reality was one of the two XR technologies implemented in the training comparison.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c002M01N39","Microsoft Hololens 2","Microsoft Hololens 2 was used for AR training.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c002M01N40","Samsung Odyssey VR headset","Samsung Odyssey VR headset was used for VR training.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c002M02N30","Unity3D game engine software","The safety team prepared an immersive environment for demonstration of concepts using Unity3D","TE02","Human–Computer Interaction and Immersive Technologies"
"TE04","Data, Information, and Knowledge Systems","c002M02N31","Building Information Models (BIM) library","Building information models (BIM) and other 3D visualizations have gained traction with the broader acceptance of the Building 4.0 platform","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c003M01N12","AutoCAD 2023","The apartment floor plan was created in AutoCAD version 2023.","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c003M01N13","Rhinoceros 7","The AutoCAD floor plan was imported into Rhinoceros version 7 to build the 3D model.","TE04","Data, Information, and Knowledge Systems"
"TE02","Human–Computer Interaction and Immersive Technologies","c003M01N14","Unity 2018.4.14f1","The 3D model was imported into Unity for rendering, materials, lighting, and first-person camera control.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE09","Ambiguous Digital Technology(*)","c003M01N16","EnergyPlus","The twelve interaction scenarios were simulated in EnergyPlus.","TE09","Ambiguous Digital Technology(*)"
"TE02","Human–Computer Interaction and Immersive Technologies","c003M01N17","TechViz XL 2023","The integrated virtual model was presented through the CAVE environment using TechViz XL 2023.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c003M01N18","CAVE system","The model was presented through a projection-based CAVE environment at DICEA.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE08","Rule-Based, Decision and Expert Systems","c003M01N19","C# scripts","C# scripts automatically modified the indicators according to choices in the virtual environment.","TE08","Rule-Based, Decision and Expert Systems"
"TE09","Ambiguous Digital Technology(*)","c003M01N20","Visual Studio 2007","The C# scripts were developed using Visual Studio version 2007.","TE09","Ambiguous Digital Technology(*)"
"TE02","Human–Computer Interaction and Immersive Technologies","c003M01N21","CAVE projection hardware","The setup used an aluminium framework, two walls, a floor, and short-range and ultrashort-range projectors.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE09","Ambiguous Digital Technology(*)","c003M01N22","CAVE workstation","The CAVE workstation used an Intel Xeon processor, 128 GB RAM, and two NVIDIA RTX A6000 graphics cards.","TE09","Ambiguous Digital Technology(*)"
"TE02","Human–Computer Interaction and Immersive Technologies","c003M02N15","Unity software","The 3D model was then imported into Unity (ver. 2018.4.14f1) for rendering...","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c004M01N22","immersive virtual reality","The implemented training solution was an immersive VR application.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c004M01N23","Oculus Quest","The immersive application was deployed on the standalone Oculus Quest head-mounted display.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c004M01N24","Oculus Quest wireless controllers","Two Oculus Quest wireless controllers enabled participant interaction with virtual environments.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE05","Imaging, Sensing, and Perception Technologies","c004M01N25","Oculus Quest motion tracking system and sensors","Embedded motion tracking and sensors translated real-world participant movement into virtual movement.","TE05","Imaging, Sensing, and Perception Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c004M01N26","Unity version 2019.1.10f1","The virtual environments were modelled and rendered using Unity version 2019.1.10f1.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c004M01N27","Terrain Unity plugin","The Terrain plugin was used to create site terrain, location, depth, width, and texture.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c004M01N28","Google Forms","The safety knowledge test was administered through Google Forms.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c004M02N23","Unity Real-time 3D Rendering Engine","The virtual environments were modelled and rendered using Unity (version 2019.1.10f1)","TE02","Human–Computer Interaction and Immersive Technologies"
"TE04","Data, Information, and Knowledge Systems","c004M02N25","Unity Asset Store Construction Site Models","An extensive range of virtual objects was obtained from Unity Asset Store and imported into Unity","TE04","Data, Information, and Knowledge Systems"
"TE02","Human–Computer Interaction and Immersive Technologies","c005M01N24","AR technology","The training program integrated augmented reality with virtual reality.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c005M01N25","VR technology","The training program used virtual reality to immerse trainees in a simulated bridge-construction environment.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c005M01N26","Unity Game Engine","Unity Game Engine was used to develop the AR model and create the VR environment.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c005M01N27","Blender","Blender was used in AR development and for VR structural adjustments and character animation.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE07","Mobile, Social and Communication Technologies","c005M01N28","Android Operating System","The AR model was developed to operate on the Android Operating System.","TE07","Mobile, Social and Communication Technologies"
"TE05","Imaging, Sensing, and Perception Technologies","c005M01N29","Adobe Photoshop","Adobe Photoshop was used to develop the AR host.","TE05","Imaging, Sensing, and Perception Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c005M01N30","Vuforia Augmented Reality SDK","Vuforia transformed the host images into targets and supplied the AR camera.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE09","Ambiguous Digital Technology(*)","c005M01N31","C#","AR buttons and animations and VR hazard canvases were programmed using C# scripts.","TE09","Ambiguous Digital Technology(*)"
"TE07","Mobile, Social and Communication Technologies","c005M01N32","trainees’ smartphones","Trainees accessed the AR software and scanned the hazard sheet using their smartphones.","TE07","Mobile, Social and Communication Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c005M01N33","Oculus Touch","The right Oculus Touch vibrated near hazards and the controllers interfaced with model buttons and canvases.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c005M01N34","Oculus Quest","The VR model was created with Oculus Quest in mind and used an Oculus-developed camera rig.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE04","Data, Information, and Knowledge Systems","c005M01N35","Revit","Revit was used to model structural pieces based on a real pier and pier cap from a visited bridge.","TE04","Data, Information, and Knowledge Systems"
"TE09","Ambiguous Digital Technology(*)","c005M01N36","Visual Studio","The VR model was written in C# using Visual Studio.","TE09","Ambiguous Digital Technology(*)"
"TE02","Human–Computer Interaction and Immersive Technologies","c005M01N37","Maximo","Object motions and worker-walking animations were added using Maximo.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c005M02N41","OVRPlayerController VR camera rig","The primary camera was then replaced by OVRPlayerController, which included OVRCameraRig. OVRCameraRig is developed by Meta corporation to develop VR games targeting Oculus quest and Oculus quest 2 virtual reality headsets.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE05","Imaging, Sensing, and Perception Technologies","c006M01N19","multiple IMU sensors","The lumbar load measuring device was equipped with multiple IMU sensors.","TE05","Imaging, Sensing, and Perception Technologies"
"TE05","Imaging, Sensing, and Perception Technologies","c006M01N20","wearable camera","A wearable camera was used to record video footage of the work situation.","TE05","Imaging, Sensing, and Perception Technologies"
"TE02","Human–Computer Interaction and Immersive Technologies","c006M02N30","Web application","A dedicated web application (Fig.6) has been developed separately for the purpose of streamlining questionnaires.","TE02","Human–Computer Interaction and Immersive Technologies"
"TE03","Cyber-Physical Systems, IoT, and Smart Environments","c006M02N31","Smartsuit","'Smartsuit' which is based on logical and scientific evidence, among the numerous passive assistance suits (Fig. 5).","TE03","Cyber-Physical Systems, IoT, and Smart Environments"
"TE04","Data, Information, and Knowledge Systems","c007M01N38","data warehousing technology","Data warehousing technology is the technology specified by KS1.","TE04","Data, Information, and Knowledge Systems"
"TE04","Data, Information, and Knowledge Systems","c007M01N39","database","KS activities include database access, screening and storage of lessons learned.","TE04","Data, Information, and Knowledge Systems"
"TE07","Mobile, Social and Communication Technologies","c007M01N40","communication tools","Zalo, Line and Viber are widely used, readily available communication tools.","TE07","Mobile, Social and Communication Technologies"
"TE04","Data, Information, and Knowledge Systems","c007M02N32","Building Information Modeling (BIM)","using BIM 3D modelling helps in presenting design ideas effectively","TE04","Data, Information, and Knowledge Systems"
"TE07","Mobile, Social and Communication Technologies","c007M02N33","ICT","partnership with researchers in the information and communications technology (ICT) industry to enhance the use of the new technology","TE07","Mobile, Social and Communication Technologies"
