"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","sub_category_id","sub_category"
"c201M01N19","Difficulty of articulation","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","Tacit knowledge the unwritten, experience-based insights people carry in their heads is notoriously difficult to articulate.","The psychological and cognitive friction that prevents humans from easily describing actions.","Page 1","LI11","Socio-Organizational Resistance & Cultural Drift"
"c201M01N20","Loss of critical know-how upon staff departure","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","When veteran staff retire or switch jobs, this undocumented expertise departs with them, risking operational disruption.","The vulnerability of small businesses where unique process information resides solely inside human minds.","Page 1","LI12","Institutional Amnesia & Governance Vulnerabilities"
"c201M01N22","Complete lack of operational visibility","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The lack of a formalized, digitally-tracked system leads to poor visibility for production managers.","The managerial tracking defect resulting from oral, undocumented shop-floor communications.","Page 5","LI12","Institutional Amnesia & Governance Vulnerabilities"
"c201M01N23","Absence of structured data capture for analysis","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","Furthermore, the absence of data capture prevents valuable analysis of machine reliability and failure patterns.","The analytical failure caused by data absences that isolates companies inside reactive loops.","Page 5","LI12","Institutional Amnesia & Governance Vulnerabilities"
"c201M01N24","Significant system latency from verbose XML","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","For the complex maintenance scenario, the total time to generate... was over 12 minutes... delay is largely attributable to the verbosity of the BPMN XML format.","The system performance slowdown caused by streaming dense data objects via network endpoints.","Page 6","LI13","Limitation(*)"
"c201M01N25","Inconsistent or malformed XML generation","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","gpt-4o sometimes produced invalid syntax... resulting in execution errors when parsed by standard engine setups.","The schema structural compliance failure seen when lower-performing LLMs produce invalid code blocks.","Page 6","LI03","Software, Algorithmic & Data Interoperability Barriers"
"c201M02N27","Inefficiency of manual communication and paper-based steps","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","Manual methods of capturing process details are slow and error-prone, requiring several follow-up iterations.","Wasted time and effort in the traditional process","Page 1, lines 12-14","LI06","Time, Scheduling & Workload Commitments"
"c201M02N31","High latency due to verbose BPMN XML generation","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","Generating lengthy XML files streams massive amounts of data, leading to noticeable user waiting times.","Slow response times from the LLM","Page 6, lines 3-5","LI13","Limitation(*)"
"c201M02N32","Non-deterministic LLM outputs","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The structural format varies between runs even with the same text description, challenging automated validation pipelines.","Inconsistent generations across runs","Page 6, lines 20-22","LI13","Limitation(*)"
"c201M02N35","Reliance on user to describe process upfront","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The conversational agent cannot create a process chart unless the user initiates a comprehensive description of workflow steps.","User must provide complete initial description","Page 4, lines 15-17","LI02","Pedagogical Design & Instructional Shortcomings"
"c201M02N36","No formal evaluation of TO-BE model quality","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","The framework suggests process improvements but lacks a quantitative metrics suite to check the validity of new models.","Unvalidated improvement suggestions","Page 7, lines 2-4","LI02","Pedagogical Design & Instructional Shortcomings"
"c201M02N37","Polanyi's tacit knowledge articulation difficulty","Limitation","E","Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn","We know more than we can tell, posing a deep problem for systems that rely on verbal elicitation strategies.","Fundamental difficulty in expressing tacit knowledge","Page 1, line 25","LI11","Socio-Organizational Resistance & Cultural Drift"
"c202M01N19","Lack of clear position indicator on physical component","Limitation","E","A Case Study On Augmented Reality Guided Maintenance Training System For Air Compressing Unit","Trainees frequently struggle to find exact bolt locations because the physical casing lacks high-contrast visual markers or positional labels.","Absence of visual references on traditional hardware devices.","Page 1","LI04","Hardware, Sensor & Infrastructure Constraints"
