uuid,title,coverage_count
06559235-16c7-4853-95e3-d611600bac69,Effectiveness Of Al-Assisted Patient Health Education Using Voice Cloning And Chatgpt: Prospective Randomized Controlled Trial,4
fb9de19c-bf5c-4e85-8fe2-cfc5498e2c96,Design And Evaluation Of A Virtual Rehabilitation System Integrating Intangible Cultural Heritage: A Case Study Of Baduanjin-Based Somatosensory Training,16
d5147a3d-d957-41ce-a707-d19a3ef46849,Removing A Blindfold': Perspectives Of Physical Therapists After Completing The Peak-Portuguese E-Learning Course,8
eeae9534-6c81-46ab-97b1-d12002993b3c,Assessing Older Adults' Perspectives On Digital Game-Related Strategies To Foster Active And Healthy Ageing,6
45a1e367-7c53-4059-b957-aab257c9e602,Game-Based Learning As Training To Use A Chemotherapy Preparation Robot,4
ce7b13a0-67f2-4003-8a8d-82f7779bb36c,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,4
97406004-edc7-4670-b39e-068cb5ded144,Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study,8
09bc73ac-6a88-4386-9f24-127ef594fcf8,Bimodal Knowledge Collaborative Driven Teacher-Student Model For Non-Contrast Agent Ct Liver Tumor Segmentation,4
3a549854-8370-446f-95d9-1fac87691948,Digital Personal Health Coaching Platform For Promoting Human Papillomavirus Infection Vaccinations And Cancer Prevention: Knowledge Graph-Based Recommendation System,3
bc7e0a3e-d36a-4413-a7a2-80e57e2bae25,The Interactive Use Of Augmented Reality For Educating The Elderly On Common Age-Related Eye Disease,1
