uuid,combined_text,C_kr_flag,C_kr_evidence,A_kr_flag,A_kr_evidence,B_kr_flag,B_kr_evidence
748d3f69-2787-4bc7-af53-9bc8fe348402,"Title：Academic Knowledge Sharing On Digital Knowledge Platforms: A Tam Approach Abstract：Purpose – This study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff, grounded in the Technology Acceptance Model (TAM). It specifically investigates how individual and organizational factors influence faculty members’ engagement in knowledge sharing via digital knowledge platforms. Design/methodology/approach – A descriptive-analytical survey design was used. Data were collected through a structured questionnaire based on a five-point Likert scale, targeting academic staff in higher education institutions. The data were analyzed using multiple linear regression in SPSS to assess the relationships between perceived ease of use, perceived convenience, IT self-efficacy, organizational culture and knowledge sharing behavior. Findings – The results demonstrate that perceived ease of use, perceived convenience and IT self-efficacy significantly predict the perceived usefulness of digital knowledge platforms for knowledge sharing. Furthermore, organizational culture emerged as a critical factor positively influencing faculty members’ knowledge sharing behaviors. Academic staff showed a higher tendency to share knowledge when they perceived digital knowledge platforms as useful and user-friendly, and when they operated within a culture that promotes collaboration and technological adoption. Research limitations/implications – This study highlights the need for universities to foster supportive cultures, enhance IT self-efficacy and provide user-friendly digital knowledge platforms tools to promote faculty knowledge sharing and improve collaboration and innovation in academic settings. Originality/value – This study contributes to the literature by integrating TAM with contextual organizational variables to explain digital knowledge platforms-based knowledge sharing in academic settings. It provides actionable insights for university administrators and policymakers aiming to foster a knowledge-sharing culture. © 2025 Emerald Publishing Limited",No,"The abstract examines determinants of knowledge sharing on digital knowledge platforms among academic staff, focusing on sharing behavior rather than capturing or retaining knowledge from individuals or organizations.",Yes,"This study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff, grounded in the Technology Acceptance Model (TAM). It specifically investigates how individual and organizational factors influence faculty members’ engagement in knowledge sharing via digital knowledge platforms",No,The study aims to identify and examine the determinants of knowledge sharing on digital knowledge platforms among academic staff but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.
0fa51e2c-5011-411a-8fa5-8ce794ce420e,"Title：Blockchain-Enabled Predictive Digital Twin Approach For Healthcare: Enhancing Accuracy And Performance With Federated Learning Abstract：Data management in healthcare faces significant challenges in balancing security and anonymity during information exchange. Recent advancements in decentralized distributed ledgers and digital twins offer promising solutions to enhance knowledge sharing. A predictive digital twin creates a virtual model using data from various stakeholders to forecast outcomes, support decision-making for efficient resource allocation, and benchmark operational effectiveness. Digital twins can leverage blockchain technology to enable secure and decentralized data exchange while ensuring privacy and regulatory compliance. This paper introduces a novel dynamic blockchain-integrated predictive digital twin model aimed at improving information sharing and fostering collaboration among healthcare providers and stakeholders. Using federated learning, each provider site independently trains its model and shares aggregated insights to benchmark performance against peers. This collaborative approach encourages knowledge sharing and helps identify areas for operational improvement. Our dynamic and iterative approach is validated through three distinct applications: digitized cancer images, voice recordings from Parkinson’s disease patients, and a more generalized application for collaborative supplier selection, evaluating factors such as price, quality, and customer feedback. We find that federated learning can offer a robust and stable level of performance, as a valuable compromise between fully local and centralized learning approaches. By allowing healthcare institutions to collaborate without compromising patient confidentiality, federated learning improves prediction accuracy and overall outcomes. Our solution enables secure, privacy-preserving collaboration among healthcare institutions, allowing them to compare models, identify best practices, and improve operational effectiveness. Thus, our study makes an original contribution to improving healthcare cost-effectiveness through digital twins, with implications for personalized medicine and promoting interoperability. © 2025 Elsevier B.V.",Yes,"The abstract explicitly discusses 'enhance knowledge sharing' and 'collaborative approach encourages knowledge sharing' among healthcare providers. It focuses on enabling secure, privacy-preserving collaboration to share insights and improve operational effectiveness, which implies knowledge capture and retention.",No,None identified,No,"The paper introduces a novel dynamic blockchain-integrated predictive digital twin model aimed at improving information sharing and fostering collaboration among healthcare providers and stakeholders. The focus is on enhancing information sharing and collaboration, not explicitly on capturing or retaining knowledge from individuals or organizations."
6882e45c-ea8b-4349-84e8-129baf0df184,"Title：An Intelligent Integrated Innovation Design Method Based On Flow Functional Genes Coding And Digitization Abstract：The efficient organization and integration of design knowledge are of paramount importance for product design. Nevertheless, at the conceptual design stage, design knowledge is marked by complexity and disorderliness, which renders the accurate identification of design knowledge arduous and integration inefficient, thereby leading to design solutions that fail to satisfy user requirements. To enhance the accuracy of acquisition and integration efficiency of design knowledge during the conceptual design stage, this paper proposes a computer-assisted digital expression of flow functional genes and an intelligent integrated innovative design approach. By drawing an analogy with the composition of biological genes, design knowledge from diverse fields is extracted in the form of flow functional gene (F-FG) to facilitate the standardized expression of design knowledge in different domains. Moreover, by integrating the principle of the three primary colors and digital technology, a digital F-FG is constructed to enable rapid invocation and integration of computer-assisted F-FG, thus improving the integration efficiency of design knowledge. The proposed method encompasses six steps. Firstly, an F-FG template is established. By making an analogy to the composition of biological genes, a flow functional gene (F-FG) template encompassing all functional and flow information is established. Secondly, Extracted flow functional gene (F-FG). Functional knowledge is extracted from patents and represented as F-FGs. Thirdly, digital F-FG representation and storage. Computer digital encoding technology and image generation technology are employed for the digital representation and storage of F-FGs. Fourthly, the screening process of digital F-FGs. Image similarity matching algorithms are utilized to obtain the requisite F-FGs. Fifthly, the integration process of F-FGs. Based on the degree of similarity of flow color blocks, input and output flow interfaces are spliced and integrated to form an F-FG integrated association network. Finally, designers obtain corresponding design solutions based on the relationships between F-FGs. Taking the design process of a water surface garbage cleaning system as an example, the feasibility and effectiveness of this method were verified. © 2024",Yes,"The abstract explicitly discusses extracting design knowledge from diverse fields in the form of flow functional genes (F-FG) to facilitate standardized expression and integration of design knowledge, and using digital technology for rapid invocation and integration of computer-assisted F-FG, thereby improving integration efficiency of design knowledge.",No,None identified,No,"The paper proposes a computer-assisted digital expression of flow functional genes and an intelligent integrated innovative design approach. However, it does not explicitly discuss capturing or retaining knowledge from individuals or organizations."
935a841c-5502-4bd8-acfa-5e76e0920bc4,"Title：Integrating Knowledge Management, Project Management, And Human Resource Management For Organisational Resilience In The Construction Industry Abstract：Knowledge management (KM) is crucial for organisational success in volatile, uncertain, and ambiguous environments. However persistent operationalization issues hinder its interaction with Project Management (PM) and Human Resource Management (HRM). In construction, skill shortages, demographic shifts, rapid technological breakthroughs, and project complexity disrupt organisational knowledge systems. This study examines the growth of KM in construction research and how its integration with PM and HRM might improve organisational resilience. This staged review included bibliometric analysis and narrative synthesis. A bibliometric mapping of Scopus and Web of Science peer reviewed literature (1998–2024) identified publishing trends and thematic clusters, followed by rigorous screening and narrative synthesis of the final corpus. Analysis showed a considerable growth in KM-related construction research since 2016. A repository-focused strategy is giving way to interconnected, human-centred frameworks that highlight social interaction, governance, and digital capability development. Five literature gaps remain: (1) limited operationalisation of core KM constructs like trust, socialisation, and knowledge transfer; (2) misalignment between KM, PM, and HRM domains; (3) inadequate integration of human-centred knowledge practices with emerging digital technologies; (4) a lack of cross-regional comparative research; and (5) a weak theory–practice bridge for KM implementation in construction organisations. Through gap synthesis, this work provides an organised approach for future research, along with practical advice on KM-PM and HRM integration for organisational resilience. © 2026 by the authors.",Yes,"The abstract discusses 'knowledge management (KM)' and 'knowledge transfer' as crucial for organizational resilience, and identifies gaps such as 'limited operationalisation of core KM constructs like trust, socialisation, and knowledge transfer', implying the capture and retention of knowledge.",Yes,"Knowledge management (KM) is crucial for organisational success in volatile, uncertain, and ambiguous environments; its integration with PM and HRM might improve organisational resilience; social interaction, governance, and digital capability development",Yes,This study examines the growth of KM in construction research and how its integration with PM and HRM might improve organisational resilience.
a0f4741f-d1c2-4dd7-ab37-cb94cd3ff82d,"Title：Knowledge Management In The Age Of Generative Artificial Intelligence – From Seci To Grai Abstract：Purpose – Generative Artificial Intelligence (GenAI) models are now able not only to recognize complex patterns from large amounts of input data but also to display them in context. This fact invites a critical analysis of the SECI model and its further applicability as an analytical framework for knowledge generation and transfer in organizations. This conceptual paper aims to take the SECI model with the individual SECI phases and analyze how GenAI changes the assumptions and descriptions of the original SECI framework. More specifically, the aim is to propose a revised SECI framework. Design/methodology/approach – This paper aims to contribute to theory development of theories present in the literature. More specifically, it seeks to make a conceptual contribution that draws on one of the four types of conceptual contributions proposed by Deborah J. MacInnis, namely, envisioning, and is based on previous literature and the authors’ thoughts and experiences to propose a revised SECI framework called GRAI, which stands for Generative Receptive Artificial Intelligence. Findings – A better understanding of the further applicability of the SECI framework that arises with the introduction and application of GenAI models is not only relevant to the existing knowledge management (KM) theory but also to organizations. The proposed revised perspective of the SECI model, summarized in the GRAI framework, reflects the use of GenAI technologies in the corporate environment and thus allows the necessary stimulation of a discussion on how KM in general, and knowledge generation, in particular, will be affected and augmented by AI. Originality/value – To the authors’ knowledge, this paper is the first to systematically and comprehensively examine the established SECI framework and its wider applicability in terms of the potential impact of GenAI models on KM practices in organizations. The proposed GRAI framework is seen as a relevant contribution to the further development of KM theory. © 2025 Karsten Böhm and Susanne Durst",Yes,"The abstract discusses a revised SECI framework called GRAI, which reflects the use of GenAI technologies in the corporate environment and allows the necessary stimulation of a discussion on how KM in general, and knowledge generation, in particular, will be affected and augmented by AI.",No,None identified,Yes,"This conceptual paper aims to take the SECI model with the individual SECI phases and analyze how GenAI changes the assumptions and descriptions of the original SECI framework. More specifically, the aim is to propose a revised SECI framework."
b633d1dc-b865-4fac-8acd-879d6b4043cf,"Title：Research On Construction Method Of Information Knowledge Map Of Penetration And Explosion In Open-Pit Mining Abstract：As a complex system engineering, open-pit mining has many business categories, complex system structure and complex information logic relationship. In the process of intelligent upgrading and transformation of open-pit mines, many bottleneck problems such as unclear business information logic, unclear production factors, and difficult to implement information application scenarios are unavoidable. Therefore, in order to comprehensively analyze the correlation relation of open-pit mine engineering information and scientifically grasp the production factors of open-pit mine, a method of engineering information logical relation representation based on knowledge graph technology is studied and proposed. Taking Heidaigou open-pit coal mine as the research object and perforating and blasting links (perforation links and blasting links) as the research case, this paper first proposes the idea of constructing knowledge graph framework based on the graph theory, and introduces the core elements, construction process and key technologies of knowledge graph by constructing the information knowledge graph of perforating and blasting links of open-pit mine. The characteristics of engineering information structure and the difficulties of using high value data in the process of open-pit mining are systematically analyzed. Secondly, the simulation and deduction idea of the whole process of perforation and explosion engineering business is proposed, the business types and information correlation of perforation and explosion engineering are sorted out, the ontology structure system of perforation and explosion engineering information is improved, and a knowledge retrieval method of production information based on Cypher language is proposed based on computer science theory. The precise query and retrieval of knowledge of “business relationship, data logic, function realization” of engineering information knowledge in penetration and explosion link is realized. Finally, this paper briefly describes the knowledge graph construction methods and theoretical models such as knowledge acquisition, knowledge fusion and knowledge storage, and proposes an open-pit mine information knowledge inference model through the local feature extraction, feature integration, feature matching and other standardized operations of mine production knowledge, which realizes the knowledge search and knowledge inference of the open-pit mine puncture engineering information. It provides an effective and scientific decision for the production information management and resource integration allocation in the process of intelligent upgrading and transformation of open-pit mines. © 2025 China Coal Society. All rights reserved.",Yes,The abstract proposes a method of engineering information logical relation representation based on knowledge graph technology to comprehensively analyze the correlation relation of open-pit mine engineering information and scientifically grasp the production factors.,No,None identified,No,"The abstract focuses on constructing an information knowledge map of penetration and explosion in open-pit mining to analyze the correlation relation of engineering information and grasp production factors, without discussing the capture or retention of knowledge from individuals or organizations."
16261321-a81f-43cf-ae94-cb46bb554a64,"Title：Research On A Virtual Teacher Personalized Interaction Model Integrating Affective Computing And Multi-Agent Systems Abstract：This research develops a novel virtual teacher personalized interaction model integrating multimodal affective computing with multi-agent coordination mechanisms to address fundamental limitations in emotional intelligence and adaptive capabilities within contemporary educational technology systems. A three-layer distributed architecture was implemented, incorporating synchronized multimodal emotion recognition through confidence-weighted fusion of facial, vocal, and textual data streams, Byzantine Fault Tolerant consensus algorithms for coordinated multi-agent decision-making, and dynamic personality adaptation mechanisms based on Big Five psychological modeling. Experimental validation employed 500 participants across diverse educational contexts using established emotion recognition benchmarks supplemented with domain-specific educational interaction datasets. The multimodal emotion fusion component achieved 91.2% recognition accuracy, with overall system performance reaching 89.7% under realistic educational conditions while demonstrating substantial educational effectiveness improvements, including 43% higher learner engagement scores, 37% emotional satisfaction enhancement, 30% learning effectiveness increase, and 40% knowledge retention improvement compared to traditional virtual teaching approaches. Multi-agent coordination exhibited superior decision quality with 31% improvement over single-agent baselines, though personality adaptation effectiveness varied significantly across learner populations with 88% success rates for extraverted individuals compared to 65% for high-neuroticism learners. The integrated approach successfully bridges the emotional intelligence gap in virtual educational systems through sophisticated technological convergence, establishing theoretical foundations for distributed educational intelligence while revealing important implementation challenges. This research enables the development of emotionally responsive virtual teachers capable of sustained personalized instruction across diverse educational contexts, though deployment requires careful consideration of privacy protection and institutional adaptation requirements for broader educational technology transformation. © 2025, Future Publishing LLC. All rights reserved.",No,"The abstract focuses on developing a virtual teacher personalized interaction model with affective computing and multi-agent systems, aiming to improve educational effectiveness, not on capturing or retaining knowledge from individuals or organizations.",No,None identified,Yes,This research develops a novel virtual teacher personalized interaction model integrating multimodal affective computing with multi-agent coordination mechanisms to address fundamental limitations in emotional intelligence and adaptive capabilities within contemporary educational technology systems.
b54177cf-c204-4220-b961-d02977472a26,"Title：Disruptive Technologies For Knowledge Management: Bibliometric Review And Patent Analysis Abstract：Purpose – Technological tools for knowledge management (KM) actively support and enhance knowledge acquisition and sharing in organizations. However, technology for KM has been understudied, especially in terms of disruptive technologies (DTs). There is a need to identify how DTs, which are becoming increasingly important in industry and society, are applied to KM and their impact. This paper aims to examine the current state of technology and DT adoption in KM. Design/methodology/approach – The analysis involves four steps. First, we examine the current status of DT in academia through a keyword co-occurrence network of literature. Second, we analyze the technological convergence (TC) of KM technology through the cooperative patent classification code co-classification analysis of patents. Third, we explore the main topics of KM technologies using BERTopic, and finally, we explore the introduction of DT into KM technologies and suggest potential TC combinations for the future. Findings – KM technologies can be categorized into four main topics (knowledge acquisition, sharing, searching, and transfer), and DT is most often applied to knowledge transfer and acquisition. The DTs that are attracting attention from academia and industry are artificial intelligence, augmented and virtual reality, and blockchain, which have applications in healthcare, supply chain management, and human resource management. Originality/value – The findings provide useful insights for organizations to build a technology roadmap for KM. They can also improve the rigid mindset of organization employees toward DT adoption and innovation. By adopting a KM system that leverages DT, organizations will be able to manage and operate efficiently and systematically. © 2024 Emerald Publishing Limited",Yes,"The abstract explicitly discusses 'knowledge management (KM)' and how disruptive technologies support 'knowledge acquisition and sharing' in organizations, which involves capturing and retaining knowledge.",No,"The abstract focuses on a bibliometric review and patent analysis of disruptive technologies for knowledge management, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",No,The paper examines the current state of technology and disruptive technology adoption in knowledge management but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.
65a0f0f2-910e-4e66-a291-fe9abbb7c118,"Title：A Study On Factors Influencing Deep Interaction In Informal Online Learning Communities In The Context Of Educational Informatization Abstract：This study focuses on the deep interaction behaviors of college students in informal online learning communities in the context of computer technology and education informatization, and uses regression models to conduct an in-depth analysis. Based on the questionnaire survey and data processing, the core elements affecting deep interaction behavior in the knowledge, technology and social dimensions were systematically explored. The results show that in the knowledge dimension, topic novelty, divergent thinking and the effectiveness of knowledge management strategies have a significant positive influence on deep interaction; in the technology dimension, tool suitability, learning adaptability and technology platform stability constitute key factors; in the social dimension, the platform provided by computer technology and education informatization emphasizes the importance of equal communication and incentive mechanism among members. Multivariate data analysis further reveals that knowledge acquisition efficiency is positively correlated with technology application ability, while the frequency of social interaction shows a non-linear relationship with the degree of knowledge sharing. The study also found that there was a significant mediating effect between platform features and user engagement, a finding that provides a theoretical basis for optimizing the design of online learning communities. © 2025 Copyright held by the owner/author(s).",No,"The abstract discusses knowledge management strategies and knowledge sharing in online learning communities, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",No,None identified,Yes,"The results show that in the knowledge dimension, topic novelty, divergent thinking and the effectiveness of knowledge management strategies have a significant positive influence on deep interaction; in the technology dimension, tool suitability, learning adaptability and technology platform stability constitute key factors; in the social dimension, the platform provided by computer technology and education informatization emphasizes the importance of equal communication and incentive mechanism among members."
8ffefdea-7664-44d1-8a01-b23dc6710bee,"Title：Impact Of Personalized Learning Paths Supported By Mobile Technology On Student Academic Achievement Abstract：With the rapid advancement of mobile technology, mobile learning has become an integral component of modern education, particularly in the design and implementation of personalized learning paths. These paths enable tailored learning content and strategies based on students’ interests, abilities, and progress, thereby enhancing knowledge acquisition and improving academic achievement. Recent studies on personalized learning paths have primarily focused on content recommendation and learning outcome assessment, whereas limited attention has been given to student interaction relationships. In mobile learning envi-ronments, interactions among students and their mutual influence play a crucial role in optimizing personalized learning paths. However, existing research methodologies predominantly rely on theoretical analysis and static data processing, lacking dynamic modeling of complex student interaction patterns. This study aims to address this gap by analyzing student interactions within personalized learning paths and proposing a relationship discovery model based on an extended mobile interaction graph to help further optimize personalized learning paths. The findings are expected to contribute to the refinement of personalized learning path design and provide educators with real-time data support to enhance student academic achievement. By constructing a more precise interaction relationship discovery model, this study offers a novel theoretical framework and practical guidance for advancing personalized education. © 2025 by the authors of this article.",No,"The abstract discusses personalized learning paths and knowledge acquisition, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",No,None identified,Yes,"These paths enable tailored learning content and strategies based on students’ interests, abilities, and progress, thereby enhancing knowledge acquisition and improving academic achievement."
